iter	score	ok	ARI	NMI	PS	ASW	hidden	bottleneck	batch_size	lr	epochs	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	weight_decay	activation	dropout	layer_norm	residual
0	3.9679	False	0.81422	0.8408999999999999	0.91206	0.5865	[64]	32	32	0.0001	300	0.01	0.3	0.2	2.0	1.0	0.0				
1	3.36834	False	0.63696	0.7249399999999999	0.8135	0.55598	[32]	64	64	0.0002	300	0.1	0.1	0.3	1.0	0.25	0.0001	leaky_relu	0.1	False	True
2	4.06446	False	0.8392	0.8788	0.93104	0.57622	[128, 128]	32	8	0.001	300	0.02	0.2	0.05	6.0	2.0	0.0001	gelu	0.2	False	False
3	4.18338	False	0.86958	0.8968	0.94314	0.6042799999999999	[128, 64]	16	8	0.0002	500	0.0	0.5	0.4	1.0	1.0	0.0	leaky_relu	0.1	True	False
4	3.90676	False	0.8412200000000001	0.8828199999999999	0.93064	0.41086	[256, 256]	32	128	0.0005	500	0.05	0.1	0.1	2.0	0.5	0.0	relu	0.0	False	True
5	3.9933199999999998	False	0.8561399999999999	0.89842	0.9387800000000001	0.44383999999999996	[256, 256]	64	16	0.001	300	0.01	0.5	0.1	0.5	0.5	0.001	silu	0.05	True	True
6	4.164720000000001	False	0.8501800000000002	0.88738	0.93178	0.6452	[128, 64]	16	16	0.0002	400	0.1	0.3	0.05	6.0	1.0	0.0001	silu	0.05	False	True
7	4.23114	False	0.89602	0.89558	0.92566	0.6178600000000001	[256]	128	128	0.0001	500	0.01	0.2	0.3	4.0	0.25	0.001	silu	0.2	True	True
8	3.9910399999999995	False	0.8503999999999999	0.8888199999999999	0.9333199999999999	0.46810000000000007	[128, 128]	64	64	0.0002	400	0.01	0.4	0.2	2.0	1.0	0.0001	silu	0.0	True	False
9	3.9742599999999997	False	0.8594800000000001	0.89072	0.9385999999999999	0.42598	[256]	64	64	0.0002	500	0.02	0.1	0.3	2.0	1.0	0.0001	relu	0.0	False	True
10	4.1003799999999995	False	0.8518799999999999	0.8897999999999999	0.9323	0.5745199999999999	[128]	64	8	0.0001	300	0.1	0.2	0.1	2.0	2.0	0.001	silu	0.0	False	False
11	4.138059999999999	False	0.8487399999999999	0.85298	0.9184599999999999	0.66914	[128, 128]	16	128	0.0001	300	0.05	0.1	0.2	2.0	2.0	0.001	relu	0.05	True	False
12	4.16732	False	0.8616399999999999	0.88986	0.9369	0.61728	[128, 128]	16	8	0.0001	200	0.0	0.1	0.3	4.0	1.0	1e-05	relu	0.0	False	True
13	4.1703	False	0.85362	0.88696	0.9336799999999998	0.6424199999999999	[256, 256]	8	32	0.0005	300	0.02	0.1	0.1	1.0	0.5	0.0001	relu	0.1	True	True
14	4.0297600000000005	False	0.7917799999999999	0.83582	0.8884000000000001	0.72198	[32]	16	8	0.0001	500	0.01	0.5	0.2	4.0	0.5	1e-05	leaky_relu	0.2	True	True
15	4.29078	False	0.91844	0.90632	0.9352600000000001	0.6123200000000001	[128]	64	64	0.0002	400	0.01	0.1	0.05	2.0	2.0	0.0	gelu	0.1	True	True
16	4.126379999999999	False	0.8667200000000002	0.89534	0.9415000000000001	0.5561	[128]	128	32	0.0002	200	0.02	0.5	0.05	4.0	0.5	0.0001	relu	0.05	True	True
17	3.98552	False	0.8748999999999999	0.9053599999999999	0.9457800000000001	0.38458000000000003	[64]	32	8	0.0005	400	0.0	0.4	0.2	4.0	0.25	0.0	gelu	0.0	True	True
18	3.8043799999999997	False	0.77726	0.8246399999999999	0.8805399999999999	0.54468	[64]	64	8	5e-05	400	0.05	0.1	0.1	6.0	2.0	0.0001	gelu	0.05	False	True
