dataset	m26_score	m27_score	delta_score_m27_minus_m26	m26_mse	m27_mse	delta_mse_m27_minus_m26	m26_bz_mse	m27_bz_mse	delta_bz_mse_m27_minus_m26	m26_runtime_sec	m27_runtime_sec	delta_runtime_sec_m27_minus_m26
batch_effects_moderate_drop	0.11628166027367115	0.11420168541371822	-0.0020799748599529266	0.20645324885845184	0.19631211459636688	-0.010141134262084961	0.013055035844445229	0.016045628115534782	0.002990592271089554	86.73855427606031	112.77752819494344	26.03897391888313
batch_effects_moderate_drop_group	0.11012927163392305	0.10485107358545065	-0.0052781980484724045	0.20051346719264984	0.18344992399215698	-0.01706354320049286	0.009872538037598133	0.013126111589372158	0.003253573551774025	87.1994575400604	98.39870708505623	11.199249544995837
groups_balanced_moderate_drop	0.10959756327793002	0.10555088985711336	-0.00404667342081666	0.20425871014595032	0.19488303363323212	-0.0093756765127182	0.007468208204954863	0.008109373040497303	0.0006411648355424404	86.01051794295199	99.30296267801896	13.292444735066965
groups_balanced_moderate_drop_group	0.09995899256318808	0.09508620901033282	-0.004872783552855253	0.185844287276268	0.17514269053936005	-0.010701596736907959	0.007036848925054073	0.0075148637406528	0.00047801481559872627	85.20284887601156	95.833816029015	10.63096715300344
groups_balanced_nodrop	0.023008176474832	0.023008176474832	0.0	0.0028723019640892744	0.0028723019640892744	0.0	0.02157202549278736	0.02157202549278736	0.0	84.98219206009526	86.25683830399066	1.274646243895404
groups_imbalanced_moderate_drop	0.10679124807938933	0.10247399192303419	-0.004317256156355143	0.2011992484331131	0.19237464666366577	-0.008824601769447327	0.006191623862832785	0.006286668591201305	9.504472836852074e-05	88.9383035650244	100.71794621506706	11.77964265004266
groups_imbalanced_moderate_drop_group	0.0965753928758204	0.09203204559162259	-0.004543347284197807	0.18111778795719147	0.17110128700733185	-0.01001650094985962	0.006016498897224665	0.006481402087956667	0.00046490319073200226	84.1326229540864	99.04817983391695	14.915556879830547
groups_rare_high_drop	0.16716071451082826	0.160148651804775	-0.007012062706053257	0.32171112298965454	0.30837804079055786	-0.01333308219909668	0.006305153016000986	0.005959631409496069	-0.00034552160650491714	84.66378283896483	101.91572331497446	17.251940476009622
groups_rare_high_drop_group	0.15614361129701138	0.14960912941023707	-0.0065344818867743015	0.3023763597011566	0.2890496551990509	-0.013326704502105713	0.004955431446433067	0.005084301810711622	0.00012887036427855492	84.79362059396226	97.9658484829124	13.172227888950147
paths_branching_moderate_drop	0.11138746701180935	0.107309446670115	-0.004078020341694355	0.20322319865226746	0.19299817085266113	-0.010225027799606323	0.009775867685675621	0.010810361243784428	0.0010344935581088066	83.54864870698657	97.1924194880994	13.643770781112835
paths_branching_moderate_drop_group	0.10517912777140737	0.09947329619899392	-0.0057058315724134445	0.19874705374240875	0.1853606253862381	-0.013386428356170654	0.00580560090020299	0.006792983505874872	0.0009873826056718826	86.02260449202731	98.65322814206593	12.630623650038615
paths_linear_moderate_drop	0.1035542469471693	0.09871125314384699	-0.004842993803322315	0.19260963797569275	0.18128147721290588	-0.011328160762786865	0.007249427959322929	0.008070514537394047	0.0008210865780711174	84.08240360196214	99.10509851807728	15.022694916115142
paths_linear_moderate_drop_group	0.100316290743649	0.09445759654045105	-0.005858694203197956	0.18463560938835144	0.1721692830324173	-0.012466326355934143	0.007998486049473286	0.008372955024242401	0.00037446897476911545	85.51807538908906	96.37786591390613	10.859790524817072
