dataset	iter	score	ARI	NMI	PS	ASW	hidden	bottleneck	batch_size	lr	epochs	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	weight_decay
blakeley_top1000markers	0	2.9163	0.4452	0.6688	0.8	0.5571	[64]	32	32	0.0001	300	0.01	0.3	0.2	2.0	1.0	0.0
blakeley_top1000markers	1	4.677	1.0	1.0	1.0	0.677	[64]	64	32	0.0005	200	0.05	0.2	0.3	1.0	0.5	0.0001
blakeley_top1000markers	2	4.2905	1.0	1.0	1.0	0.2905	[128, 64]	64	64	0.001	300	0.01	0.2	0.3	2.0	1.0	0.0
blakeley_top1000markers	3	4.6703	1.0	1.0	1.0	0.6703	[64]	64	64	0.0005	200	0.05	0.3	0.2	2.0	0.5	0.0
blakeley_top1000markers	4	4.2743	1.0	1.0	1.0	0.2743	[128]	64	16	0.001	300	0.0	0.3	0.1	4.0	2.0	0.0
blakeley_top1000markers	5	4.3474	1.0	1.0	1.0	0.3474	[64]	64	32	0.001	300	0.05	0.4	0.1	2.0	1.0	0.0
blakeley_top1000markers	6	4.3716	1.0	1.0	1.0	0.3716	[64]	32	16	0.001	300	0.05	0.4	0.2	4.0	1.0	0.0
blakeley_top1000markers	7	4.3611	1.0	1.0	1.0	0.3611	[128, 64]	32	16	0.0005	300	0.0	0.3	0.1	4.0	1.0	0.0
blakeley_top1000markers	8	4.5112	1.0	1.0	1.0	0.5112	[64]	32	64	0.001	200	0.0	0.4	0.2	4.0	0.5	0.0
blakeley_top1000markers	9	4.2814	1.0	1.0	1.0	0.2814	[128, 64]	64	32	0.001	300	0.01	0.4	0.1	1.0	2.0	0.0001
blakeley_top1000markers	10	4.4774	1.0	1.0	1.0	0.4774	[64]	64	16	0.001	200	0.05	0.4	0.3	2.0	1.0	0.0001
blakeley_top1000markers	11	4.5861	1.0	1.0	1.0	0.5861	[64]	64	32	0.0005	300	0.01	0.2	0.1	1.0	0.5	0.0
blakeley_top1000markers	12	4.2826	1.0	1.0	1.0	0.2826	[128, 64]	32	32	0.001	300	0.0	0.4	0.2	2.0	1.0	0.0001
blakeley_top1000markers	13	2.9169	0.4452	0.6688	0.8	0.5577	[64]	32	64	0.0001	300	0.0	0.3	0.2	4.0	0.5	0.0
blakeley_top1000markers	14	4.691	1.0	1.0	1.0	0.691	[128]	64	64	0.0001	200	0.05	0.2	0.3	1.0	2.0	0.0
blakeley_top1000markers	15	4.3486	1.0	1.0	1.0	0.3486	[128]	32	16	0.0005	300	0.05	0.4	0.2	2.0	1.0	0.0
blakeley_top1000markers	16	4.5801	1.0	1.0	1.0	0.5801	[128, 64]	16	16	0.0005	200	0.0	0.2	0.3	4.0	2.0	0.0
blakeley_top1000markers	17	4.4068	1.0	1.0	1.0	0.4068	[128, 64]	16	64	0.0005	300	0.0	0.3	0.3	2.0	1.0	0.0
blakeley_top1000markers	18	4.3357	1.0	1.0	1.0	0.3357	[128]	16	16	0.001	300	0.01	0.3	0.3	1.0	1.0	0.0
blakeley_top1000markers	19	4.2979	1.0	1.0	1.0	0.2979	[128]	64	32	0.001	200	0.05	0.3	0.1	4.0	2.0	0.0
blakeley_top1000markers	20	4.4335	1.0	1.0	1.0	0.4335	[128, 64]	16	64	0.001	200	0.05	0.2	0.1	1.0	1.0	0.0001
blakeley_top1000markers	21	2.9052	0.4452	0.6688	0.8	0.546	[64]	32	64	0.0001	300	0.0	0.4	0.2	2.0	0.5	0.0
blakeley_top1000markers	22	4.4187	1.0	1.0	1.0	0.4187	[128, 64]	16	64	0.0005	300	0.01	0.3	0.1	2.0	0.5	0.0001
blakeley_top1000markers	23	2.9032	0.4452	0.6688	0.8	0.544	[64]	32	32	0.0001	300	0.01	0.4	0.1	1.0	1.0	0.0
blakeley_top1000markers	24	4.5296	1.0	1.0	1.0	0.5296	[64]	32	16	0.001	200	0.0	0.3	0.3	1.0	0.5	0.0001
blakeley_top1000markers	25	4.3897	1.0	1.0	1.0	0.3897	[128, 64]	32	32	0.0005	300	0.01	0.2	0.1	1.0	2.0	0.0
blakeley_top1000markers	26	4.6937999999999995	1.0	1.0	1.0	0.6938	[128]	32	64	0.0001	200	0.0	0.3	0.3	2.0	1.0	0.0001
blakeley_top1000markers	27	4.5767	1.0	1.0	1.0	0.5767	[64]	32	32	0.0005	300	0.0	0.4	0.1	2.0	1.0	0.0001
blakeley_top1000markers	28	4.4521	1.0	1.0	1.0	0.4521	[128]	16	16	0.0005	300	0.0	0.4	0.2	1.0	0.5	0.0001
blakeley_top1000markers	29	4.6259	1.0	1.0	1.0	0.6259	[64]	16	32	0.001	200	0.0	0.2	0.2	4.0	2.0	0.0001
