dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	3	0.26721848426702993	0.00318431325603577	0.36222512251514205	0.0044519109824119685	0.010367167104688296	0.0004169992050491493	0.22895789549953616	0.0029758635941057273	0.26107266218758285	0.003339164959507909	0.3797178474789911	0.0025150325834958505	0.4757284471424977	0.00340839125044217	0.030428720667012053	0.0013179247164289713	0.3664353310514148	0.002814852903772472	0.3753993556819273	0.002818042972623995	1.2026431525809624	0.006558597125837355	1.1399579145422898	0.0065726291763437816	0.28314126345083507	0.005913925777482444	23.146278538663562	1.6774783401728353	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	3	0.26221124695147563	0.0009016623335791101	0.35566827569323545	0.0008539498154897453	0.010073632412896874	0.00015002039570538288	0.22943021625397228	0.002006104777568534	0.2603891682848165	0.0025923834575386252	0.37714300046591703	0.0008973515724735877	0.47122942743977553	0.0009626916118147353	0.031377858672497434	0.00016982388966622905	0.36856552878198295	0.0019650924954480176	0.37709251722278525	0.0023070899506348716	1.2017220264948854	0.0027800983187462394	1.1225353728210645	0.005783912568746287	0.27335389849490815	0.004028974284634891	22.092226383664336	0.10776633908852101	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	3	0.2427053581698139	0.00040693713830004965	0.3225540491895609	0.0003433069166879631	0.007288946093616945	0.00018153114766882389	0.21621422855096983	0.0006248519079396908	0.25125515957188305	0.0006302357816350827	0.3660795505634673	0.0002357352032679262	0.45195483467329906	0.0001691541979516367	0.02502739103894458	0.0003262926218577041	0.3594837944640487	0.0005022970507110741	0.368555221111071	0.0005483238820295637	1.2112425799411188	0.0011461405115208835	1.1673902105406289	0.0015251127495333732	0.17554954075425244	0.00348392443929287	22.140706770316076	0.011458804639008339	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	3	0.25234332928497916	0.003165199163126375	0.3290845890134772	0.005172178266524291	0.009682476465145804	0.0005515706037741709	0.22724667083379735	0.003009282191832437	0.25561857767728496	0.004634516691570923	0.3751853638153692	0.0023080487836287023	0.4581668662403369	0.0036855652811070673	0.030391384623652717	0.0010350216910721488	0.36960500480484715	0.0032220355847215163	0.3770605885391773	0.003340884997774032	1.2190979329660978	0.006478368674686239	1.1634467153196832	0.0076614108205929005	0.21840778369920302	0.0036492359783753224	22.239720314973965	0.06036602795259193	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	3	0.1546626829682519	0.0006805277394354552	nan	nan	0.02270825078667746	0.0008479212556549643	0.17381600894995472	0.0009021229708856323	0.15444751120152886	0.000596190469593814	0.2926918826446933	0.00047202321015064137	nan	nan	0.061397939987119864	0.0021462880484880843	0.32626444408179517	0.0008498323898904971	0.2953455024949716	0.00042133589859383953	0.997983826570175	0.0020300858689822625	0.9316862565578808	0.0018653409944559692	0.22593762617372662	0.0021501948515094222	22.174570063711144	0.04222843568833062	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	3	0.255467697487957	0.0037777719497797246	0.33717561100243776	0.005705617551302113	0.010141616976416681	0.0005347926852948193	0.22660479147204085	0.0027897517863392676	0.25904705622446766	0.002476359008724238	0.37563116599923724	0.0027109629718994476	0.4645571512138089	0.003962570388683999	0.03136664593242913	0.0007250295431495323	0.3673249612563854	0.00228681203214502	0.3802617361611588	0.0016978664748487737	1.2304201447895922	0.007073725222074805	1.1815057406537068	0.0045442620775575674	0.18781662768187934	0.00264690472795579	22.149406722319934	0.0020117767503189804	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	3	0.2371910836413019	0.003448487023345806	0.3258271189422714	0.0053784742702256486	0.009058916672691882	0.0004660602850752763	0.21013998894691258	0.002632123522410557	0.23700553895615517	0.003871459915042606	0.3602806365650357	0.0024913226679340868	0.4565455020066544	0.004034487968383377	0.027226717359250408	0.0007369219910633489	0.3520617124541589	0.0018649828472166261	0.3604279289130414	0.002871801105067783	1.1939141171336314	0.005616418094425655	1.1303232911076282	0.0071287807489887915	0.2029557840351499	0.002365468476425975	22.125779826698516	0.047867748830181855	972000	418522	110025	443453	278000	278
groups_rare_high_drop	3	0.37152061368603073	0.006829758818959464	0.4599527796351441	0.008161775492735465	0.004363758407948022	0.0002099129151951226	0.3052094297108094	0.00640720421240997	0.37866376342075697	0.006699236311735279	0.4631388948350484	0.004901682104732334	0.5444171430510665	0.005454146403005118	0.02084618477158053	0.0004072737060052096	0.44278369051875255	0.005603299582265912	0.46866754047315345	0.004895035747894616	1.449319613747707	0.011802587408402412	1.3880465663428694	0.011658252130325873	0.19931384342392341	0.003677730257914407	22.164099729348283	0.03910855664985653	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	3	0.3530889542810987	0.0022665310577599878	0.44948769505829667	0.003024088366616661	0.0040349833956194086	7.980214818632113e-05	0.27832221135127194	0.004136779772907664	0.36002263322205624	0.003922257535829918	0.4474889307992565	0.0017809193377407377	0.5371830699044454	0.0016802041003716223	0.018058638450317594	0.0008912343546961947	0.4146605608998364	0.004931201317684385	0.45201118945235946	0.002407597092391876	1.411795573480364	0.006671239672928068	1.3487405247060795	0.006331557216802812	0.21003338876354438	0.0024957617072540465	22.250244077993557	0.0038115975899651066	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	3	0.24282978421346715	0.0034018804626111364	0.3218591944057719	0.00529048008969486	0.009828292950222911	0.0005213773378087784	0.2225453970774843	0.002512078232784741	0.246540144541193	0.0033425107635018927	0.3640326331419795	0.0024683933941741015	0.4537153523194409	0.003928496309164112	0.02963987669403396	0.0011122514191517947	0.3648088249446422	0.0018869275517945758	0.36712935883460474	0.0024851779260572967	1.1854054421389615	0.005826283558910473	1.1581379602359083	0.006023003505285591	0.2007534797274493	0.0033968578531500837	22.407082839636132	0.05848388326602193	966000	467969	126370	371661	582000	582
paths_branching_moderate_drop_group	3	0.2522122934595588	0.0014527950239340694	0.3291880064483683	0.001854450840406172	0.009816794369205302	0.00031783279082732007	0.22862438259149956	0.0014923476021499217	0.24878316386766805	0.0009599384634269211	0.3755016244106419	0.0010796140236944167	0.45860958271002766	0.0014511288668013422	0.0302159673768555	0.0004995442313212206	0.37103821105404206	0.0010961665843983613	0.3739419612681583	0.0006178723995184813	1.1965059501386275	0.0022978079662705235	1.163926224578012	0.000919948460432213	0.2350693054129985	0.006654006160947977	22.24200238039096	0.17932672659732019	972000	454237	103983	413780	582000	582
paths_linear_moderate_drop	3	0.2613130089548084	0.002024164840016383	0.3403049675539034	0.0023820202241399465	0.010537269604364581	0.0002373252829526908	0.23047670173177126	0.0022108195372310432	0.26593313868144336	0.0017918829590848062	0.3824305224987923	0.0015826902358572982	0.46582031081543246	0.0016922952211675818	0.032085891367021606	0.0005616542593056949	0.37072529362557544	0.0020355960078452208	0.38895939185453027	0.0013980574798746596	1.1908709175794343	0.004769644354585113	1.160924517034568	0.004131209500333805	0.22272689052869174	0.0018367120131343195	22.201228419706847	0.002878555000427793	965000	466459	97633	400908	552000	552
