metric	value
config	"{""bio_reg_weight"": 2.0, ""epochs"": 400, ""loss_bio_weight"": 2.0, ""loss_nz_weight"": 2.0, ""lr"": 0.0001, ""name"": ""f01_bioreg1p1"", ""noise_max"": 0.02, ""observed_recon_weight"": 0.75, ""p_nz"": 0.05, ""p_zero"": 0.01, ""zero_shrink_strength"": 0.3}"
corr_err	0.22166264683029452
corr_err_dataset_std	0.03158954835195283
device	cuda
gnrmse	1.2197970056806868
gnrmse_dataset_std	0.1101633366156484
gnrmse_marker	1.1686601871494409
gnrmse_marker_dataset_std	0.10900802305611283
input_dir	synthetic_datasets/simulated_data/tune
mae	0.37932996011531045
mae_biozero	0.030736036269609166
mae_biozero_dataset_std	0.010200043065698144
mae_dataset_std	0.04088853354629377
mae_dropout	0.4743524982575693
mae_dropout_dataset_std	0.031899829210438595
mae_marker	0.38098828058398837
mae_marker_dataset_std	0.04201224364647685
mae_non_zero	0.37293070813318174
mae_non_zero_dataset_std	0.02827694223121249
mse	0.26176611164259983
mse_biozero	0.009957181407247951
mse_biozero_dataset_std	0.004472584768417092
mse_dataset_std	0.052888754539504694
mse_dropout	0.35475576307615997
mse_dropout_dataset_std	0.048472721530580805
mse_marker	0.2634819426464156
mse_marker_dataset_std	0.054939931451740164
mse_non_zero	0.231533209888577
mse_non_zero_dataset_std	0.031339201067593324
n_datasets	13
n_repeats	3
runtime_sec	22.271621894357036
runtime_sec_dataset_std	0.30178151845694823
score_mse_plus_2biozero	0.2816804744570957
score_mse_plus_biozero	0.27172329304984777
