dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.2676093496196301	nan	0.36470423693688864	nan	0.009923322892400006	nan	0.22714681338187437	nan	0.2571257439395425	nan	0.3794655300100375	nan	0.47724474026642993	nan	0.0292263919201283	nan	0.3643868703210193	nan	0.37165476807783376	nan	1.202610478532437	nan	1.1320344139084182	nan	0.2734647782794139	nan	24.06718719494529	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.26822898977998594	nan	0.36583949383085884	nan	0.009237030595860857	nan	0.23283500377194	nan	0.2700970959936063	nan	0.3809344432362105	nan	0.4785094007117252	nan	0.029857317082124937	nan	0.37004409735180893	nan	0.3841154073769867	nan	1.207924664054198	nan	1.1365558352376182	nan	0.26709609576266724	nan	21.91986708098557	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.24363013904198266	nan	0.3233982528039221	nan	0.007139341031763554	nan	0.21749265306778925	nan	0.25130617210694123	nan	0.3668741220413495	nan	0.4526163628849921	nan	0.024290157440602	nan	0.3608019395938034	nan	0.3688672099463639	nan	1.2142450931542494	nan	1.1681624653963054	nan	0.17456518100796287	nan	22.169337597093545	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.25233785327515684	nan	0.3289946117107136	nan	0.009234318330858957	nan	0.22745454198134862	nan	0.25631444268736425	nan	0.37518758940329205	nan	0.4583364027580325	nan	0.028882481662327042	nan	0.3698094380317778	nan	0.3775588611551755	nan	1.2196119394589056	nan	1.1642730600056332	nan	0.22147699721238126	nan	22.13713505596388	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.15507948538153923	nan	nan	nan	0.022393186981572336	nan	0.1743390425221666	nan	0.15491138773175814	nan	0.2929473468628968	nan	nan	nan	0.06072048809154602	nan	0.32665532206477593	nan	0.2957450430472186	nan	0.9991492676645516	nan	0.933034983448264	nan	0.22207740966531342	nan	22.15658087702468	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.2547210621719953	nan	0.3371463741221031	nan	0.010260760057376262	nan	0.22470168457052628	nan	0.2579643625715113	nan	0.37478706115614646	nan	0.4642115114700054	nan	0.03189925300730625	nan	0.3654455053240675	nan	0.37953338648729035	nan	1.2276684422792787	nan	1.1797443524356284	nan	0.1976094124685665	nan	22.13117691699881	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.24318161849483932	nan	0.33508781781230784	nan	0.008671218986373592	nan	0.21462671043282003	nan	0.24660637304731564	nan	0.36491633369038673	nan	0.46325964704744105	nan	0.026269442378957043	nan	0.35612348309228226	nan	0.36794329368719336	nan	1.2059379898882243	nan	1.1511184681923528	nan	0.1970980353992801	nan	22.114269060082734	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.37464550023269894	nan	0.46150460415631794	nan	0.0040796272475890575	nan	0.3133625478300477	nan	0.3818945512082829	nan	0.4662606741858747	nan	0.546358640340561	nan	0.018833246773993888	nan	0.4506759321558295	nan	0.4717455238018363	nan	1.4584554339701261	nan	1.39545492823857	nan	0.2013268012048864	nan	22.25463331397623	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.3567239611174795	nan	0.45283931698159036	nan	0.003971349813900082	nan	0.2838356273048694	nan	0.3630420567822157	nan	0.4504402856454007	nan	0.5396347316699854	nan	0.01780145383690086	nan	0.41976099854063587	nan	0.45437851460841566	nan	1.419625834638031	nan	1.3547655274900283	nan	0.20806875132740757	nan	22.2307890499942	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.24469333577889024	nan	0.3252911643138441	nan	0.009710835070356643	nan	0.22310767947614016	nan	0.24866156658775918	nan	0.3651395710823744	nan	0.45610155283951737	nan	0.02868311368479592	nan	0.36500669429525817	nan	0.3685086314186451	nan	1.1881104003827647	nan	1.1617379760441096	nan	0.19856606606318342	nan	22.257960545946844	nan	966000	467969	126370	371661	582000	582
paths_branching_moderate_drop_group	1	0.24993456298286926	nan	0.325526894169837	nan	0.009890319333618475	nan	0.22727442195624978	nan	0.24680915659441058	nan	0.37386792634243554	nan	0.45599047142965693	nan	0.029619901473198325	nan	0.3702255169876909	nan	0.37247567302317763	nan	1.1937247397394115	nan	1.1609816704344393	nan	0.2381716629223933	nan	22.222396766999736	nan	972000	454237	103983	413780	582000	582
paths_linear_moderate_drop	1	0.26391138689460736	nan	0.34237249470999714	nan	0.010137450162089343	nan	0.23442287799617392	nan	0.2692970381950206	nan	0.3844171136057091	nan	0.4673773711438622	nan	0.030833421731155972	nan	0.3740004539675849	nan	0.39157849841705966	nan	1.196419651229596	nan	1.1683147462233727	nan	0.22735383889059657	nan	22.261322090053	nan	965000	466459	97633	400908	552000	552
paths_linear_moderate_drop_group	1	0.2506356516233989	nan	0.32489147380654876	nan	0.01142465189027668	nan	0.23208065465080185	nan	0.2468512785475672	nan	0.37220432876230614	nan	0.4552634732338684	nan	0.030654006160094064	nan	0.3740179393641962	nan	0.3680955177255156	nan	1.1677125958014318	nan	1.136468486862214	nan	0.2461944131329949	nan	22.1810684800148	nan	964000	468240	115885	379875	566000	566
