dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.2274962470364327	nan	0.30277827293469695	nan	0.018352122568962962	nan	0.1987684944678481	nan	0.22047381246457587	nan	0.3515217416711334	nan	0.43163256724539023	nan	0.047733072168695545	nan	0.3439307424284771	nan	0.34566018010624294	nan	1.133063985912401	nan	1.0679178679220684	nan	0.2516339758009501	nan	24.981769470963627	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.2287996867517951	nan	0.30323241578745375	nan	0.018045717528663952	nan	0.20533307115692934	nan	0.22796383653676475	nan	0.3542558449154307	nan	0.43281219472233473	nan	0.04956304665711955	nan	0.35134522880389507	nan	0.3549953213813215	nan	1.1430950409292093	nan	1.0668375439023607	nan	0.24390420281351777	nan	22.24299061205238	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.21334272487999412	nan	0.2762243818585783	nan	0.013436826932132816	nan	0.19609704822411042	nan	0.2167699708267035	nan	0.34515397879762844	nan	0.4165533727002265	nan	0.040522882229122585	nan	0.34492018729118895	nan	0.34427708718739297	nan	1.1602678924636873	nan	1.1082790841992758	nan	0.16300432078700658	nan	22.833556578028947	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.21764737342463475	nan	0.276292641244921	nan	0.017684491931527702	nan	0.20226794794307015	nan	0.22111704550914535	nan	0.35033402520607376	nan	0.4179763402499083	nan	0.0472512118690322	nan	0.35154698619320546	nan	0.35244433690422433	nan	1.1596489574834692	nan	1.105476535988144	nan	0.20360583444257	nan	22.23987071798183	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.14901664031588693	nan	nan	nan	0.033295039915018476	nan	0.165813753523515	nan	0.14939524274053176	nan	0.28889618612266876	nan	nan	nan	0.08622228600015013	nan	0.3183145179880816	nan	0.291814896182104	nan	0.978262732978734	nan	0.9142076117814789	nan	0.2216915509896472	nan	22.23821424797643	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.21643496655854552	nan	0.27933035849033067	nan	0.01982569512731095	nan	0.19654030682274576	nan	0.22282653558646695	nan	0.34719623657553916	nan	0.41951380522578635	nan	0.05248597049663816	nan	0.344850211354356	nan	0.3543606838654242	nan	1.1592454408600963	nan	1.1170248566597532	nan	0.17281266229808287	nan	22.25015281199012	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.21023417981457004	nan	0.28181768629954596	nan	0.015448360726333316	nan	0.19100336492342754	nan	0.2102340306854422	nan	0.34125181949387	nan	0.4228177366270547	nan	0.04116268992213996	nan	0.3387265816686996	nan	0.34154865922426136	nan	1.1476132718996148	nan	1.0847357540999474	nan	0.18910724296476564	nan	22.195334231015295	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.31339417568332795	nan	0.37905996195199937	nan	0.00927680266023297	nan	0.276344196181063	nan	0.3218194402221258	nan	0.42679770450665194	nan	0.4916834875714643	nan	0.03338162062401173	nan	0.4261615742992104	nan	0.43309083694327744	nan	1.371968017075228	nan	1.3114438331529312	nan	0.1865641197479541	nan	22.23414341104217	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.29302312327422236	nan	0.3627769751553474	nan	0.008972056768807036	nan	0.2499719166954762	nan	0.2973101792794122	nan	0.4102176529001286	nan	0.4809093502991672	nan	0.029879481722957422	nan	0.3990483052353097	nan	0.4131497221177083	nan	1.3336623172453588	nan	1.266319159972004	nan	0.19715047806642802	nan	22.198319818940945	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.21125864527738	nan	0.27407088739994157	nan	0.01746433054489905	nan	0.1980627635972754	nan	0.2149092523463452	nan	0.3410285694066977	nan	0.4162142812775642	nan	0.047241533051246	nan	0.346251838422658	nan	0.34432981398961043	nan	1.126258837679213	nan	1.1008084808618324	nan	0.19080731220381245	nan	22.248510021017864	nan	966000	467969	126370	371661	582000	582
