metric	value
config	"{""bio_reg_weight"": 1.0, ""epochs"": 400, ""loss_bio_weight"": 2.0, ""loss_nz_weight"": 2.0, ""lr"": 0.0001, ""name"": ""c05_pzero0p005_bioreg1"", ""noise_max"": 0.02, ""observed_recon_weight"": 0.75, ""p_nz"": 0.05, ""p_zero"": 0.005, ""zero_shrink_strength"": 0.3}"
corr_err	0.20665212924856555
corr_err_dataset_std	0.026067299134333834
device	cuda
gnrmse	1.1612069004935466
gnrmse_dataset_std	0.09792586523299215
gnrmse_marker	1.1107707921955332
gnrmse_marker_dataset_std	0.09544238324842758
input_dir	synthetic_datasets/simulated_data/tune
mae	0.3550142903084316
mae_biozero	0.047923149642582125
mae_biozero_dataset_std	0.013262601176606166
mae_dataset_std	0.033267900272449365
mae_dropout	0.43262155799678426
mae_dropout_dataset_std	0.025717709404754315
mae_marker	0.3567354395746625
mae_marker_dataset_std	0.034351406841054685
mae_non_zero	0.356210375823833
mae_non_zero_dataset_std	0.02784830551132051
mse	0.22651928027012985
mse_biozero	0.017572015801844122
mse_biozero_dataset_std	0.005953402371222955
mse_dataset_std	0.03980592085417935
mse_dropout	0.29802179888044394
mse_dropout_dataset_std	0.035471424140634165
mse_marker	0.22828122260525424
mse_marker_dataset_std	0.041627958238527225
mse_non_zero	0.2078037045580423
mse_non_zero_dataset_std	0.027863126500626886
n_datasets	13
n_repeats	1
runtime_sec	22.373189491909354
runtime_sec_dataset_std	0.8313713249778636
score_mse_plus_2biozero	0.2616633118738181
score_mse_plus_biozero	0.24409129607197397
