dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.2263025376495559	nan	0.30070126859539226	nan	0.01895782777095174	nan	0.19809700803623032	nan	0.21942280691772942	nan	0.3507514761085096	nan	0.4300585987268594	nan	0.04897770304207476	nan	0.3435288153766329	nan	0.344995119943456	nan	1.1308886756486605	nan	1.0659278642526309	nan	0.2500021071853172	nan	24.699068353977054	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.22741169079482457	nan	0.3002058156767512	nan	0.018729304533749134	nan	0.20514398252148852	nan	0.22661102002249067	nan	0.35346444705852936	nan	0.4305563742336963	nan	0.05082476834042832	nan	0.3515716957183628	nan	0.35423387195335804	nan	1.1415789152118316	nan	1.0651918178862045	nan	0.24299185723571293	nan	22.209896587999538	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.2121063470466855	nan	0.2741161565407876	nan	0.013824656503919097	nan	0.19538570472420544	nan	0.2153909169508147	nan	0.3442519567348755	nan	0.41490431757438695	nan	0.04148763704283612	nan	0.34434965204503165	nan	0.34327784820380547	nan	1.1577903468113662	nan	1.105610797354465	nan	0.16283793296858837	nan	22.85662268404849	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.21581468178997565	nan	0.2732445393762402	nan	0.018327679491478427	nan	0.20119043939683642	nan	0.21923087386828985	nan	0.34899031967179117	nan	0.4155309919470104	nan	0.0486315999459524	nan	0.3507622107135863	nan	0.35106203429115884	nan	1.1562643718046364	nan	1.1021600209977467	nan	0.20378430777987155	nan	22.24309517198708	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.14899780106658247	nan	nan	nan	0.0333736467825539	nan	0.16578076986685253	nan	0.14937775271623527	nan	0.28888879908977017	nan	nan	nan	0.08640976285534668	nan	0.3182788462548587	nan	0.2918113172548775	nan	0.9781753209340324	nan	0.9141211232295694	nan	0.2213885889442193	nan	22.176902133971453	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.2140024065013176	nan	0.2754829455715654	nan	0.020749333401702198	nan	0.19487424766588654	nan	0.22075917465078065	nan	0.34534895611204774	nan	0.4164351226997332	nan	0.054266365700777267	nan	0.34345872525701276	nan	0.35281361844856257	nan	1.1541709478104847	nan	1.1128902064888306	nan	0.17302595135517315	nan	22.152292059967294	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.20922747176780213	nan	0.28022452144353593	nan	0.01580579060042852	nan	0.19021168710979516	nan	0.20903315542541667	nan	0.3405106379367505	nan	0.4215718105436226	nan	0.04212472844449128	nan	0.33803918235997593	nan	0.3406690698818548	nan	1.1452680032432023	nan	1.08199475397838	nan	0.18832356956803215	nan	22.11083811800927	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.3080908392855007	nan	0.37112353174245577	nan	0.010064842552319632	nan	0.2748895884026016	nan	0.31737833030469303	nan	0.42333825717268775	nan	0.486201999409044	nan	0.03542419606080412	nan	0.42533855712522906	nan	0.4301533728301283	nan	1.3644361722651612	nan	1.3048938146649025	nan	0.18721761119612923	nan	22.151689129066654	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.2886812932517795	nan	0.3563565911229165	nan	0.009722313457250272	nan	0.24809674170366686	nan	0.2933548987822051	nan	0.40720365796819485	nan	0.47628750706700557	nan	0.03268901160168655	nan	0.3972807923514135	nan	0.4104772419585667	nan	1.3268625960962075	nan	1.2613420034318288	nan	0.20162841264676903	nan	22.11004146595951	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.2098239767175353	nan	0.2719836391761905	nan	0.01806592907748313	nan	0.19675741713544007	nan	0.21346715484619783	nan	0.3399330763443332	nan	0.41443215588062404	nan	0.04870564455761706	nan	0.34515060200177045	nan	0.343266291146479	nan	1.1230464081013056	nan	1.0977432173795452	nan	0.18994687057880788	nan	22.189235427998938	nan	966000	467969	126370	371661	582000	582
paths_branching_moderate_drop_group	1	0.21917389378975244	nan	0.278305167463775	nan	0.01820163717673026	nan	0.20476547820544422	nan	0.21865995285343626	nan	0.3517394053843269	nan	0.4190055248880427	nan	0.05022940499168286	nan	0.3536659220014155	nan	0.3522840838181203	nan	1.138166903344345	nan	1.1110211402108519	nan	0.21689024859574885	nan	22.102182229049504	nan	972000	454237	103983	413780	582000	582
