dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.22908991014317842	nan	0.30355788832718283	nan	0.019095042526536533	nan	0.20155324983285394	nan	0.2225621793200899	nan	0.3527023599182491	nan	0.4322242561135656	nan	0.04790122972749964	nan	0.34608537079351825	nan	0.3471268334837513	nan	1.1377158924397968	nan	1.072801953907828	nan	0.2798042851788606	nan	23.962214519968256	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.2310345620187465	nan	0.3057246880053814	nan	0.018610948657544465	nan	0.20773676173931507	nan	0.23010681356473245	nan	0.35603414368077463	nan	0.4349901818432508	nan	0.04994384244329537	nan	0.3530681353072484	nan	0.35669565145937926	nan	1.149091192536242	nan	1.0722330938499085	nan	0.2690770269953151	nan	22.060802763910033	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.21612859714876478	nan	0.2801766938525197	nan	0.013862151484893512	nan	0.19822720866481627	nan	0.2192174376517226	nan	0.3473398377553163	nan	0.4196222352660088	nan	0.040660438529312275	nan	0.34667479056850287	nan	0.34616808143990424	nan	1.1680207859338692	nan	1.11445106373973	nan	0.19127908435649024	nan	22.051332834991626	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.22035902875986946	nan	0.2798640894966269	nan	0.018316421003462827	nan	0.20453125739821057	nan	0.22393887691279868	nan	0.3524803943912997	nan	0.42081721783776554	nan	0.047704814949766465	nan	0.3533345578803486	nan	0.3546508283622632	nan	1.1669454832869415	nan	1.1121917605788079	nan	0.23963649846591267	nan	22.025550718070008	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.1495344403598003	nan	nan	nan	0.036385971004180194	nan	0.16595806086325418	nan	0.1498326516592183	nan	0.28953792921229127	nan	nan	nan	0.09029273821988842	nan	0.31845858030579066	nan	0.29238399813847077	nan	0.9799136678206034	nan	0.915618870883958	nan	0.22391445554854944	nan	22.345647929003462	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.21826820535310737	nan	0.2811333938743253	nan	0.020430960737532502	nan	0.1987785586455388	nan	0.2251589720769518	nan	0.34846227045241307	nan	0.42078278668470304	nan	0.05264796544766547	nan	0.3464427194905388	nan	0.3560286882714067	nan	1.1639913380697562	nan	1.1226408066285911	nan	0.1996685094360724	nan	22.338723866967484	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.21078432073474676	nan	0.2820756749692328	nan	0.016321578466836427	nan	0.1917490747472378	nan	0.21082053482463387	nan	0.3415348848444553	nan	0.42288346975341384	nan	0.04214369124204023	nan	0.3390415960919574	nan	0.3418357713593034	nan	1.1494829138475877	nan	1.086502743810675	nan	0.22636138070339817	nan	22.153963687014766	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.32354573518124935	nan	0.39357534124839116	nan	0.008992722349923429	nan	0.28024907159088264	nan	0.3329082290481611	nan	0.4349719682013971	nan	0.5038192250882247	nan	0.032353080652717824	nan	0.42856030309881227	nan	0.4417378960108541	nan	1.39375293106297	nan	1.33303504503956	nan	0.21303222199808022	nan	22.2827141470043	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.3029874214602088	nan	0.377034208545274	nan	0.008678585491533934	nan	0.2547507401759686	nan	0.3074006050509641	nan	0.4181381525111007	nan	0.49259190260503666	nan	0.028922508457920885	nan	0.40238534863326536	nan	0.4208827567111223	nan	1.3555548851603314	nan	1.2867916797797545	nan	0.2302103543174611	nan	22.280973138986155	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.21368264925614514	nan	0.2770826284342172	nan	0.017924334747482777	nan	0.20041451875140168	nan	0.21744529033484594	nan	0.34278172449417205	nan	0.4184197858751954	nan	0.04724482015378422	nan	0.3480304071783348	nan	0.3461370640772961	nan	1.1320445527004424	nan	1.1066848289637237	nan	0.21584568645397686	nan	22.149718976928852	nan	966000	467969	126370	371661	582000	582
paths_branching_moderate_drop_group	1	0.22328458772299173	nan	0.284375887615221	nan	0.018468415951276577	nan	0.20769048264346063	nan	0.2227158234013896	nan	0.3549110355588871	nan	0.4237468644611859	nan	0.0498743530647627	nan	0.35600062167395585	nan	0.35542227455847847	nan	1.1482789130790216	nan	1.120811697359883	nan	0.25091384429588354	nan	22.28693447203841	nan	972000	454237	103983	413780	582000	582
paths_linear_moderate_drop	1	0.2290452895870541	nan	0.2902018685646975	nan	0.019286024202989697	nan	0.20897183054884544	nan	0.23292545856238694	nan	0.3596706468791367	nan	0.4279254710030378	nan	0.04881123157087226	nan	0.3559592225343518	nan	0.3658020717865957	nan	1.1391881790934735	nan	1.10941488452793	nan	0.23906518117635417	nan	22.50182862696238	nan	965000	466459	97633	400908	552000	552
paths_linear_moderate_drop_group	1	0.21962681361051697	nan	0.2782709200303757	nan	0.02073738726683493	nan	0.20801453268074532	nan	0.21739893475956348	nan	0.3497055881125671	nan	0.418656082908667	nan	0.04977858259959171	nan	0.35621210038777673	nan	0.34679017688329156	nan	1.1129240953054826	nan	1.0846104804188061	nan	0.2470095923479421	nan	22.250040302984416	nan	964000	468240	115885	379875	566000	566
