dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.20267441239527265	nan	0.2603552718354051	nan	0.03923316380042167	nan	0.1815673317884933	nan	0.20021834531680283	nan	0.33412698499697546	nan	0.39784281509543373	nan	0.08374684359056814	nan	0.33056853016724586	nan	0.3316719215550754	nan	1.0839015335067825	nan	1.027227661445193	nan	0.2655842398337572	nan	23.892794784973375	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.20657353089491265	nan	0.2632154036871533	nan	0.040817212223389944	nan	0.19014437534938272	nan	0.209401774914404	nan	0.33935329651261015	nan	0.40099089858065606	nan	0.08867020326364572	nan	0.3401547463034448	nan	0.3427268804593905	nan	1.1031736987223422	nan	1.0324496921222088	nan	0.26755808710988294	nan	21.879039381979965	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.19560043301604838	nan	0.24674167359999105	nan	0.029070718307894795	nan	0.18255828560017387	nan	0.19549068894049873	nan	0.3324658745519899	nan	0.3919394626849213	nan	0.07123204528960582	nan	0.3341362685382727	nan	0.32879512431332597	nan	1.1261486937524783	nan	1.0652526649950713	nan	0.21447822524752044	nan	21.945693417917937	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.19886302680759055	nan	0.24514448517265963	nan	0.037803307553981425	nan	0.18757716339135694	nan	0.1987206832746696	nan	0.3369116002201804	nan	0.39185796497887276	nan	0.08292744070312291	nan	0.33993424580535336	nan	0.3362102394675974	nan	1.1237004231364718	nan	1.0609460139801778	nan	0.2728528859754124	nan	21.945319065009244	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.14679648238332207	nan	nan	nan	0.05571979849028831	nan	0.16001635978414627	nan	0.14713305570750046	nan	0.28910222066601515	nan	nan	nan	0.12820676450186608	nan	0.31245636701743285	nan	0.29154970541144004	nan	0.967699986961462	nan	0.9041580814503639	nan	0.2262377684335204	nan	21.804785799933597	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.19349502574832086	nan	0.24149762662238466	nan	0.04182152818300892	nan	0.1787952224243547	nan	0.2009848334131259	nan	0.3303186768843778	nan	0.38762421056543733	nan	0.09058369213010509	nan	0.3303143903506349	nan	0.33811189190361834	nan	1.1110953984031124	nan	1.0699668914871192	nan	0.20874371667015246	nan	22.8847441310063	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.19077946509720003	nan	0.24686769436715333	nan	0.03257772524045989	nan	0.17709591472595085	nan	0.19043197450185137	nan	0.32728640702831413	nan	0.39381116842234953	nan	0.07134871127923754	nan	0.32800230879611725	nan	0.3273229450048418	nan	1.1106667635910135	nan	1.0456657282452126	nan	0.2427041860824906	nan	23.42241867398843	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.2774555514967449	nan	0.3299741984206497	nan	0.024008740444742584	nan	0.2517795800176002	nan	0.29047317155242863	nan	0.4041210587313586	nan	0.45863439258444794	nan	0.06373839785560947	nan	0.4074030607951854	nan	0.41313168325931937	nan	1.3236312626774958	nan	1.2667049315891663	nan	0.22785760223860888	nan	23.47687518596649	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.25870372481520415	nan	0.31592938651148933	nan	0.022256366267891597	nan	0.2245830572076478	nan	0.26705892248998747	nan	0.38758654931068937	nan	0.44893681717299544	nan	0.058165374156511795	nan	0.37766220813120716	nan	0.3933507039133636	nan	1.2837846711118555	nan	1.2241800184606462	nan	0.2521558764277141	nan	23.509920716984197	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.19454358830135673	nan	0.24613976538115018	nan	0.03540815493915799	nan	0.18368566487685734	nan	0.19843712365065788	nan	0.32888301042952384	nan	0.39124631653976083	nan	0.08076368501254172	nan	0.33472366940596354	nan	0.3325202939234447	nan	1.0904871691145348	nan	1.0656507571893603	nan	0.22083964865333452	nan	23.52843964798376	nan	966000	467969	126370	371661	582000	582
