dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.1876920110266703	nan	0.21518059306675558	nan	0.15799807546986327	nan	0.16399868064511738	nan	0.1874033597554332	nan	0.32913639398864597	nan	0.35915010132484365	nan	0.2548623633143941	nan	0.3151064164237477	nan	0.32886021056294457	nan	1.0342918145436226	nan	0.9825750770562974	nan	0.2723294615314114	nan	24.295127898920327	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.1948520819040937	nan	0.22021686852815148	nan	0.17063928633342929	nan	0.17420681516955958	nan	0.20008750659041152	nan	0.3377559157166398	nan	0.36329798825993564	nan	0.27854710259069937	nan	0.3262193207653875	nan	0.3431021635015415	nan	1.0595311029601175	nan	0.9940065850043216	nan	0.29581580285942116	nan	22.1554942750372	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.18265198982271003	nan	0.2083671472666569	nan	0.12303564071676808	nan	0.17008406180096738	nan	0.18047398412215135	nan	0.32836901473427904	nan	0.35650148020756695	nan	0.22906351397664723	nan	0.3231129407990559	nan	0.324276783936776	nan	1.0818539029500702	nan	1.0131064645965087	nan	0.2277761585235817	nan	22.248049551039003	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.19090920464593475	nan	0.2140089749678587	nan	0.13884045681212373	nan	0.1778678047378693	nan	0.1866869087272862	nan	0.33756568787878766	nan	0.36232053416220605	nan	0.24759795272104046	nan	0.33252869741042507	nan	0.3344912386776673	nan	1.0928122672617382	nan	1.0172893648135926	nan	0.29984393900272965	nan	22.23710938100703	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.15075675015739354	nan	nan	nan	0.14325499269123793	nan	0.1518456382213218	nan	0.15041065763038275	nan	0.3063711786992073	nan	nan	nan	0.31563049765448686	nan	0.3050271787184034	nan	0.30627332628298565	nan	1.035194692189247	nan	0.9569274576306098	nan	0.2139145330647555	nan	22.217150798998773	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.18498191136885048	nan	0.20994256102935174	nan	0.1400154889204628	nan	0.16719998608358014	nan	0.18917861210589168	nan	0.3306507697833206	nan	0.3593547349572558	nan	0.2424937951745845	nan	0.3211015621495074	nan	0.33566870399443083	nan	1.0798032944035156	nan	1.0277556274385824	nan	0.214623753744847	nan	22.225155633990653	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.17744452887517648	nan	0.20619848463339807	nan	0.13066445925114573	nan	0.1619137152118154	nan	0.1774210470250883	nan	0.32317305796900175	nan	0.35490772732127673	nan	0.23695644314704473	nan	0.31461369713286574	nan	0.32418691740658273	nan	1.062409454134669	nan	0.9956624771382754	nan	0.24778289254442729	nan	22.16757252102252	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.23675309218757204	nan	0.26484423513992167	nan	0.09663868184907631	nan	0.22478159318256596	nan	0.24980920057623113	nan	0.3752463980725569	nan	0.40438245467692197	nan	0.17776248454305577	nan	0.3830242209909718	nan	0.3845436926666404	nan	1.2255364350413698	nan	1.1718896868091473	nan	0.20832707324242672	nan	22.255950776976533	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.22745730190586583	nan	0.2584454072796391	nan	0.08948581997889109	nan	0.21246786437656176	nan	0.23806729193281287	nan	0.36634766764041965	nan	0.3995335213709652	nan	0.1667616887812179	nan	0.3684896798972123	nan	0.3739867249034711	nan	1.210080756159504	nan	1.1570096973453707	nan	0.27025475706071317	nan	22.191517403931357	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.18375711485893395	nan	0.21130967729476258	nan	0.12329508754195216	nan	0.16962284008034456	nan	0.1884085854273289	nan	0.32711896579213734	nan	0.3588045853154439	nan	0.22340398871660486	nan	0.3224872556324291	nan	0.3316249073672404	nan	1.050797451563635	nan	1.0281089796223886	nan	0.24060015078495506	nan	22.219483081018552	nan	966000	467969	126370	371661	582000	582
