dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.20021819520312711	nan	0.2588033071267076	nan	0.04148728590533244	nan	0.1767228443907552	nan	0.19789921765600693	nan	0.33209918339643235	nan	0.39662734437195774	nan	0.08529537121232449	nan	0.3265805852556661	nan	0.32958262741660016	nan	1.079147267432992	nan	1.02310605046051	nan	0.24988052716320067	nan	24.81278024299536	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.20507277883434352	nan	0.266196610663558	nan	0.040127500357501025	nan	0.18364341268517384	nan	0.20740270312844625	nan	0.3374176578914921	nan	0.40330036552820153	nan	0.08730953279867208	nan	0.33353447163297156	nan	0.34046245653491286	nan	1.0961613061682636	nan	1.026271424517918	nan	0.2518764225369927	nan	22.377474548993632	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.19336157815606186	nan	0.24693859077741057	nan	0.030446302733007934	nan	0.17682123842237532	nan	0.19231710321461767	nan	0.3302677505700446	nan	0.3921244750666682	nan	0.07238594355250573	nan	0.3285614727033366	nan	0.3259591397552834	nan	1.1186897320938927	nan	1.057265470961572	nan	0.19869037703655065	nan	22.4359701059293	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.19946496280323525	nan	0.2511907891137498	nan	0.037048123160956625	nan	0.18224991493406162	nan	0.2006652249274768	nan	0.3367218571735127	nan	0.3966214118657151	nan	0.0811966570533688	nan	0.33443038158326943	nan	0.3370145226802088	nan	1.1207663934176721	nan	1.0615094351739978	nan	0.24177294569417598	nan	22.391705962945707	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.14546629605922765	nan	nan	nan	0.055753137280114114	nan	0.1584882563415481	nan	0.14590458218717856	nan	0.287978616554984	nan	nan	nan	0.12955309940947754	nan	0.31097424863449113	nan	0.2905917956999331	nan	0.9631205046250196	nan	0.9000470929537905	nan	0.21181004841314058	nan	22.392991407075897	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.19309951202483902	nan	0.24483897564761956	nan	0.041808400184687754	nan	0.17361004266357433	nan	0.19960268259349037	nan	0.3295456653899414	nan	0.3903875979199976	nan	0.0897769277151648	nan	0.32512696587661283	nan	0.33652498995887814	nan	1.1077692925980007	nan	1.0657521302438806	nan	0.19591826752589822	nan	22.504720623022877	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.18713232501903204	nan	0.24565509029645743	nan	0.03401284809451453	nan	0.1698901498148533	nan	0.18625614889681916	nan	0.32389492602016434	nan	0.39242987136880775	nan	0.07466736996650518	nan	0.3210488058171186	nan	0.32341420967458434	nan	1.09875413459582	nan	1.0331732337719504	nan	0.22517877099479072	nan	22.298966998932883	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.27356088772094034	nan	0.330126145035792	nan	0.026871156958043145	nan	0.235729261133292	nan	0.28569341550582966	nan	0.39987221615731144	nan	0.4573296349493679	nan	0.06962768757563392	nan	0.392288548784876	nan	0.4087171184618589	nan	1.310408127506808	nan	1.2549762679206689	nan	0.20320005629287238	nan	22.461955331033096	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.26635719660486773	nan	0.32920167110956045	nan	0.021265644759783812	nan	0.22377091038983438	nan	0.2727158844817609	nan	0.3933639099281089	nan	0.4585405027628518	nan	0.05540004213588656	nan	0.37860704127362144	nan	0.39756673697826805	nan	1.3005023998060858	nan	1.2344902550251662	nan	0.22531633952430338	nan	22.375702350982465	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.19271632702878458	nan	0.24682818339395865	nan	0.0364749772356149	nan	0.17770681045860023	nan	0.19586927786997865	nan	0.3272886295709037	nan	0.39182262665866124	nan	0.0815374313604445	nan	0.32959091265870405	nan	0.3303224334459732	nan	1.0859171184457588	nan	1.0591538810308345	nan	0.20608014388532644	nan	22.443857310921885	nan	966000	467969	126370	371661	582000	582
