dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.20113484711245289	nan	0.257900144168691	nan	0.04145722416680391	nan	0.1800319964055069	nan	0.19892729946621496	nan	0.33306576399157484	nan	0.39587929136139355	nan	0.0861943326004822	nan	0.32956817251931675	nan	0.33067894768378764	nan	1.0813691989867624	nan	1.0249185263133376	nan	0.2595954116487299	nan	24.09779070003424	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.20578063394042673	nan	0.26235916194447656	nan	0.043107219782182814	nan	0.18860001933457746	nan	0.20855173544157274	nan	0.3389318212459014	nan	0.4001190873005504	nan	0.09226075001085643	nan	0.3391480926014215	nan	0.34220497366034597	nan	1.1017221661783232	nan	1.030751067955712	nan	0.2572786798045493	nan	22.04461095307488	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.1952960188795032	nan	0.24691532798408108	nan	0.03034958166329813	nan	0.1813495311064754	nan	0.19508576182283177	nan	0.33232630518134343	nan	0.3919236802345639	nan	0.07335694037096181	nan	0.3333004331320833	nan	0.32856366620486094	nan	1.1255659354703782	nan	1.0643709700758353	nan	0.20424828455174363	nan	22.2377765099518	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.19857974192557898	nan	0.24584833004653958	nan	0.03935636474302526	nan	0.18567406535384903	nan	0.19843976490712295	nan	0.3366376260712906	nan	0.3922358306368004	nan	0.08529612435817344	nan	0.33821652943784075	nan	0.3359508787711097	nan	1.1216723486232314	nan	1.0590895108950447	nan	0.2605770472074195	nan	22.041440179920755	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.1456861614212627	nan	nan	nan	0.058153700200202725	nan	0.15839159113688406	nan	0.14604955286157248	nan	0.28838779628258054	nan	nan	nan	0.13378358855047254	nan	0.3108287612420693	nan	0.2908538200866889	nan	0.9635503391785603	nan	0.9003071781407568	nan	0.21643306540801677	nan	22.061315426020883	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.19257936608249746	nan	0.2414336519326833	nan	0.043519104021623824	nan	0.17603250495483028	nan	0.19986929117365418	nan	0.3295945753236806	nan	0.38748301778915784	nan	0.093167645388729	nan	0.32787172062483594	nan	0.3372198480950076	nan	1.1081119033502513	nan	1.066878781977392	nan	0.19713445897738294	nan	22.11172818497289	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.18868909914902074	nan	0.24436866026873305	nan	0.034619944629767266	nan	0.17436590694384133	nan	0.18808257234921802	nan	0.32562287783490307	nan	0.39155286577880155	nan	0.07488821177186435	nan	0.3256091925499451	nan	0.32540841729691045	nan	1.1053944245602731	nan	1.0398655976868556	nan	0.2365202502156021	nan	22.010024109040387	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.2777808724510821	nan	0.3319248446224232	nan	0.024890032297920705	nan	0.24805812052921475	nan	0.28969266862573173	nan	0.4042391674092259	nan	0.4598397937128846	nan	0.06476165415099751	nan	0.4046075435567661	nan	0.4125767635409034	nan	1.3244272429654163	nan	1.2660076446623683	nan	0.21419493670679296	nan	22.16481148696039	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.26010723843341776	nan	0.3187853306483046	nan	0.022489260205835603	nan	0.22342479396469603	nan	0.26784905097632256	nan	0.38871001138808553	nan	0.4508953463279127	nan	0.058558279683328704	nan	0.3773329809874249	nan	0.3939981670233549	nan	1.287318281660173	nan	1.225916636793209	nan	0.23906393398407003	nan	22.146898067905568	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.19358843234704415	nan	0.2455850185993459	nan	0.03688922105428333	nan	0.18139799229323897	nan	0.1972457062825054	nan	0.32822051229373406	nan	0.39064680969558596	nan	0.08329446178403793	nan	0.33289609847055385	nan	0.3316321651036813	nan	1.0882064449287514	nan	1.062482033870891	nan	0.21365297215377993	nan	22.31438158499077	nan	966000	467969	126370	371661	582000	582
