dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.2596892885159103	nan	0.3525738315341756	nan	0.010938569433557673	nan	0.221614677709279	nan	0.2513420224232718	nan	0.37409209286243933	nan	0.4686641171498269	nan	0.031810324091291045	nan	0.3605068003877932	nan	0.36790339336219496	nan	1.1895225731691939	nan	1.1239338007728488	nan	0.2770387555529714	nan	25.296674289973453	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.2572737389929456	nan	0.3469256993731669	nan	0.010886816551204116	nan	0.2270269451728058	nan	0.25472337590318095	nan	0.3741517099570666	nan	0.46512784475413127	nan	0.03402280276005123	nan	0.3673971744187542	nan	0.3733403085532604	nan	1.1943915807462855	nan	1.1133020405639555	nan	0.2705291648863601	nan	21.9386724709766	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.23900218690267463	nan	0.3158266696720804	nan	0.007779581038500871	nan	0.21469111535618138	nan	0.24642006689040924	nan	0.36371715729295545	nan	0.44713876344832765	nan	0.026232195979529548	nan	0.35884917368346336	nan	0.3652758113242979	nan	1.2068264555775208	nan	1.1611442553519065	nan	0.17189455866603626	nan	22.105621417984366	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.24822715431920714	nan	0.3247902903877432	nan	0.010274856800153158	nan	0.22210428631506296	nan	0.2523521869003742	nan	0.37216326365285	nan	0.4553145514764161	nan	0.03008880008365719	nan	0.3656754722276058	nan	0.374775445011963	nan	1.2112773896985325	nan	1.1576715136043003	nan	0.2099308412535047	nan	22.0276460070163	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.15331979534301937	nan	nan	nan	0.024315800501607088	nan	0.17204486221109921	nan	0.15301961623426003	nan	0.2916446421493474	nan	nan	nan	0.06508561981623716	nan	0.3245299248723319	nan	0.29414123094818173	nan	0.993912444697282	nan	0.9273242425380465	nan	0.22589982615367857	nan	22.260695300996304	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.2510346895928585	nan	0.33122613891789404	nan	0.010967906311484725	nan	0.22249629339470844	nan	0.2538672035240946	nan	0.3724890504761188	nan	0.45979900438033583	nan	0.03342912148570191	nan	0.3646482871404687	nan	0.3767419303850065	nan	1.2239923371099282	nan	1.1734890297326928	nan	0.18348602721469437	nan	22.35146602895111	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.2359997815473321	nan	0.3241791196316722	nan	0.009206188290074772	nan	0.20904759532781317	nan	0.23562620243680746	nan	0.3594733138331647	nan	0.4553521935400739	nan	0.028285571226194354	nan	0.351155658721207	nan	0.3594406243424153	nan	1.1906854139334673	nan	1.126606693190505	nan	0.1973952673498484	nan	22.10336497297976	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.3684182365569355	nan	0.45620438236775757	nan	0.00478657043725915	nan	0.30226507186866647	nan	0.3761112504417584	nan	0.46134367839545576	nan	0.541872176118242	nan	0.02273385066192781	nan	0.4413299693719328	nan	0.4667428161074864	nan	1.445572558691179	nan	1.3829060089227736	nan	0.19222132764955777	nan	22.197831152938306	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.34684862903452746	nan	0.44052024443606363	nan	0.004384888777059346	nan	0.27535006586121114	nan	0.3550660891380826	nan	0.4439053063714419	nan	0.5319600285071479	nan	0.017857765092610552	nan	0.4132448588027188	nan	0.44901834453360767	nan	1.4055305200323633	nan	1.3432243479256425	nan	0.21322088636910372	nan	22.232345558935776	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.24060828188349473	nan	0.3185869802491439	nan	0.010406255645987846	nan	0.2206950183453761	nan	0.2446295215285848	nan	0.36260089810103663	nan	0.4512067115930974	nan	0.030858181929321035	nan	0.36383200146822775	nan	0.36598370976215017	nan	1.1826039594718651	nan	1.1562488827040027	nan	0.19811638477770815	nan	22.248749757069163	nan	966000	467969	126370	371661	582000	582
