metric	value
config	"{""bio_reg_weight"": 1.8, ""epochs"": 400, ""loss_bio_weight"": 2.0, ""loss_nz_weight"": 2.0, ""lr"": 0.0001, ""name"": ""t_br1p8"", ""noise_max"": 0.02, ""observed_recon_weight"": 0.75, ""p_nz"": 0.05, ""p_zero"": 0.01, ""zero_shrink_strength"": 0.3}"
corr_err	0.21742533842682285
corr_err_dataset_std	0.031399669107071
device	cuda
gnrmse	1.214031715848684
gnrmse_dataset_std	0.110287863709411
gnrmse_marker	1.1622274477625516
gnrmse_marker_dataset_std	0.10934224211261485
input_dir	synthetic_datasets/simulated_data/tune
mae	0.3768023280027313
mae_biozero	0.03214567468976304
mae_biozero_dataset_std	0.01096212904340887
mae_dataset_std	0.04058893573754107
mae_dropout	0.470292899346019
mae_dropout_dataset_std	0.03191569848717955
mae_marker	0.37820280892857233
mae_marker_dataset_std	0.0419542448049064
mae_non_zero	0.3709675189123734
mae_non_zero_dataset_std	0.028402106319074295
mse	0.2579772488542548
mse_biozero	0.010603559742329762
mse_biozero_dataset_std	0.00478383587252679
mse_dataset_std	0.05215163890067978
mse_dropout	0.349004986283388
mse_dropout_dataset_std	0.048000255200515485
mse_marker	0.25949386117303586
mse_marker_dataset_std	0.05463906687420993
mse_non_zero	0.2285695174238224
mse_non_zero_dataset_std	0.031087649447590994
n_datasets	13
n_repeats	1
runtime_sec	22.41769088428611
runtime_sec_dataset_std	0.8721343094661324
score_mse_plus_2biozero	0.27918436833891436
score_mse_plus_biozero	0.26858080859658456
