metric	value
config	"{""bio_reg_weight"": 1.2, ""epochs"": 400, ""loss_bio_weight"": 1.0, ""loss_nz_weight"": 2.0, ""lr"": 0.0001, ""name"": ""t_br1p2_lossbio1"", ""noise_max"": 0.02, ""observed_recon_weight"": 0.75, ""p_nz"": 0.05, ""p_zero"": 0.01, ""zero_shrink_strength"": 0.3}"
corr_err	0.20744872462347638
corr_err_dataset_std	0.03113834672092776
device	cuda
gnrmse	1.1742366156483466
gnrmse_dataset_std	0.1022595294603654
gnrmse_marker	1.1229861550848372
gnrmse_marker_dataset_std	0.10080529336515512
input_dir	synthetic_datasets/simulated_data/tune
mae	0.3603331310625145
mae_biozero	0.04328379685785482
mae_biozero_dataset_std	0.012968352809337388
mae_dataset_std	0.03557021777424091
mae_dropout	0.44241653902458805
mae_dropout_dataset_std	0.02839647907912262
mae_marker	0.36186382436331055
mae_marker_dataset_std	0.03699402015267958
mae_non_zero	0.359120791664873
mae_non_zero_dataset_std	0.02728887638491419
mse	0.2341733885030576
mse_biozero	0.015468930871958322
mse_biozero_dataset_std	0.0057439927279329655
mse_dataset_std	0.04367394164277173
mse_dropout	0.3109732471044698
mse_dropout_dataset_std	0.04028536822874216
mse_marker	0.23583327562684056
mse_marker_dataset_std	0.04610937489472439
mse_non_zero	0.21200469574018646
mse_non_zero_dataset_std	0.027886126325013468
n_datasets	13
n_repeats	1
runtime_sec	22.30749128646074
runtime_sec_dataset_std	0.6957159724442534
score_mse_plus_2biozero	0.26511125024697424
score_mse_plus_biozero	0.24964231937501594
