dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.23905081287656074	nan	0.3207672844772973	nan	0.015186298109304781	nan	0.2069750137213188	nan	0.2327395153613278	nan	0.35973995933936886	nan	0.4451922618249748	nan	0.04106818595905862	nan	0.35012301274898505	nan	0.3549020902015355	nan	1.1543003377636698	nan	1.091931781845702	nan	0.2661421258629378	nan	24.99888520501554	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.23579963131288403	nan	0.3123631629795987	nan	0.015540595506808698	nan	0.21258362911841652	nan	0.23380403705713923	nan	0.35930758703546833	nan	0.4398083315657897	nan	0.0444762833286753	nan	0.3570148801652032	nan	0.3590113297972781	nan	1.1578064127321	nan	1.0781237093171747	nan	0.264524559872051	nan	22.0478219690267	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.2222699518015912	nan	0.2905505535690799	nan	0.010852711443397443	nan	0.20213513544888614	nan	0.22679226532540106	nan	0.35163616110477297	nan	0.42784743618672166	nan	0.03414431749351245	nan	0.3494755282280472	nan	0.35114230781517425	nan	1.1772051124958445	nan	1.126594908961612	nan	0.16351524557029168	nan	22.169148302986287	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.22887607049051617	nan	0.2965561642199505	nan	0.01430299221660903	nan	0.20689028759373712	nan	0.23345511219010012	nan	0.3581086286182919	nan	0.4339420250174441	nan	0.03971419493588268	nan	0.35387263399441454	nan	0.3611471560961831	nan	1.1758096264649038	nan	1.1242081308779743	nan	0.19866579445025656	nan	21.97661313705612	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.15025902295084587	nan	nan	nan	0.02968059914855317	nan	0.16776110923368712	nan	0.15040964545559818	nan	0.28960062512427803	nan	nan	nan	0.07789967936368178	nan	0.32032924225180254	nan	0.29228851286521756	nan	0.9832385511092594	nan	0.9181058645708902	nan	0.22416398017420552	nan	22.011683221906424	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.23158023370352016	nan	0.30173364530698515	nan	0.015238096120152806	nan	0.2085059230170766	nan	0.2358047536366516	nan	0.3587812744577034	nan	0.437364821248441	nan	0.04271710237902189	nan	0.35498154544018534	nan	0.36383328000112103	nan	1.1917222234749811	nan	1.1421227450614544	nan	0.17350930701875386	nan	21.999083137023263	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.2174880733084634	nan	0.2949064312257252	nan	0.012764522504308637	nan	0.19521609112541144	nan	0.21643546129501262	nan	0.34616744025016016	nan	0.43299989815358625	nan	0.036281770804624275	nan	0.3411023642084771	nan	0.3456743482203247	nan	1.1584874265881737	nan	1.0933241799961444	nan	0.1903580051938648	nan	21.967130105011165	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.33324764050496086	nan	0.4078590739925524	nan	0.0074064612769910694	nan	0.28352045009067545	nan	0.3424835924714535	nan	0.43934309340725924	nan	0.5105379519803128	nan	0.02930944466626793	nan	0.4302681086874698	nan	0.4458644830915837	nan	1.399384992065372	nan	1.338825217710947	nan	0.18742379290141936	nan	22.02072729403153	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.3151262968514398	nan	0.3965914505035421	nan	0.00675044220056522	nan	0.2566444826876237	nan	0.32200338526258926	nan	0.4238662193472501	nan	0.5035004830784987	nan	0.02434458899001289	nan	0.40112824165251143	nan	0.42844645059444536	nan	1.362007269207829	nan	1.299215073704699	nan	0.2045538158925598	nan	22.063921944005415	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.22259345671333383	nan	0.2913732492518941	nan	0.014147357266111627	nan	0.20686547571093636	nan	0.2258955479634622	nan	0.34956729244584633	nan	0.4301661428178318	nan	0.039439732025634486	nan	0.35353073332496615	nan	0.3524338684682782	nan	1.150269112001137	nan	1.1227766787670965	nan	0.19017848165624418	nan	22.0005694499705	nan	966000	467969	126370	371661	582000	582
