dataset	transform	seed	runtime_sec	mse	mse_dropout	mse_biozero	mae	gnrmse	ari_grid_mean	nmi_grid_mean	ari_grid_max	nmi_grid_max	ari_matched_mean	nmi_matched_mean	n_clusters_matched_mean
batch_effects_moderate_drop	raw	42	143.15198912494816	0.23662081444565145	0.3195558408709355	0.016157684250078023	0.3561807147734052	1.1449996087163534	0.42300004706653516	0.6234130656175213	0.5481717880847837	0.708969486707449	0.5458081625636053	0.7050220632241883	6.0
batch_effects_moderate_drop_group	raw	42	144.8555398241151	0.2154846370580238	0.2948495531391683	0.015447023115091635	0.3375486532964823	1.1225804006877733	0.44629011214772873	0.6277674762675445	0.531770643815891	0.6807681044599115	0.5261492939484524	0.6733193508684421	6.0
groups_balanced_moderate_drop	raw	42	145.4500942241866	0.21824264173550784	0.2873458752734228	0.013172002171668543	0.3457245540018763	1.155541273732946	0.736814720137825	0.8347622437209737	0.9946048937444701	0.9879234201633059	0.9946048937444701	0.9879234201633059	3.0
groups_balanced_moderate_drop_group	raw	42	145.55632407707162	0.20920650182244974	0.27753064120125287	0.01222265888749587	0.3367401339379774	1.1542210181071932	0.7807414593915071	0.8475047917307801	0.9857760323227778	0.9724325465116825	0.9851902870398734	0.9715946219193383	3.0
groups_balanced_nodrop	raw	42	144.23765002493747	0.1479018519104595	nan	0.02890373420326039	0.2868025503281174	0.988575710234742	0.8611232138028764	0.9210158264331982	1.0	1.0	1.0	1.0	3.0
groups_imbalanced_moderate_drop	raw	42	145.29985193908215	0.2181206660260975	0.2909135273225208	0.010824643444387196	0.3455219704610892	1.1688379970102103	0.602570071377827	0.7487581972092312	0.9899019012148513	0.9702189956051435	0.9866789809310496	0.9632012262153022	3.0
groups_imbalanced_moderate_drop_group	raw	42	144.59173595090397	0.20786353516772063	0.2830827304407851	0.012094160449519253	0.3372764880296481	1.1501100176845505	0.5956427404300788	0.7354884929263801	0.9777149033569634	0.9493170753054104	0.9762844410724442	0.9469982931306619	3.0
groups_rare_high_drop	raw	42	144.42420789506286	0.3152378001456022	0.38627979257780876	0.006208531877187791	0.42365788811803134	1.356512211734124	0.39839306151786424	0.4090282752318055	0.583578444645592	0.4913089246406561	0.44087684090950846	0.42701513919542144	5.0
groups_rare_high_drop_group	raw	42	146.9127503929194	0.28998370144493835	0.37560874048985	0.005920815409499344	0.3992663401396413	1.3088021781622134	0.658031531923739	0.7566405591204002	0.9498029197473921	0.9071092956472128	0.6262763988877386	0.755802166670241	5.0
paths_branching_moderate_drop	raw	42	146.68118833680637	0.21702700325854452	0.28574407088015263	0.015533815968135918	0.3452442511754805	1.1396105007815722	0.39309760346019457	0.5370674185537553	0.49082682089372465	0.6065208398690479	0.4570087151653268	0.5773924870994364	5.0
paths_branching_moderate_drop_group	raw	42	145.72919803182594	0.21822441200848589	0.2911271448644526	0.010715041153332907	0.34539733919649074	1.1516668680405733	0.43986325481810934	0.5516869838313733	0.617857092599775	0.6359900613350996	0.617857092599775	0.6359900613350996	4.0
paths_linear_moderate_drop	raw	42	145.4591004399117	0.21252848817535172	0.28407686134180915	0.013294138028969189	0.3390720927735481	1.1231031074655173	0.45329972212667413	0.5609150412413116	0.6072871775603231	0.6499926854643846	0.580433914952046	0.6499926854643846	4.0
paths_linear_moderate_drop_group	raw	42	144.34280944895	0.20586061849342688	0.27379821438449975	0.013987343056831523	0.33280601796307874	1.1138437824697918	0.48071205483988827	0.579129763720509	0.6001370657394776	0.647051495428028	0.5955402419840451	0.6407000754270387	5.0
