seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	transform	cluster_seed
42	20	10	0.2	3	0.9940069159847472	0.9867388152739144				0.2151216040365398	groups_balanced_moderate_drop	raw	42
42	20	10	0.5	6	0.6874132586634255	0.7877293433370487				0.20313082006759942	groups_balanced_moderate_drop	raw	42
42	20	10	1.0	10	0.39166958328253787	0.6483856030633491				0.20363512495532632	groups_balanced_moderate_drop	raw	42
42	20	15	0.2	3	0.994006960604788	0.9868829419525187				0.2908500009216368	groups_balanced_moderate_drop	raw	42
42	20	15	0.5	6	0.6591689768650372	0.7774872082089955				0.2803388489410281	groups_balanced_moderate_drop	raw	42
42	20	15	1.0	9	0.42439250619482377	0.6669341796038136				0.2734203159343451	groups_balanced_moderate_drop	raw	42
42	20	30	0.2	3	0.995192211996938	0.9889972135663061				0.49218018678948283	groups_balanced_moderate_drop	raw	42
42	20	30	0.5	3	0.995192211996938	0.9889972135663061				0.5230590938590467	groups_balanced_moderate_drop	raw	42
42	20	30	1.0	8	0.5192196776577093	0.7026427951532564				0.5259284949861467	groups_balanced_moderate_drop	raw	42
42	50	10	0.2	3	0.9928047400160382	0.9841643003352262				0.22221281309612095	groups_balanced_moderate_drop	raw	42
42	50	10	0.5	6	0.644435779540958	0.7725375987227854				0.21628183987922966	groups_balanced_moderate_drop	raw	42
42	50	10	1.0	9	0.42697993124067996	0.665850201056169				0.21189234405755997	groups_balanced_moderate_drop	raw	42
42	50	15	0.2	3	0.9946048937444701	0.9879234201633059				0.3719661869108677	groups_balanced_moderate_drop	raw	42
42	50	15	0.5	6	0.6720273871139124	0.7816496743817223				0.3525498090311885	groups_balanced_moderate_drop	raw	42
42	50	15	1.0	9	0.41703522279549965	0.664825778288566				0.30492919590324163	groups_balanced_moderate_drop	raw	42
42	50	30	0.2	3	0.995192211996938	0.9889972135663061				0.4282272709533572	groups_balanced_moderate_drop	raw	42
42	50	30	0.5	4	0.8636512377427192	0.8946451533983404				0.4573193290270865	groups_balanced_moderate_drop	raw	42
42	50	30	1.0	7	0.5192111263880571	0.7194126591900648				0.5131229299586266	groups_balanced_moderate_drop	raw	42
