dataset	path	method	display_method	impute_seed	status	error	impute_runtime_sec	n_cells	n_genes	n_labels	n_batches	label_column	batch_column	feature_mode	n_seeds_requested	source_note
Baron	datasets_original/baron-human.rds	baseline	Observed	42	ok		1.1211959645152092e-05	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	dca	DCA	42	ok		106.91901528509334	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	scvi	scVI	42	ok		90.4188349780161	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	scvi	scVI	43	ok		85.58426695689559	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	scvi	scVI	44	ok		82.54124668193981	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	scvi	scVI	45	ok		82.61125606880523	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	scvi	scVI	46	ok		83.33581987395883	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	alra	ALRA	42	ok		0.4173272440675646	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	alra	ALRA	43	ok		0.354411882115528	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	alra	ALRA	44	ok		0.9013935958500952	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	alra	ALRA	45	ok		0.39542594109661877	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
