dataset	transform	seed	runtime_sec	mse	mse_dropout	mse_biozero	mae	gnrmse
batch_effects_moderate_drop	raw	42	138.7529504080303	0.23662081444565145	0.3195558408709355	0.016157684250078023	0.3561807147734052	1.1449996087163534
batch_effects_moderate_drop	all_obs0.1	42	138.7529504080303	0.23782410115101407	0.3548328606325407	0.013087723551766245	0.35851505406571493	1.1480238118553987
batch_effects_moderate_drop	all_obs0.25	42	138.7529504080303	0.2932892518440378	0.5143422897524771	0.009088697389357681	0.39510354493812366	1.2866290068246016
batch_effects_moderate_drop_group	raw	42	135.58090160414577	0.2154846370580238	0.2948495531391683	0.015447023115091635	0.3375486532964823	1.1225804006877733
batch_effects_moderate_drop_group	all_obs0.1	42	135.58090160414577	0.2142412025294566	0.32528071352182286	0.012512088064449946	0.3377127483912754	1.1195227412955113
batch_effects_moderate_drop_group	all_obs0.25	42	135.58090160414577	0.27001331385609817	0.49400642139079637	0.008688950501347235	0.37461011419904844	1.2646426872050511
groups_balanced_moderate_drop	raw	42	135.38899983209558	0.21824264173550784	0.2873458752734228	0.013172002171668543	0.3457245540018763	1.155541273732946
groups_balanced_moderate_drop	all_obs0.1	42	135.38899983209558	0.21817199501372575	0.31793344878228724	0.010669321212005225	0.34704842657955287	1.1567724997857554
groups_balanced_moderate_drop	all_obs0.25	42	135.38899983209558	0.27106664512963147	0.46893787036782253	0.007409251226248203	0.38270754629777914	1.301881443703119
groups_balanced_moderate_drop_group	raw	42	135.45077765313908	0.20920650182244974	0.27753064120125287	0.01222265888749587	0.3367401339379774	1.1542210181071932
groups_balanced_moderate_drop_group	all_obs0.1	42	135.45077765313908	0.20676749653958953	0.30292051262782893	0.009900353182637593	0.33588167966438454	1.1494041607908676
groups_balanced_moderate_drop_group	all_obs0.25	42	135.45077765313908	0.25639019315456546	0.4496060407637071	0.006875245625246029	0.36928949127914185	1.2907008131078104
groups_balanced_nodrop	raw	42	135.0471319030039	0.1479018519104595	nan	0.02890373420326039	0.2868025503281174	0.988575710234742
groups_balanced_nodrop	all_obs0.1	42	135.0471319030039	0.11980050004423186	nan	0.02341202348999547	0.25812229635614264	0.8897181387310145
groups_balanced_nodrop	all_obs0.25	42	135.0471319030039	0.08319479166410622	nan	0.01625835048905999	0.2151019126685137	0.7414317824731601
groups_imbalanced_moderate_drop	raw	42	135.72126935701817	0.2181206660260975	0.2909135273225208	0.010824643444387196	0.3455219704610892	1.1688379970102103
groups_imbalanced_moderate_drop	all_obs0.1	42	135.72126935701817	0.21678279080240992	0.3205036342503691	0.00876796073202346	0.3460571867822505	1.1662991554181543
groups_imbalanced_moderate_drop	all_obs0.25	42	135.72126935701817	0.273136718011284	0.4863955913989997	0.006088861941453194	0.38468471998012277	1.3235989920879236
groups_imbalanced_moderate_drop_group	raw	42	135.75381738995202	0.20786353516772063	0.2830827304407851	0.012094160449519253	0.3372764880296481	1.1501100176845505
groups_imbalanced_moderate_drop_group	all_obs0.1	42	135.75381738995202	0.20378229205266704	0.31062643524337935	0.009796269458566018	0.33445860931495747	1.1392226237092125
groups_imbalanced_moderate_drop_group	all_obs0.25	42	135.75381738995202	0.24548054547881148	0.457041723498154	0.006802965254702067	0.3608215950558313	1.2635165883149415
groups_rare_high_drop	raw	42	134.88948573800735	0.3152378001456022	0.38627979257780876	0.006208531877187791	0.42365788811803134	1.356512211734124
groups_rare_high_drop	all_obs0.1	42	134.88948573800735	0.3140883185821391	0.4006891039740566	0.005028910557144951	0.4244770852210203	1.3461922387338496
groups_rare_high_drop	all_obs0.25	42	134.88948573800735	0.40689479407744783	0.569354505976027	0.003492299179844651	0.496125540419664	1.5621921630340558
groups_rare_high_drop_group	raw	42	134.26209644414485	0.28998370144493835	0.37560874048985	0.005920815409499344	0.3992663401396413	1.3088021781622134
groups_rare_high_drop_group	all_obs0.1	42	134.26209644414485	0.29239230685341927	0.3963453067876956	0.004795860229297584	0.40291701683819503	1.3084349581992059
groups_rare_high_drop_group	all_obs0.25	42	134.26209644414485	0.37524557264570535	0.5564560393087492	0.0033304586658445424	0.4653995807809717	1.509087004898558
paths_branching_moderate_drop	raw	42	135.68142723408528	0.21702700325854452	0.28574407088015263	0.015533815968135918	0.3452442511754805	1.1396105007815722
paths_branching_moderate_drop	all_obs0.1	42	135.68142723408528	0.21596404011803383	0.3151229251314647	0.012582390294544974	0.34596066847680584	1.1378406699362729
paths_branching_moderate_drop	all_obs0.25	42	135.68142723408528	0.2697962963948206	0.4717652466433276	0.008737771467053897	0.38211847470893207	1.280616042424293
paths_branching_moderate_drop_group	raw	42	136.08817050489597	0.21822441200848589	0.2911271448644526	0.010715041153332907	0.34539733919649074	1.1516668680405733
paths_branching_moderate_drop_group	all_obs0.1	42	136.08817050489597	0.21410558529826387	0.316504889675954	0.008679182880266959	0.34353960667213507	1.1414166457385657
