seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	transform	cluster_seed
42	20	10	0.2	6	0.565414174913253	0.7441334569335438				0.24858056916855276	batch_effects_moderate_drop	raw	42
42	20	10	0.5	6	0.565414174913253	0.7441334569335438				0.17941879807040095	batch_effects_moderate_drop	raw	42
42	20	10	1.0	9	0.4514907205523841	0.6698096941230891				0.17821839218959212	batch_effects_moderate_drop	raw	42
42	20	15	0.2	6	0.5654017324735507	0.7440372990674142				0.23687366303056479	batch_effects_moderate_drop	raw	42
42	20	15	0.5	6	0.5654017324735507	0.7440372990674142				0.29373955191113055	batch_effects_moderate_drop	raw	42
42	20	15	1.0	6	0.5657406272032193	0.7448414817587699				0.26429158891551197	batch_effects_moderate_drop	raw	42
42	20	30	0.2	6	0.5660817814314878	0.7459553279843215				0.5466286370065063	batch_effects_moderate_drop	raw	42
42	20	30	0.5	6	0.5660817814314878	0.7459553279843215				0.40420104609802365	batch_effects_moderate_drop	raw	42
42	20	30	1.0	6	0.5660817814314878	0.7459553279843215				0.4183284491300583	batch_effects_moderate_drop	raw	42
42	50	10	0.2	6	0.5650710810373097	0.7433294867543231				0.19172894791699946	batch_effects_moderate_drop	raw	42
42	50	10	0.5	6	0.5650710810373097	0.7433294867543231				0.18693348998203874	batch_effects_moderate_drop	raw	42
42	50	10	1.0	10	0.44631616044987305	0.6653485030190349				0.1863206799607724	batch_effects_moderate_drop	raw	42
42	50	15	0.2	6	0.5650591902466382	0.7429424684096019				0.2451112719718367	batch_effects_moderate_drop	raw	42
42	50	15	0.5	6	0.5640406947848808	0.7406610961098639				0.24693652102723718	batch_effects_moderate_drop	raw	42
42	50	15	1.0	7	0.5315288991353327	0.7164424653554844				0.2695191001985222	batch_effects_moderate_drop	raw	42
42	50	30	0.2	6	0.5660866588706529	0.7459576034364972				0.5480697581078857	batch_effects_moderate_drop	raw	42
42	50	30	0.5	6	0.5660866588706529	0.7459576034364972				0.42239088797941804	batch_effects_moderate_drop	raw	42
42	50	30	1.0	6	0.5660866588706529	0.7459576034364972				0.4839578019455075	batch_effects_moderate_drop	raw	42
42	20	10	0.2	6	0.556156773034263	0.7233661286030517				0.24715033383108675	batch_effects_moderate_drop_group	raw	42
42	20	10	0.5	6	0.556156773034263	0.7233661286030517				0.19682301697321236	batch_effects_moderate_drop_group	raw	42
42	20	10	1.0	8	0.4762462784083768	0.6718158622055409				0.1959431958384812	batch_effects_moderate_drop_group	raw	42
42	20	15	0.2	6	0.5554888793579618	0.7218177604260476				0.3306857468560338	batch_effects_moderate_drop_group	raw	42
42	20	15	0.5	6	0.5554888793579618	0.7218177604260476				0.26647387514822185	batch_effects_moderate_drop_group	raw	42
42	20	15	1.0	6	0.5558273089384216	0.722540179827617				0.2591987131163478	batch_effects_moderate_drop_group	raw	42
42	20	30	0.2	6	0.555505434270958	0.7220018563186977				0.40598120517097414	batch_effects_moderate_drop_group	raw	42
42	20	30	0.5	6	0.5558450765604361	0.7228793862688202				0.4562926481012255	batch_effects_moderate_drop_group	raw	42
42	20	30	1.0	6	0.5558434150731922	0.7227186736552398				0.49228480202145875	batch_effects_moderate_drop_group	raw	42
42	50	10	0.2	6	0.556156773034263	0.7233661286030517				0.19291311805136502	batch_effects_moderate_drop_group	raw	42
42	50	10	0.5	6	0.556156773034263	0.7233661286030517				0.20492432010360062	batch_effects_moderate_drop_group	raw	42
42	50	10	1.0	8	0.4728828084844256	0.6688290712856284				0.21714638592675328	batch_effects_moderate_drop_group	raw	42
42	50	15	0.2	6	0.5551540053006867	0.7208429560672857				0.2680409320164472	batch_effects_moderate_drop_group	raw	42
42	50	15	0.5	6	0.5558297246146974	0.7223227067986334				0.28825507778674364	batch_effects_moderate_drop_group	raw	42
42	50	15	1.0	6	0.5554920354196301	0.7216013873857329				0.31683041295036674	batch_effects_moderate_drop_group	raw	42
42	50	30	0.2	6	0.5558434754885491	0.722562865538844				0.4102441531140357	batch_effects_moderate_drop_group	raw	42
42	50	30	0.5	6	0.5558434754885491	0.722562865538844				0.4262828000355512	batch_effects_moderate_drop_group	raw	42
42	50	30	1.0	6	0.5558434754885491	0.722562865538844				0.4102089679799974	batch_effects_moderate_drop_group	raw	42
42	20	10	0.2	3	0.9874367911749848	0.9749918655214634				0.20924519514665008	groups_balanced_moderate_drop	raw	42
42	20	10	0.5	4	0.9510500969051618	0.93670759615862				0.20530184311792254	groups_balanced_moderate_drop	raw	42
42	20	10	1.0	13	0.3316669320864593	0.6013198756410773				0.20635975385084748	groups_balanced_moderate_drop	raw	42
42	20	15	0.2	3	0.9886216205648027	0.9775688955316265				0.3132541140075773	groups_balanced_moderate_drop	raw	42
42	20	15	0.5	3	0.9886216205648027	0.9775688955316265				0.2852107959333807	groups_balanced_moderate_drop	raw	42
42	20	15	1.0	10	0.45090953570353626	0.664729364333971				0.28615272301249206	groups_balanced_moderate_drop	raw	42
