dataset	transform	seed	runtime_sec	mse	mse_dropout	mse_biozero	mae	gnrmse	ari_grid_mean	nmi_grid_mean	ari_grid_max	nmi_grid_max	ari_matched_mean	nmi_matched_mean	n_clusters_matched_mean
batch_effects_moderate_drop	raw	42	142.8955156528391	0.17635535866890423	0.19251854953811065	0.13249196206194305	0.31823675605263957	1.0089130552032226	0.5506919772292765	0.7343769438082702	0.5660866588706529	0.7459576034364972	0.5657406272032193	0.7448414817587699	6.0
batch_effects_moderate_drop_group	raw	42	144.0406842669472	0.1730209341501034	0.19385911817937113	0.10747135437665511	0.31272502960763865	1.0180616075691329	0.5467645202438582	0.7166855950941128	0.556156773034263	0.7233661286030517	0.5558273089384216	0.722540179827617	6.0
groups_balanced_moderate_drop	raw	42	152.19846707186662	0.1664025174622083	0.1836315802593469	0.09725135801589853	0.31140963788134374	1.0290836511972985	0.8146973824005745	0.8729470008529093	0.9904201056732814	0.9807842739658396	0.9886216205648027	0.9775688955316265	3.0
groups_balanced_moderate_drop_group	raw	42	151.83957214700058	0.1667155743809372	0.1824757952793917	0.09091681774391476	0.3104054107606245	1.046087378590138	0.8075318142509091	0.8703026392215203	0.9898954102463022	0.9784663219262969	0.9881065821690693	0.9750033753666487	3.0
groups_balanced_nodrop	raw	42	143.63708075811155	0.14689688931671524	nan	0.1249821100411647	0.3032932215818683	1.0289514527035994	0.8395659579024554	0.9058121192381514	1.0	1.0	0.999399658439669	0.998467289639874	3.0
groups_imbalanced_moderate_drop	raw	42	144.67900735000148	0.16851624687384648	0.18444019753791888	0.0879469814647886	0.3129875851936046	1.052633163151214	0.6659758310561925	0.7972192063887021	0.9961243844897197	0.990101433520168	0.9937099048385525	0.9848319366257637	3.0
groups_imbalanced_moderate_drop_group	raw	42	144.9024780660402	0.1625597867069215	0.18014500231518976	0.09728778558106536	0.3079784899269795	1.0355803614938321	0.5947014766334232	0.7475175909378818	0.9845829191312819	0.9669473393331405	0.9845829191312819	0.9669473393331405	3.0
groups_rare_high_drop	raw	42	145.470317305997	0.2093873934827496	0.2243253432801763	0.06575085472283361	0.3504751149927177	1.1587709874462433	0.680954667804078	0.7556073683791837	0.9354036816742217	0.876241040725329	0.9330183024654367	0.8732150379758619	4.0
groups_rare_high_drop_group	raw	42	141.7626656400971	0.18971764161815868	0.2165553535175349	0.05192244058822154	0.328545362733712	1.1156010355913835	0.6861051891811272	0.7873940684540184	0.9541218932122081	0.9217070638149191	0.6626941228039107	0.7961923804912756	4.0
paths_branching_moderate_drop	raw	42	144.72407203097828	0.16661399359991266	0.18112335592179796	0.10062765462265241	0.3119492449456388	1.0133688312782045	0.45442959947490036	0.5947093128898772	0.5526268394758348	0.6349229909521553	0.5526268394758348	0.6349229909521553	4.0
paths_branching_moderate_drop_group	raw	42	143.978244750062	0.16938530739580726	0.1865110856674494	0.08713649895932901	0.3130764946107403	1.03327051650608	0.485953723101751	0.5969133398990181	0.5905540247703734	0.6397432945034741	0.5710273001120783	0.6225877677847438	3.0
paths_linear_moderate_drop	raw	42	145.031892813975	0.1632121089501898	0.18121760413563134	0.09155515304716436	0.30693509921890727	0.9988189047225072	0.45873367344500376	0.6003679151662005	0.5714148052205306	0.6481132680729591	0.4662393677775308	0.6244999254042037	5.0
paths_linear_moderate_drop_group	raw	42	145.33175311097875	0.16075480660934902	0.17839126746813402	0.0942980004470962	0.30513314342987663	0.9926095022753204	0.510977324699735	0.6177392810356387	0.694522371349575	0.6924025743811386	0.694522371349575	0.6924025743811386	4.0
