seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	transform	cluster_seed
42	20	10	0.2	3	0.994006960604788	0.9868829419525187				0.22046138299629092	groups_balanced_moderate_drop	raw	42
42	20	10	0.5	6	0.6633989770284723	0.7800991845868833				0.20902701700106263	groups_balanced_moderate_drop	raw	42
42	20	10	1.0	9	0.4069852740535897	0.6613233308738461				0.22247947892174125	groups_balanced_moderate_drop	raw	42
42	20	15	0.2	3	0.9952031920910215	0.9890005518587744				0.3060303640086204	groups_balanced_moderate_drop	raw	42
42	20	15	0.5	6	0.681781820975875	0.787675277439348				0.29324157908558846	groups_balanced_moderate_drop	raw	42
42	20	15	1.0	9	0.4428365730446652	0.6742392293103909				0.2942953899037093	groups_balanced_moderate_drop	raw	42
42	20	30	0.2	3	0.9940002889448583	0.9863892776299512				0.47640481498092413	groups_balanced_moderate_drop	raw	42
42	20	30	0.5	5	0.7718131080843434	0.833488753014455				0.49458914902061224	groups_balanced_moderate_drop	raw	42
42	20	30	1.0	7	0.5580954288912318	0.7282228202351843				0.5108561660163105	groups_balanced_moderate_drop	raw	42
42	50	10	0.2	3	0.9934093422314305	0.9856984472051393				0.2205021078698337	groups_balanced_moderate_drop	raw	42
42	50	10	0.5	6	0.6552001840164512	0.7757981001981239				0.20299953687936068	groups_balanced_moderate_drop	raw	42
42	50	10	1.0	10	0.40864406445454426	0.657500893961658				0.22084911819547415	groups_balanced_moderate_drop	raw	42
42	50	15	0.2	3	0.9946048937444701	0.9879234201633059				0.3651452308986336	groups_balanced_moderate_drop	raw	42
42	50	15	0.5	6	0.6631913132264903	0.7813202216544267				0.31231446703895926	groups_balanced_moderate_drop	raw	42
42	50	15	1.0	9	0.4994640837242848	0.6925752987020739				0.28204831783659756	groups_balanced_moderate_drop	raw	42
42	50	30	0.2	3	0.9946048548718394	0.987815836810351				0.3965527028776705	groups_balanced_moderate_drop	raw	42
42	50	30	0.5	3	0.9946048548718394	0.987815836810351				0.42485243594273925	groups_balanced_moderate_drop	raw	42
42	50	30	1.0	8	0.5399280388764268	0.7115069309607184				0.46146581694483757	groups_balanced_moderate_drop	raw	42
