config_id	objective	avg_mse_biozero	avg_mse	p_zero	p_nz	noise_max	hidden	bottleneck	dropout	post_threshold
1	1.3508977345190942	0.05302967643365264	2.595736116170883	0.1	0.3	0.25	128,64	32	0.0	0.5
2	1.3022973937913775	0.06518905889242887	2.4742166697978973	0.0	0.2	0.5	128,64	32	0.1	0.5
3	1.3519428898580372	0.03597935335710645	2.6319270730018616	0.15	0.3	0.25	128,64	64	0.1	0.75
4	1.3801726996898651	0.03624814748764038	2.6878491044044495	0.1	0.3	0.5	64	32	0.1	0.75
5	1.3838192117400467	0.040031392592936754	2.68757563829422	0.15	0.3	0.5	64	64	0.0	0.75
6	1.385229635052383	0.03511786740273237	2.700223535299301	0.15	0.3	0.25	64	32	0.1	0.75
7	1.3341527027077973	0.046825070399791	2.5746552646160126	0.1	0.2	0.25	64	32	0.0	0.5
8	1.3505670283921063	0.04576298641040921	2.609608083963394	0.0	0.2	0.25	64	32	0.1	0.75
9	1.3567801974713802	0.04207083210349083	2.629418730735779	0.15	0.2	0.5	64	32	0.1	0.5
10	1.3203410133719444	0.060277871787548065	2.5201262831687927	0.0	0.3	0.25	64	64	0.1	0.5
11	1.3480745358392596	0.05069705378264189	2.5947549641132355	0.05	0.2	0.5	128,64	32	0.0	0.5
12	1.3611276061274111	0.0453414679504931	2.631572276353836	0.0	0.3	0.5	64	32	0.1	0.75
13	1.3197407890111208	0.06249295361340046	2.5144956707954407	0.0	0.3	0.25	128,64	64	0.1	0.5
14	1.3543794113211334	0.041719894390553236	2.6253190338611603	0.05	0.2	0.25	128,64	32	0.1	0.75
15	1.3678967794403434	0.038157849572598934	2.659477859735489	0.1	0.3	0.5	64	64	0.1	0.75
16	1.3447731821797788	0.04969040444120765	2.5901655554771423	0.05	0.2	0.5	64	32	0.0	0.5
17	1.3197407890111208	0.06249295361340046	2.5144956707954407	0.0	0.3	0.5	128,64	64	0.1	0.5
18	1.3495951993390918	0.03844247292727232	2.622305452823639	0.05	0.2	0.25	128,64	64	0.1	0.75
19	1.375914167612791	0.03898916766047478	2.6738499999046326	0.15	0.3	0.25	64	32	0.0	0.75
20	1.3734636497683823	0.041408095974475145	2.6641111075878143	0.1	0.3	0.25	64	64	0.0	0.75
