dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.23114499199715366	nan	0.30831800498303863	nan	0.017250753323046538	nan	0.20155324983285394	nan	0.223897165232071	nan	0.3541315809221886	nan	0.4359067183005502	nan	0.045083316643791164	nan	0.34608537079351825	nan	0.3481182466509656	nan	1.1402067341442796	nan	1.074369080717724	nan	0.25752238430205665	nan	24.71034175704699	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.2322411446976735	nan	0.30881335584374847	nan	0.016796504221463705	nan	0.20773676173931507	nan	0.23087125463078925	nan	0.35669207406148173	nan	0.43715228461591266	nan	0.04703419581285053	nan	0.3530681353072484	nan	0.3570697109327617	nan	1.1492610902815945	nan	1.0721109261555435	nan	0.24677382372479073	nan	22.026156782056205	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.216181103212657	nan	0.28058567397213074	nan	0.012599764799547658	nan	0.19822720866481627	nan	0.21985057515899809	nan	0.34727292774226964	nan	0.41999048456950866	nan	0.03846264730530954	nan	0.34667479056850287	nan	0.34651291275241575	nan	1.1660719297519933	nan	1.1141904171107953	nan	0.16391584701722217	nan	22.100400166003965	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.22077384638118513	nan	0.281106054063111	nan	0.016667389805926157	nan	0.20453125739821057	nan	0.22443587287927763	nan	0.35267675722848735	nan	0.4218066761301866	nan	0.04515253230359216	nan	0.3533345578803486	nan	0.3549005237344553	nan	1.165744143214746	nan	1.1115819805817597	nan	0.20361667724095214	nan	22.098983270931058	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.14911173079078116	nan	nan	nan	0.0330510569850868	nan	0.16595806086325418	nan	0.1494777747554081	nan	0.2889444866418648	nan	nan	nan	0.08561084764373261	nan	0.31845858030579066	nan	0.29185604589205905	nan	0.9786564192976444	nan	0.9145703391479727	nan	0.2220996781326397	nan	22.14446833601687	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.2195853084152903	nan	0.2842579403744343	nan	0.018590558364904575	nan	0.1987785586455388	nan	0.2258874998213402	nan	0.34947011850493975	nan	0.42351371071656185	nan	0.04981714928288103	nan	0.3464427194905388	nan	0.35656320412499143	nan	1.165228847635272	nan	1.122940954983717	nan	0.1755834172256186	nan	22.20561460405588	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.21165282327471385	nan	0.2844784235157458	nan	0.014854469552174059	nan	0.1917490747472378	nan	0.2117003673308191	nan	0.34214567325338474	nan	0.4248959576619173	nan	0.03988434899288501	nan	0.3390415960919574	nan	0.34246202292577393	nan	1.1496169006327084	nan	1.0869424146349718	nan	0.19227274290623173	nan	22.189920156029984	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.3217673623037888	nan	0.3908858408917906	nan	0.008168688236336815	nan	0.28024907159088264	nan	0.3297949158956024	nan	0.4322946607978191	nan	0.4998653577088413	nan	0.030533337753575255	nan	0.42856030309881227	nan	0.43836109601136997	nan	1.3837196123422377	nan	1.322760528348994	nan	0.18923204206872643	nan	22.059996114927344	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.30195345905921306	nan	0.37545254135727063	nan	0.007892556779453991	nan	0.2547507401759686	nan	0.30564614939370316	nan	0.4161795462275931	nan	0.48961665000168186	nan	0.027311960874666776	nan	0.40238534863326536	nan	0.4186030223459998	nan	1.3470408040788364	nan	1.2783732071072451	nan	0.2002526933463022	nan	22.01199866400566	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.2143954278939982	nan	0.27899166404741227	nan	0.01630349655245699	nan	0.20041451875140168	nan	0.21802506450249248	nan	0.3433244013190407	nan	0.4202320211225953	nan	0.044682154143912696	nan	0.3480304071783348	nan	0.3465863230483644	nan	1.1323627677289576	nan	1.1067749982574508	nan	0.1923027666784128	nan	22.23203047295101	nan	966000	467969	126370	371661	582000	582
