metric	value
config	"{""bio_reg_weight"": 1.0, ""epochs"": 400, ""loss_bio_weight"": 2.0, ""loss_nz_weight"": 2.0, ""lr"": 0.0001, ""name"": ""c01_bioreg1"", ""noise_max"": 0.02, ""observed_recon_weight"": 0.75, ""p_nz"": 0.05, ""p_zero"": 0.01, ""zero_shrink_strength"": 0.3}"
corr_err	0.20784170673535704
corr_err_dataset_std	0.026706727016615722
device	cuda
gnrmse	1.1674348019321015
gnrmse_dataset_std	0.10062368474370165
gnrmse_marker	1.116691305808631
gnrmse_marker_dataset_std	0.09805985486988217
input_dir	synthetic_datasets/simulated_data/tune
mae	0.35757224002369614
mae_biozero	0.045691882078651415
mae_biozero_dataset_std	0.013759788503002645
mae_dataset_std	0.03469800249573402
mae_dropout	0.4372701928340567
mae_dropout_dataset_std	0.02754669043924468
mae_marker	0.35920191055988404
mae_marker_dataset_std	0.03570735904023626
mae_non_zero	0.3577118272264924
mae_non_zero_dataset_std	0.028034668586781275
mse	0.2301734393506466
mse_biozero	0.016565955308430077
mse_biozero_dataset_std	0.006103945667119629
mse_dataset_std	0.04208460315982892
mse_dropout	0.3041690108879779
mse_dropout_dataset_std	0.038433431197109846
mse_marker	0.2318133586933366
mse_marker_dataset_std	0.043792877173625566
mse_non_zero	0.2098942575601947
mse_non_zero_dataset_std	0.028406740690064186
n_datasets	13
n_repeats	1
runtime_sec	22.32864366269384
runtime_sec_dataset_std	0.7207561951605116
score_mse_plus_2biozero	0.26330534996750676
score_mse_plus_biozero	0.24673939465907668
