dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.2072826995460954	nan	0.26879858787024563	nan	0.028070875892370818	nan	0.18615954867752363	nan	0.2029152583113411	nan	0.3371002237972292	nan	0.40504090193473175	nan	0.06634702854558504	nan	0.3343725947560788	nan	0.3332560519236357	nan	1.0931479297760087	nan	1.0332986457125475	nan	0.23612494525179906	nan	24.253063897020184	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.2080649386255893	nan	0.26679013352317665	nan	0.028814215059126822	nan	0.19299699374520513	nan	0.20870313449992875	nan	0.3395757406488802	nan	0.40411337689321414	nan	0.07042085808828692	nan	0.34218893644449105	nan	0.34136923278044196	nan	1.1035015674031907	nan	1.0305898498045127	nan	0.23367668317372373	nan	22.004169119987637	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.19591506994046187	nan	0.24676270138913234	nan	0.021143737131783615	nan	0.18523967251200932	nan	0.19740482942606072	nan	0.33222287897039826	nan	0.39243540013921424	nan	0.05764627632221702	nan	0.3364300042869434	nan	0.3297672916813172	nan	1.1246012965563752	nan	1.0688271085746066	nan	0.1592289831327276	nan	22.1180794039974	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.19948272958559693	nan	0.24631156958794498	nan	0.027678255260721343	nan	0.19037599301483338	nan	0.20108498171194497	nan	0.3368760128624721	nan	0.39354366441932137	nan	0.0668771420902254	nan	0.34210147171318606	nan	0.33766130099940056	nan	1.1220303891242156	nan	1.064941919299886	nan	0.20177023792015245	nan	22.111350544029847	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.14571779240125274	nan	nan	nan	0.04548420783398037	nan	0.16026680366060783	nan	0.14622805031780206	nan	0.28752446897138995	nan	nan	nan	0.11400146882636446	nan	0.31271151674351355	nan	0.29014836581334746	nan	0.9642361093706767	nan	0.9013047038408439	nan	0.22063349348186082	nan	22.13820236804895	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.19573939684552644	nan	0.245726297107976	nan	0.030616105607923556	nan	0.182579121753883	nan	0.20245117559907835	nan	0.33175429746239077	nan	0.39203937599607935	nan	0.07326525917296281	nan	0.3336305895508224	nan	0.33899811532308755	nan	1.1157038902326117	nan	1.0738222170086424	nan	0.16649671052476298	nan	22.254766441998072	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.19221073049090526	nan	0.2497496662603662	nan	0.02419867773801973	nan	0.17959206656942955	nan	0.19201053336410465	nan	0.32806569203751385	nan	0.3968143894009723	nan	0.058172283081877815	nan	0.33014523598556367	nan	0.328272830332863	nan	1.11201332810439	nan	1.0484711807323401	nan	0.18014542689713103	nan	22.074231685954146	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.2821008924738316	nan	0.33581155042983535	nan	0.014746123483223258	nan	0.25899983875495985	nan	0.2918862079580105	nan	0.40493636489441504	nan	0.4604585320753321	nan	0.04686753811537751	nan	0.4126879688285505	nan	0.4122160978980368	nan	1.3195958455921943	nan	1.2622551779074271	nan	0.18439733621761403	nan	22.238888549036346	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.2630706536746967	nan	0.3210935218430529	nan	0.013908004708092902	nan	0.2317820002692749	nan	0.2675370406814786	nan	0.3888505967659494	nan	0.45090182765994274	nan	0.04185132710047635	nan	0.3836623294879978	nan	0.3920510987060696	nan	1.280791910640224	nan	1.2161092779823488	nan	0.20186259379193247	nan	22.186210067011416	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.19578433585841945	nan	0.24820920729927132	nan	0.025520055623511714	nan	0.18766694509097614	nan	0.19937312954696124	nan	0.32957808828787455	nan	0.3943925636533909	nan	0.06427753037966565	nan	0.33817427212350726	nan	0.3329243504236667	nan	1.0937997639385566	nan	1.068617833563788	nan	0.18778434150792872	nan	22.197351793991402	nan	966000	467969	126370	371661	582000	582
