metric	value
config	"{""bio_reg_weight"": 1.0, ""epochs"": 400, ""loss_bio_weight"": 1.0, ""loss_nz_weight"": 2.0, ""lr"": 0.0001, ""name"": ""c04_lossbio1_bioreg1"", ""noise_max"": 0.02, ""observed_recon_weight"": 0.75, ""p_nz"": 0.05, ""p_zero"": 0.01, ""zero_shrink_strength"": 0.3}"
corr_err	0.20576022278484646
corr_err_dataset_std	0.026178062503744964
device	cuda
gnrmse	1.1613420778752526
gnrmse_dataset_std	0.09751490828249434
gnrmse_marker	1.1109103150608375
gnrmse_marker_dataset_std	0.09519661580804338
input_dir	synthetic_datasets/simulated_data/tune
mae	0.3550942090035498
mae_biozero	0.04782106837163894
mae_biozero_dataset_std	0.01332888911714551
mae_dataset_std	0.03318909019973026
mae_dropout	0.43288670735346585
mae_dropout_dataset_std	0.02568390902577292
mae_marker	0.35683080342477136
mae_marker_dataset_std	0.03431835296177302
mae_non_zero	0.3560856438596022
mae_non_zero_dataset_std	0.02743063844631429
mse	0.2266416283096993
mse_biozero	0.017524165939141415
mse_biozero_dataset_std	0.005944560072988311
mse_dataset_std	0.039746704558172904
mse_dropout	0.2983912501652813
mse_dropout_dataset_std	0.035466623200018775
mse_marker	0.2284145039075303
mse_marker_dataset_std	0.04161000220757219
mse_non_zero	0.20763736431611604
mse_non_zero_dataset_std	0.0273969741843987
n_datasets	13
n_repeats	1
runtime_sec	22.482564832540586
runtime_sec_dataset_std	0.7702157988300936
score_mse_plus_2biozero	0.26168996018798213
score_mse_plus_biozero	0.24416579424884072
