dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.22732795874193315	nan	0.3023095200786807	nan	0.018491140024760655	nan	0.19886407069117326	nan	0.2203776180202472	nan	0.3514484897319035	nan	0.43136508129994156	nan	0.04772101871624437	nan	0.3440669507727972	nan	0.3456100789793138	nan	1.1330037664536636	nan	1.067784049820161	nan	0.2532249717988901	nan	24.147368571022525	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.22907442209750542	nan	0.30347637066683975	nan	0.01803772380196329	nan	0.2057157832938355	nan	0.2278820496255273	nan	0.35446379729753325	nan	0.43296678639728836	nan	0.04946532923892683	nan	0.3516913586003536	nan	0.3548920830156532	nan	1.1439995518159751	nan	1.0669159256260095	nan	0.24400776422243461	nan	22.181122231995687	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.21385603617359245	nan	0.27690150764618265	nan	0.013321246143809959	nan	0.19659237178609326	nan	0.21728148655446483	nan	0.34556161662855067	nan	0.4170792935703053	nan	0.04029455557140167	nan	0.3453601552116559	nan	0.34464352232546214	nan	1.1614277152615609	nan	1.1092681295750908	nan	0.16295212212315482	nan	22.27306472393684	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.21793617485360384	nan	0.27649283124491303	nan	0.0176077726253603	nan	0.20275465441656365	nan	0.22166438611711883	nan	0.35058887441929704	nan	0.41814738288979664	nan	0.047104538555093355	nan	0.3520036128645906	nan	0.3528858429648999	nan	1.1604131254787897	nan	1.1066732978510365	nan	0.20278280136413382	nan	22.179581584990956	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.14904133569689515	nan	nan	nan	0.033235515343379325	nan	0.16585067352010116	nan	0.14941576646886157	nan	0.28890669224725246	nan	nan	nan	0.08603729105992393	nan	0.318353401299867	nan	0.29182487442786764	nan	0.9783668081024721	nan	0.914288139361662	nan	0.22143801712158415	nan	22.13724028202705	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.21574336433009506	nan	0.27836976341376535	nan	0.019977370785609187	nan	0.1959330688656626	nan	0.2222413924482565	nan	0.34656697670562436	nan	0.4187210002000007	nan	0.05293108804615607	nan	0.34410427646903546	nan	0.3538436824642586	nan	1.1572068427007325	nan	1.1157310890782366	nan	0.17488040026475066	nan	22.1922456510365	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.2094512611358752	nan	0.28081225218472655	nan	0.015625071030566366	nan	0.19019235854775235	nan	0.20950287350056554	nan	0.34056410618386923	nan	0.42198843471314446	nan	0.04149693344321777	nan	0.3379189394042125	nan	0.3409305324782075	nan	1.1455957511073684	nan	1.0830933253524864	nan	0.19049361757948569	nan	22.10548630694393	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.312832035955896	nan	0.3776447465912316	nan	0.009346136273798355	nan	0.2775485872947395	nan	0.32128743034225027	nan	0.42655067814798747	nan	0.49081137309687745	nan	0.03330399748818301	nan	0.4273225308772153	nan	0.4328335531005368	nan	1.3718988482671166	nan	1.3109503907617188	nan	0.1882009567237073	nan	22.22742339700926	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.2942724691551584	nan	0.36419387254620267	nan	0.008894715628971858	nan	0.2513440617970716	nan	0.2982452473993802	nan	0.41113644074278716	nan	0.48186065400914296	nan	0.030407390974977685	nan	0.40003775919796236	nan	0.4138162905206765	nan	1.3363070089018774	nan	1.2687456450988162	nan	0.19997838273386526	nan	22.199058857979253	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.21154671351899748	nan	0.27447254749310224	nan	0.017370696342146698	nan	0.1983375893214379	nan	0.21516243102876353	nan	0.3412532152212518	nan	0.4165268659426828	nan	0.04708531576987298	nan	0.3464952567569886	nan	0.3445293171140282	nan	1.1268319639438076	nan	1.1012754936820082	nan	0.1911006722789059	nan	22.20670311199501	nan	966000	467969	126370	371661	582000	582
paths_branching_moderate_drop_group	1	0.22045810885885458	nan	0.2804129630263064	nan	0.017777335056831274	nan	0.20557493859880058	nan	0.2197040113332288	nan	0.35273008498136255	nan	0.42075134996009744	nan	0.04922684412527814	nan	0.3543285241369348	nan	0.35307956500685134	nan	1.1409131791020737	nan	1.1132471530309263	nan	0.2164075591618685	nan	22.08747425803449	nan	972000	454237	103983	413780	582000	582
paths_linear_moderate_drop	1	0.22696275413973957	nan	0.2879103817220134	nan	0.01861162249746222	nan	0.20678948900467273	nan	0.23093314171837312	nan	0.3580976856705428	nan	0.4261687367884045	nan	0.04836287185649844	nan	0.35432620853294483	nan	0.3643136301129006	nan	1.1340677216325277	nan	1.1047942505977228	nan	0.21143029285109363	nan	22.182108739973046	nan	965000	466459	97633	400908	552000	552
paths_linear_moderate_drop_group	1	0.21657152772489735	nan	0.2742216036314027	nan	0.02016490485874351	nan	0.20542709850050037	nan	0.2143578914977434	nan	0.3474952024605151	nan	0.4156869129383898	nan	0.049782112984463694	nan	0.3542616252568883	nan	0.34461466733473084	nan	1.105870086800756	nan	1.0777790190461591	nan	0.22701353049421508	nan	21.983822971000336	nan	964000	468240	115885	379875	566000	566
