dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.22901403640821005	nan	0.3029389405340816	nan	0.020992261901539376	nan	0.20155324983285394	nan	0.22328797936845854	nan	0.35301894837519726	nan	0.43221425513475886	nan	0.05068477242224479	nan	0.34608537079351825	nan	0.3479313658099463	nan	1.1397191639389979	nan	1.0756285701186858	nan	0.29859958204777776	nan	25.671373527962714	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.23172057615103	nan	0.3067591421528857	nan	0.02047894657201961	nan	0.20773676173931507	nan	0.2313432945178611	nan	0.35703031688758863	nan	0.4364517399051148	nan	0.05281949427313956	nan	0.3530681353072484	nan	0.35806720114605833	nan	1.1532369019961741	nan	1.07651276406233	nan	0.2868160140276938	nan	23.512731510098092	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.21806620445965036	nan	0.2840806053517095	nan	0.015160487283089304	nan	0.19822720866481627	nan	0.22051270882785381	nan	0.34920836629930574	nan	0.4231710807791097	nan	0.042836415293031636	nan	0.34667479056850287	nan	0.34747758044881444	nan	1.1749951864881976	nan	1.1190758230917923	nan	0.21931129480636133	nan	23.82318409299478	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.22184654154462516	nan	0.2825935992254629	nan	0.020010056388262344	nan	0.20453125739821057	nan	0.22526136407099825	nan	0.35395882737369183	nan	0.42333948270177435	nan	0.05022899220588936	nan	0.3533345578803486	nan	0.3559824796218286	nan	1.172748336196041	nan	1.1168232777625922	nan	0.2735168511646209	nan	23.898063994944096	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.1499693821866835	nan	nan	nan	0.03981738988435489	nan	0.16595806086325418	nan	0.1501985548342218	nan	0.29012422610973737	nan	nan	nan	0.09491825390712727	nan	0.31845858030579066	nan	0.2929056643382567	nan	0.9812069408055497	nan	0.916699836671788	nan	0.2250819719755686	nan	23.657302247942425	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.21882593186824842	nan	0.28181814419122225	nan	0.02232225593365067	nan	0.1987785586455388	nan	0.22634644632729484	nan	0.34912790508599345	nan	0.42147041360252824	nan	0.05544742662108355	nan	0.3464427194905388	nan	0.35713881367770933	nan	1.167391493892005	nan	1.126666498628151	nan	0.22334848134015917	nan	23.921270835096948	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.2115475921505533	nan	0.28345250028976793	nan	0.017827310158387767	nan	0.1917490747472378	nan	0.21157225995403106	nan	0.3423827449148532	nan	0.4242651785380075	nan	0.0443781330914494	nan	0.3390415960919574	nan	0.3426661673194743	nan	1.1534804541099217	nan	1.089818756904024	nan	0.261723247295334	nan	23.89971084089484	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.32790741203027896	nan	0.40036401003384164	nan	0.009842696232128807	nan	0.28024907159088264	nan	0.3387226849113937	nan	0.4396277778137535	nan	0.5109182356332416	nan	0.03415816904056601	nan	0.42856030309881227	nan	0.4470592145453415	nan	1.4086597021532103	nan	1.3478309211694808	nan	0.2367553953356758	nan	23.886759632034227	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.30652628725558234	nan	0.3827703993121323	nan	0.009487208044417803	nan	0.2547507401759686	nan	0.3118198575196476	nan	0.42208371435610637	nan	0.4988680676732136	nan	0.03051929270013261	nan	0.40238534863326536	nan	0.42522474082931944	nan	1.369074863368151	nan	1.3000119912463437	nan	0.25866941913965613	nan	23.90864286397118	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.21487082468689084	nan	0.27908602713094527	nan	0.01958809182108454	nan	0.20041451875140168	nan	0.21883012144743422	nan	0.3438989241835888	nan	0.42004143250345694	nan	0.049779714108011325	nan	0.3480304071783348	nan	0.34739256141361796	nan	1.136195058499791	nan	1.1109752730148272	nan	0.2374271827873756	nan	24.008526095887646	nan	966000	467969	126370	371661	582000	582
