dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.23068570960787138	nan	0.3059758381350601	nan	0.02293873517523406	nan	0.20155324983285394	nan	0.22582626659346342	nan	0.3548139626090251	nan	0.435315162864681	nan	0.05343544407534693	nan	0.34608537079351825	nan	0.35027762110273886	nan	1.1455292067647544	nan	1.0821681468212505	nan	0.30763366726505825	nan	24.130163855967112	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.23407300368460487	nan	0.31142328108547207	nan	0.022396849056531637	nan	0.20773676173931507	nan	0.23433521943649466	nan	0.3594175249158228	nan	0.44096163319876736	nan	0.055662613243001986	nan	0.3530681353072484	nan	0.36088118054966667	nan	1.1609964294772335	nan	1.0842697752109052	nan	0.2952446169137619	nan	22.17537454899866	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.22175357822952213	nan	0.29177601825566307	nan	0.016492657305885325	nan	0.19822720866481627	nan	0.22350259408777476	nan	0.35259248861225484	nan	0.4300157610999465	nan	0.044991397968274734	nan	0.34667479056850287	nan	0.350202262465742	nan	1.1861348160079694	nan	1.1273281955178343	nan	0.2339055367799941	nan	21.67189169791527	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.22501611864280235	nan	0.2888342035126037	nan	0.02174548140282328	nan	0.20453125739821057	nan	0.22818702503585508	nan	0.3568531443126609	nan	0.428831318081692	nan	0.0527261638626862	nan	0.3533345578803486	nan	0.35862142273558795	nan	1.1824028400268938	nan	1.1248035571213182	nan	0.2918832652545236	nan	22.26218592002988	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.15041584185990833	nan	nan	nan	0.04333967736569183	nan	0.16595806086325418	nan	0.15057484462253956	nan	0.29070363306893904	nan	nan	nan	0.0994894122925066	nan	0.31845858030579066	nan	0.29342127230419224	nan	0.9825338683837098	nan	0.917811160151349	nan	0.22555135736502568	nan	22.401354616042227	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.22104469708541094	nan	0.2858771632462611	nan	0.024261342020389223	nan	0.1987785586455388	nan	0.22922659120207936	nan	0.351232210849512	nan	0.42509769015168797	nan	0.058216726813140225	nan	0.3464427194905388	nan	0.35964581808054763	nan	1.1747013355201048	nan	1.134321455584747	nan	0.23546478285309433	nan	22.268383413087577	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.21375404974459036	nan	0.2881715759246754	nan	0.019369139820113058	nan	0.1917490747472378	nan	0.21376621565255266	nan	0.34446844062555204	nan	0.42852799298045013	nan	0.04658867255719748	nan	0.3390415960919574	nan	0.3447101526360121	nan	1.1609697393688438	nan	1.0963152679784303	nan	0.2830080905638543	nan	22.205556656001136	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.3345249528141068	nan	0.410731932459645	nan	0.010717363191388071	nan	0.28024907159088264	nan	0.3468909766002641	nan	0.4458080162622962	nan	0.5204410386341702	nan	0.03594909873640968	nan	0.42856030309881227	nan	0.45387995904302736	nan	1.4273239862482334	nan	1.366126817826053	nan	0.2495187971782338	nan	22.210878139012493	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.31225780585365526	nan	0.39214296182756686	nan	0.010317162409471918	nan	0.2547507401759686	nan	0.3185673322377179	nan	0.42760798891135354	nan	0.5077673312903903	nan	0.03210282983612126	nan	0.40238534863326536	nan	0.4312080924937965	nan	1.3865125610608406	nan	1.317002043835958	nan	0.27363984013218384	nan	22.276860140031204	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.2177399551074893	nan	0.2845484875242555	nan	0.021291960290668016	nan	0.20041451875140168	nan	0.221950972434044	nan	0.3464345342298434	nan	0.42459821195926684	nan	0.052287965904529526	nan	0.3480304071783348	nan	0.3500945652107775	nan	1.1441032982297124	nan	1.118946445798579	nan	0.24748885327460732	nan	22.284478568006307	nan	966000	467969	126370	371661	582000	582
