dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.20251463972765804	nan	0.25983489220900324	nan	0.03409579159445847	nan	0.18323671628067853	nan	0.19922081229391947	nan	0.3336467301345469	nan	0.39757840717847737	nan	0.07583294289319159	nan	0.33193921211547217	nan	0.3305456248365116	nan	1.0833806622371298	nan	1.0254674322426878	nan	0.2532892259064631	nan	24.5667134989053	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.20529029368282503	nan	0.2608681322628459	nan	0.035351381854503046	nan	0.19110830538781837	nan	0.20714029481542495	nan	0.3378655806437589	nan	0.39909961904104074	nan	0.08049164899802792	nan	0.3408755147042838	nan	0.34046895411842854	nan	1.0992417465301045	nan	1.027595084368559	nan	0.2507130137857929	nan	21.88701298297383	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.1943269558032184	nan	0.24356693912354818	nan	0.025196249128019554	nan	0.18396045494789764	nan	0.19482821606046316	nan	0.33116557797117024	nan	0.3893957823096551	nan	0.06488282384761614	nan	0.3354200250385818	nan	0.32792232938216825	nan	1.1223660571141663	nan	1.0635641831305631	nan	0.1867953529702701	nan	22.03259536495898	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.19758360146100526	nan	0.2425968957499545	nan	0.032855400626829394	nan	0.18872124639791155	nan	0.19870946002060136	nan	0.3355346334340774	nan	0.3900175125705095	nan	0.07523928760129335	nan	0.34074333944446805	nan	0.3359073673253776	nan	1.1188262824348232	nan	1.0600854914608608	nan	0.24133480662579884	nan	22.039036498055793	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.14622871462144463	nan	nan	nan	0.05060714515373793	nan	0.1601082869906157	nan	0.14665496596905467	nan	0.2883104122873099	nan	nan	nan	0.12130591642686812	nan	0.31255129223913647	nan	0.2908424838122853	nan	0.965848187032787	nan	0.9026201064906832	nan	0.22352299509837562	nan	22.025578711065464	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.19251111653440103	nan	0.23987264433790134	nan	0.036608703770988994	nan	0.17987803531726915	nan	0.19957278816425703	nan	0.32921841797034984	nan	0.38654331062999886	nan	0.08300894906242921	nan	0.3311261007827949	nan	0.3367703440809584	nan	1.1079931566016934	nan	1.066821477238257	nan	0.18945104537780458	nan	21.999133810051717	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.1897651533662353	nan	0.24482599650063494	nan	0.028708275091916334	nan	0.17775961690991782	nan	0.18925475018456986	nan	0.32622555421802757	nan	0.39219846195125413	nan	0.06582919288979774	nan	0.32856852261560976	nan	0.32615929763060897	nan	1.1072993611432473	nan	1.0428763282836002	nan	0.2133068185783518	nan	21.94922949105967	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.27564745904737703	nan	0.32700399304704475	nan	0.019725301598721493	nan	0.25366945084936904	nan	0.28615441553550913	nan	0.40151669240572996	nan	0.45513847855414447	nan	0.05611386580010644	nan	0.40884414614332504	nan	0.40908665802321886	nan	1.3149774817911697	nan	1.2562655615543303	nan	0.20541443917712982	nan	22.000418680952862	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.2577507150729272	nan	0.3141290116423701	nan	0.01842705419959186	nan	0.2263740868955835	nan	0.2642610654814253	nan	0.38582486754798956	nan	0.44651449589726316	nan	0.051368043577880586	nan	0.37902042417194065	nan	0.3904563078490925	nan	1.276114222939398	nan	1.2146264489490728	nan	0.22500284440979967	nan	22.134336526039988	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.1929691305089082	nan	0.24322560079997085	nan	0.030824187078717872	nan	0.18482134625291924	nan	0.1967446428991673	nan	0.32739365582768487	nan	0.38941275087520283	nan	0.07362480658482895	nan	0.3355886388593395	nan	0.33096595047502353	nan	1.0866838679686366	nan	1.0621915303194363	nan	0.2079330273962261	nan	22.135059433057904	nan	966000	467969	126370	371661	582000	582
