metric	value
config	"{""bio_reg_weight"": 0.5, ""epochs"": 400, ""loss_bio_weight"": 2.0, ""loss_nz_weight"": 2.0, ""lr"": 0.0001, ""name"": ""c13_pzero0p0025_bioreg0p5_shrink0p1"", ""noise_max"": 0.02, ""observed_recon_weight"": 0.75, ""p_nz"": 0.05, ""p_zero"": 0.0025, ""zero_shrink_strength"": 0.1}"
corr_err	0.24496456074442852
corr_err_dataset_std	0.02332864367476063
device	cuda
gnrmse	1.1221776315685703
gnrmse_dataset_std	0.09035329633333194
gnrmse_marker	1.0727108457187802
gnrmse_marker_dataset_std	0.08894041033643763
input_dir	synthetic_datasets/simulated_data/tune
mae	0.3404704596583163
mae_biozero	0.08253838015216103
mae_biozero_dataset_std	0.01685606072016598
mae_dataset_std	0.028102347685657777
mae_dropout	0.40374872242246057
mae_dropout_dataset_std	0.023726271878237944
mae_marker	0.34282015724970905
mae_marker_dataset_std	0.030242255423362206
mae_non_zero	0.34313248564955207
mae_non_zero_dataset_std	0.0241431891204488
mse	0.205474869879758
mse_biozero	0.036616673753798915
mse_biozero_dataset_std	0.008590828682309757
mse_dataset_std	0.03180743304002928
mse_dropout	0.2619235111535581
mse_dropout_dataset_std	0.029340410957605867
mse_marker	0.20824935596448763
mse_marker_dataset_std	0.035193256929835874
mse_non_zero	0.19143729980893248
mse_non_zero_dataset_std	0.023008798038536206
n_datasets	13
n_repeats	1
runtime_sec	22.994418011521564
runtime_sec_dataset_std	0.7952633003531421
score_mse_plus_2biozero	0.27870821738735585
score_mse_plus_biozero	0.2420915436335569
