dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.2181360556301319	nan	0.28907885443976356	nan	0.025407581227181352	nan	0.18983054861588788	nan	0.21319775443344005	nan	0.34490340276612225	nan	0.4215026005387098	nan	0.0575137472384539	nan	0.33677311253453146	nan	0.3403579312265145	nan	1.1178171253884686	nan	1.0562566271114666	nan	0.2738664229791794	nan	24.495334258070216	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.22518479841250802	nan	0.3006457041673226	nan	0.02282626906738214	nan	0.19839000311752322	nan	0.22557202342176583	nan	0.35165247247219145	nan	0.4312420949914263	nan	0.05663658754824617	nan	0.345067767520466	nan	0.3533217738823558	nan	1.1388334376772355	nan	1.064539629685351	nan	0.26572402170211745	nan	21.915479643037543	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.21150609430283085	nan	0.27709943897641465	nan	0.017419178964584628	nan	0.1899186577007905	nan	0.21257841159264393	nan	0.34385583631357536	nan	0.4175464409710649	nan	0.04631697109076835	nan	0.33941142152199927	nan	0.3410830731421856	nan	1.1596111201446317	nan	1.1026666647306225	nan	0.20769678046014856	nan	22.034582590917125	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.21616133120729247	nan	0.2786237008693134	nan	0.02227555617327445	nan	0.19478613433910902	nan	0.2194525732237813	nan	0.34915384667443383	nan	0.41970144830122513	nan	0.054634459920643696	nan	0.3447730600178846	nan	0.3510273288006538	nan	1.157640203355008	nan	1.1023490427397065	nan	0.2503191959793314	nan	22.095734250033274	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.1486075630306431	nan	nan	nan	0.03943791901474873	nan	0.1644536528100727	nan	0.14889565753393405	nan	0.2890109817961497	nan	nan	nan	0.0960926628594392	nan	0.317013280690911	nan	0.2918651982885201	nan	0.9765388218025637	nan	0.9123084287806864	nan	0.21601062816333388	nan	22.073932713945396	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.21299036438424393	nan	0.27690756764862434	nan	0.024874938244704436	nan	0.1892772037830928	nan	0.21946551138270004	nan	0.3443316332232915	nan	0.4172171616971288	nan	0.060138445975972434	nan	0.33812988933321214	nan	0.35152507755808193	nan	1.152685208829852	nan	1.110654831951696	nan	0.20851454879466272	nan	22.08801670698449	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.20409334605797486	nan	0.27461373315202686	nan	0.02056316267044193	nan	0.18307324918149986	nan	0.20325324164903533	nan	0.336402142042077	nan	0.4168378737009349	nan	0.04926509260986961	nan	0.33173001349282877	nan	0.3359964517387953	nan	1.1368656997168445	nan	1.0718392145129947	nan	0.24225769194946428	nan	22.04780599102378	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.30590868632008744	nan	0.37627692604622753	nan	0.013740555422741722	nan	0.25314665234025285	nan	0.3174705654777887	nan	0.4226057967994534	nan	0.49191121830718637	nan	0.04403379342320662	nan	0.4058034792339129	nan	0.43087281334079325	nan	1.366838023619842	nan	1.3097286118525877	nan	0.21654085412910468	nan	22.108211745042354	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.3006400452474662	nan	0.3792607009139043	nan	0.011199485722061354	nan	0.24133293327664654	nan	0.306425804881869	nan	0.41688809612947036	nan	0.49474194970464186	nan	0.03576864476023925	nan	0.3913340787930767	nan	0.42044001892088245	nan	1.3563895952945628	nan	1.2896245059175968	nan	0.22871062625850233	nan	22.042097136029042	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.20891598999333658	nan	0.2734574215292369	nan	0.022332571639278816	nan	0.19109102962078908	nan	0.21218031170485968	nan	0.3392413004364895	nan	0.41499674645810597	nan	0.05492590145904448	nan	0.34052671012297775	nan	0.342222257866254	nan	1.1231584019956793	nan	1.0963478691558715	nan	0.21575350330971121	nan	22.08174972294364	nan	966000	467969	126370	371661	582000	582
