metric	value
config	"{""bio_reg_weight"": 1.2, ""epochs"": 400, ""loss_bio_weight"": 2.0, ""loss_nz_weight"": 2.0, ""lr"": 0.0001, ""name"": ""t_br1p2"", ""noise_max"": 0.02, ""observed_recon_weight"": 0.75, ""p_nz"": 0.05, ""p_zero"": 0.01, ""zero_shrink_strength"": 0.3}"
corr_err	0.2085211950123297
corr_err_dataset_std	0.03043695849875344
device	cuda
gnrmse	1.180833816243244
gnrmse_dataset_std	0.10533675202770823
gnrmse_marker	1.1294922811029955
gnrmse_marker_dataset_std	0.10393356748803322
input_dir	synthetic_datasets/simulated_data/tune
mae	0.3630720995411906
mae_biozero	0.04143499834980372
mae_biozero_dataset_std	0.013316961680241263
mae_dataset_std	0.03706471025634069
mae_dropout	0.44714168076505684
mae_dropout_dataset_std	0.030137498106860738
mae_marker	0.3645843472678516
mae_marker_dataset_std	0.03853019087306337
mae_non_zero	0.36095356298134657
mae_non_zero_dataset_std	0.02796091493981651
mse	0.2381090712134604
mse_biozero	0.0146214145890071
mse_biozero_dataset_std	0.005856909047918537
mse_dataset_std	0.04610162307754294
mse_dropout	0.31737939077234034
mse_dropout_dataset_std	0.043267640193060515
mse_marker	0.23976027909644473
mse_marker_dataset_std	0.048594183133370966
mse_non_zero	0.21454554399589346
mse_non_zero_dataset_std	0.02904889720908277
n_datasets	13
n_repeats	1
runtime_sec	22.35448361199815
runtime_sec_dataset_std	0.5224485096577756
score_mse_plus_2biozero	0.2673519003914746
score_mse_plus_biozero	0.2527304858024675
