dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.2531926524741011	nan	0.34289997102220277	nan	0.012093153334334625	nan	0.2166630363055482	nan	0.2457511015430263	nan	0.36968082629634036	nan	0.4617156769151491	nan	0.03434288382370057	nan	0.3570933715211481	nan	0.3641279234162088	nan	1.1784938470491326	nan	1.1146221942562922	nan	0.2708129274939968	nan	24.355807079933584	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.250281700339991	nan	0.33620736531519085	nan	0.012141814349477139	nan	0.22182180662689824	nan	0.24782290562338094	nan	0.3693535922751046	nan	0.4574158866061741	nan	0.037150416288140066	nan	0.36360398424256557	nan	0.36869567675680626	nan	1.182504620500039	nan	1.1018649368363769	nan	0.2650975379362695	nan	22.013220231980085	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.2338537240403961	nan	0.3081161518806228	nan	0.008553219335982142	nan	0.2107992071106642	nan	0.23994337909780136	nan	0.3600976544972533	nan	0.4413720690037817	nan	0.02817959041507935	nan	0.3561323176350662	nan	0.3606564805758722	nan	1.198377872427758	nan	1.1501952913530364	nan	0.16783723718327104	nan	22.208567646099254	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.24264600443662765	nan	0.3165318316307094	nan	0.011268446061308111	nan	0.21789342466566963	nan	0.2468741555963005	nan	0.36822696663323745	nan	0.449180904057233	nan	0.03239275070741459	nan	0.3626429727466191	nan	0.37092743874808476	nan	1.2019407069740335	nan	1.1488272263174373	nan	0.2057355353709473	nan	22.21142220403999	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.15214760806268435	nan	nan	nan	0.026054449232561585	nan	0.170450163992088	nan	0.15205001013505295	nan	0.2908036976229429	nan	nan	nan	0.06917347749069787	nan	0.3229735594715259	nan	0.29338524588247616	nan	0.9900000511017283	nan	0.9240019994339708	nan	0.2236423950080647	nan	22.244206320028752	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.24476900921354258	nan	0.32202147306711315	nan	0.012109320431467657	nan	0.217692589453155	nan	0.24818363685648143	nan	0.3680680772532449	nan	0.45285045006685143	nan	0.03603286336674733	nan	0.36128891888147824	nan	0.3727103899336157	nan	1.213633287458213	nan	1.1637896420847404	nan	0.18040971478466375	nan	22.321751659037545	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.23003325605252678	nan	0.3143189375893124	nan	0.010198720948508697	nan	0.20502921439914043	nan	0.2294036685473882	nan	0.355283774665517	nan	0.44797081769420777	nan	0.030403909033773522	nan	0.34841346505813797	nan	0.35507130695224454	nan	1.1811057118063142	nan	1.1166400588428511	nan	0.1982318785950059	nan	22.200806297943927	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.35897521680905786	nan	0.44336165324913096	nan	0.005370447742247853	nan	0.2969542157842739	nan	0.3674098533339486	nan	0.45555531135511845	nan	0.5336879486687937	nan	0.024346922890713753	nan	0.43832384437340965	nan	0.46150840514218944	nan	1.4336149742404976	nan	1.3719773768729981	nan	0.19014513717175968	nan	22.26191960903816	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.33791227724046785	nan	0.42843386492759483	nan	0.0049273652276486	nan	0.26953342140616726	nan	0.3455087648205076	nan	0.43831245953685555	nan	0.5242340666571631	nan	0.019431318270842362	nan	0.4095021552361033	nan	0.4431338916747763	nan	1.3934640394721725	nan	1.3306412254299709	nan	0.21059996477505197	nan	22.12039559194818	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.23530546713481904	nan	0.3107560146473516	nan	0.01138608802785998	nan	0.21643928173698082	nan	0.23912757132649995	nan	0.3588034385963718	nan	0.4452109973478853	nan	0.03323118327818189	nan	0.3607043833906134	nan	0.362071229637007	nan	1.1733178427643571	nan	1.1467322570149845	nan	0.19496726099918255	nan	22.141756645054556	nan	966000	467969	126370	371661	582000	582
