dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.23871859436184803	nan	0.3203746328892208	nan	0.015288177613333937	nan	0.20659054803613439	nan	0.2325851056406134	nan	0.3595743294319214	nan	0.44503018548487844	nan	0.041175748486057255	nan	0.34987594910597514	nan	0.35487723694764667	nan	1.1535926265386651	nan	1.0915411925968683	nan	0.26308137549370564	nan	24.1619515910279	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.23576857573077253	nan	0.31248458711059324	nan	0.015554408442084866	nan	0.21237787244119624	nan	0.23389653810641997	nan	0.35929547423663905	nan	0.4399178071151414	nan	0.04461436949112741	nan	0.35683305967171147	nan	0.3591029330292341	nan	1.1575344900749327	nan	1.0783096479861283	nan	0.262789130073275	nan	22.11932085105218	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.22223769973385576	nan	0.29044253274154813	nan	0.010860948487795747	nan	0.20217359543946545	nan	0.2267787403743727	nan	0.3516308952399857	nan	0.4277779080960006	nan	0.03405931719727868	nan	0.34955866086830567	nan	0.35112896544377237	nan	1.1773498838575849	nan	1.1267212052622146	nan	0.16326706572873279	nan	22.154624233953655	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.22929896823267726	nan	0.2968557544465304	nan	0.014174350284053283	nan	0.20759980336158562	nan	0.2336691377579312	nan	0.3584569322257398	nan	0.4342233061890211	nan	0.03916049467385106	nan	0.35453427330364995	nan	0.36132141007566654	nan	1.1770434885337693	nan	1.1250387921520648	nan	0.1993815279128888	nan	22.189297041972168	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.15024304610959127	nan	nan	nan	0.02971710150479802	nan	0.16773751498117648	nan	0.15039678861973302	nan	0.2895890275420894	nan	nan	nan	0.07798094887653292	nan	0.3203041649121335	nan	0.2922760441060396	nan	0.9831838973709118	nan	0.9180711082353062	nan	0.22438034855108363	nan	22.163369867950678	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.23139720329436522	nan	0.3014902935590869	nan	0.015263763324541369	nan	0.20833595177334888	nan	0.23567314987463742	nan	0.3586430218742291	nan	0.4371842287584803	nan	0.042695303754499384	nan	0.35486144025255	nan	0.36369520206992334	nan	1.1914353828752506	nan	1.1418501881403516	nan	0.17358844181603186	nan	22.248476171982475	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.21776285117548433	nan	0.29504515620062155	nan	0.0127362437036718	nan	0.19569446427395412	nan	0.2166208703537893	nan	0.3464274991710755	nan	0.4331732110620431	nan	0.035931992750744914	nan	0.34159559874840467	nan	0.34587928706065024	nan	1.1594360401092978	nan	1.0940794074676243	nan	0.187357158915279	nan	22.235889117000625	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.33354177627084053	nan	0.4081447755110068	nan	0.007386822298102067	nan	0.28395595735828555	nan	0.3426658126021876	nan	0.4396051733661976	nan	0.5107576368111494	nan	0.02910915563691272	nan	0.4308091524093476	nan	0.4460537873679572	nan	1.4001460973396849	nan	1.3394185622159223	nan	0.186879550948013	nan	22.31427988805808	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.3155540901020723	nan	0.3969989445934533	nan	0.006750398832369037	nan	0.2572640137224264	nan	0.32203922721021877	nan	0.424286521413163	nan	0.5038066700318214	nan	0.02437528067398705	nan	0.40191887735967047	nan	0.42853441456559976	nan	1.3634574332426896	nan	1.299565823547959	nan	0.20377682311478434	nan	22.179462900967337	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.2229736617515522	nan	0.2919637527956097	nan	0.014189502389855616	nan	0.20709583303866871	nan	0.22654293851667465	nan	0.3498846052834452	nan	0.43057111707351015	nan	0.03977858279224933	nan	0.3537303459619869	nan	0.3530210805598644	nan	1.1508684060861263	nan	1.1241185120251656	nan	0.18998551234085842	nan	22.190401399042457	nan	966000	467969	126370	371661	582000	582
paths_branching_moderate_drop_group	1	0.23168671486367212	nan	0.29815518682449577	nan	0.014184588941300808	nan	0.2133776720431326	nan	0.22909432461412096	nan	0.36096266890488404	nan	0.435134385158353	nan	0.04042143786983505	nan	0.36009095193183227	nan	0.3599271138629764	nan	1.1612833796446151	nan	1.1299195865615135	nan	0.21773908816616078	nan	22.39205669297371	nan	972000	454237	103983	413780	582000	582
paths_linear_moderate_drop	1	0.23824838014996497	nan	0.30503349251580875	nan	0.015590306092804129	nan	0.21476732967295653	nan	0.24146132302822118	nan	0.3664485275465657	nan	0.4397298132797556	nan	0.04242436238361095	nan	0.3600947906681216	nan	0.3718695036763745	nan	1.1540495474673145	nan	1.1219288823794196	nan	0.21055446263990524	nan	22.189554931013845	nan	965000	466459	97633	400908	552000	552
paths_linear_moderate_drop_group	1	0.22525525397861274	nan	0.2874568922103527	nan	0.016765643240974865	nan	0.21218654309924778	nan	0.2225794972262388	nan	0.3537233771330605	nan	0.4264296564962839	nan	0.043273595898409824	nan	0.3588105364600543	nan	0.3504800963318514	nan	1.1208579020949354	nan	1.091889003919727	nan	0.2342128334084268	nan	22.158558269031346	nan	964000	468240	115885	379875	566000	566
