dataset	n_repeats	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	mse_marker	mse_marker_std	mae	mae_std	mae_dropout	mae_dropout_std	mae_biozero	mae_biozero_std	mae_non_zero	mae_non_zero_std	mae_marker	mae_marker_std	gnrmse	gnrmse_std	gnrmse_marker	gnrmse_marker_std	corr_err	corr_err_std	runtime_sec	runtime_sec_std	n_total	n_dropout	n_biozero	n_non_zero	n_marker	n_marker_genes
batch_effects_moderate_drop	1	0.24293851770817035	nan	0.32710628508699785	nan	0.014301317913832006	nan	0.20935093976131378	nan	0.23629263101962528	nan	0.36247434387463956	nan	0.44989986432279533	nan	0.03932537492718778	nan	0.35182019368879974	nan	0.357359189751617	nan	1.1609091362311441	nan	1.09783133740348	nan	0.2663801811132189	nan	24.184525520075113	nan	965000	459783	111407	393810	288000	288
batch_effects_moderate_drop_group	1	0.23948281848758496	nan	0.3186584721716888	nan	0.01452068268207613	nan	0.21472778289752248	nan	0.2372918670982333	nan	0.36182239570217395	nan	0.44446863092957317	nan	0.042511229597599474	nan	0.3584294981304474	nan	0.36135233176080495	nan	1.1639287568432626	nan	1.0839675831537983	nan	0.2651732328243951	nan	22.201173042994924	nan	968000	442900	110226	414874	254000	254
groups_balanced_moderate_drop	1	0.22534567582834056	nan	0.2951998459326267	nan	0.010144797878134108	nan	0.20447558317495887	nan	0.23010333577671022	nan	0.3539049958201251	nan	0.4314694175051914	nan	0.032329271321788165	nan	0.3513189625565763	nan	0.3535229294797981	nan	1.1830263007844732	nan	1.1326383112380585	nan	0.16475959007347415	nan	22.320881191059016	nan	967000	445339	104058	417603	252000	252
groups_balanced_moderate_drop_group	1	0.23224347751700844	nan	0.30146711568879025	nan	0.013471959789757751	nan	0.20957440001221733	nan	0.23676601143404213	nan	0.3605875094311828	nan	0.4377315411734023	nan	0.03778690450605296	nan	0.3559914030824708	nan	0.3635729294283002	nan	1.1822606912248055	nan	1.1303665552877755	nan	0.20123013147333083	nan	22.344363864976913	nan	974000	465360	105473	403167	268000	268
groups_balanced_nodrop	1	0.15085314403058595	nan	nan	nan	0.028425321292293203	nan	0.16862367253325872	nan	0.1509289867274236	nan	0.2899782786733477	nan	nan	nan	0.07494732523829367	nan	0.32119024995166484	nan	0.2926428665319771	nan	0.9854130665265003	nan	0.9200033572553474	nan	0.22435692759973802	nan	22.32531873800326	nan	995000	0	126119	868881	264000	264
groups_imbalanced_moderate_drop	1	0.23524243113948104	nan	0.307545555080107	nan	0.014314565761534469	nan	0.21084990224380487	nan	0.23927161109911066	nan	0.3613725862662965	nan	0.4418203728913122	nan	0.040790191535315275	nan	0.3565916158606959	nan	0.36631325311940166	nan	1.1979625700853873	nan	1.148269224261576	nan	0.1750245643464854	nan	22.332340779015794	nan	963000	472453	112927	377620	251000	251
groups_imbalanced_moderate_drop_group	1	0.22086908005949088	nan	0.3003435348805902	nan	0.0119713895596882	nan	0.19769223971024216	nan	0.21983849476324363	nan	0.3486385525544381	nan	0.43724771498843623	nan	0.03444316730475014	nan	0.3429659409854445	nan	0.34811446004501734	nan	1.1648322064957404	nan	1.0993859398832115	nan	0.19146541339593512	nan	22.298703755019233	nan	972000	418522	110025	443453	278000	278
groups_rare_high_drop	1	0.33939199896286926	nan	0.41623923806022567	nan	0.00685129181269674	nan	0.28698810803224056	nan	0.34845331816170383	nan	0.44331408563208097	nan	0.5160981431989878	nan	0.027966332119512907	nan	0.43255028658446143	nan	0.4497496767050589	nan	1.4082261264509734	nan	1.3473461285774413	nan	0.18739357672947035	nan	22.310950031969696	nan	955000	601218	98746	255036	329000	329
groups_rare_high_drop_group	1	0.32023874765764204	nan	0.4038086332847881	nan	0.006272295295719634	nan	0.259411700611956	nan	0.32723593123620903	nan	0.42712940295753626	nan	0.5082647630328516	nan	0.023111036175925265	nan	0.40289766867937543	nan	0.4317314402397297	nan	1.3691605776933118	nan	1.3062710787549916	nan	0.2059913807018501	nan	21.937981109018438	nan	946000	569844	97738	278418	334000	334
paths_branching_moderate_drop	1	0.2262559876366742	nan	0.29687591777434297	nan	0.013350228040081475	nan	0.20972738429552917	nan	0.22975420555712045	nan	0.35227762369705135	nan	0.4344653757894671	nan	0.03772251786297554	nan	0.35574586105667877	nan	0.3552929351692299	nan	1.1571483954178308	nan	1.1299308382535067	nan	0.19136417658258953	nan	22.01627294998616	nan	966000	467969	126370	371661	582000	582
