iter	ari	mse	ok	hidden	bottleneck	p_zero	p_nz	noise_max	bio_reg_weight	lr	epochs
1	0.7409406208340764	0.894312858581543	False	[64]	64	0.01	0.3	0.2	2.0	0.0001	300
2	0.7736000053668339	1.0254620909690857	False	[64]	32	0.01	0.4	0.3	2.0	0.001	300
3	0.7988385258170245	0.798382580280304	False	[128]	32	0.05	0.3	0.2	1.0	0.0001	300
4	0.8077431589993702	0.8664758577942848	False	[128, 64]	64	0.01	0.4	0.2	1.0	0.0005	200
5	0.7272764752506125	0.9202947169542313	False	[64]	64	0.05	0.2	0.3	2.0	0.0001	300
6	0.7729156158667971	1.040973499417305	False	[64]	64	0.05	0.3	0.1	2.0	0.0005	300
7	0.841728207737934	0.9182948619127274	False	[128, 64]	64	0.05	0.2	0.2	1.0	0.0005	200
8	0.7659048532962959	1.0773563534021378	False	[128]	32	0.05	0.4	0.3	2.0	0.0005	300
9	0.8040175243171606	1.010885164141655	False	[128]	32	0.05	0.3	0.1	1.0	0.001	200
10	0.8378745006324657	0.8903059959411621	False	[128]	32	0.05	0.3	0.1	0.5	0.0005	300
11	0.719060457574168	0.893345296382904	False	[128, 64]	32	0.0	0.4	0.2	2.0	0.0001	200
12	0.7932901247352	0.9733621776103973	False	[128, 64]	64	0.01	0.4	0.3	1.0	0.001	200
13	0.8467896847842523	0.75574941188097	False	[64]	64	0.01	0.2	0.3	0.5	0.001	200
14	0.7639288212008378	0.96994948387146	False	[128, 64]	64	0.05	0.3	0.2	2.0	0.0001	300
15	0.8463717927580839	0.5977423563599586	True	[128]	32	0.01	0.3	0.1	0.5	0.0001	200
16	0.8047360256760138	0.8047662675380707	False	[128]	64	0.01	0.3	0.3	1.0	0.0001	300
17	0.797614106461393	1.0690824836492538	False	[128]	64	0.01	0.3	0.1	1.0	0.001	200
18	0.8463717927580839	0.597673200070858	True	[128]	32	0.01	0.3	0.3	0.5	0.0001	200
19	0.8074811648436795	0.8667321726679802	False	[128, 64]	64	0.0	0.2	0.3	0.5	0.001	200
20	0.8102436452195816	0.9663642048835754	False	[128, 64]	32	0.01	0.3	0.1	1.0	0.0005	300
21	0.7231945127676912	0.9089980274438858	False	[128, 64]	64	0.01	0.3	0.2	2.0	0.0001	200
22	0.7790912239487291	1.1230938583612442	False	[128]	32	0.0	0.2	0.3	2.0	0.001	200
23	0.8304022771612007	0.864910788834095	False	[128, 64]	32	0.05	0.3	0.3	0.5	0.0005	300
24	0.8030287834250643	1.1222623884677887	False	[128]	32	0.0	0.3	0.1	0.5	0.001	300
25	0.8452896153690063	0.8795947581529617	False	[128]	32	0.05	0.2	0.2	0.5	0.0005	300
26	0.7812090842922472	1.2972262799739838	False	[128]	64	0.01	0.4	0.2	0.5	0.001	300
27	0.8241865194126904	0.8512823283672333	False	[64]	64	0.0	0.4	0.3	1.0	0.001	200
28	0.8290341970605566	0.8403354659676552	False	[64]	32	0.01	0.4	0.1	1.0	0.001	200
