seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	transform	cluster_seed
42	20	10	0.2	3	0.98804244341618	0.975262110797406				0.2225170060992241	groups_balanced_moderate_drop	raw	42
42	20	10	0.5	5	0.7232177945407035	0.8096405955385463				0.21352636814117432	groups_balanced_moderate_drop	raw	42
42	20	10	1.0	11	0.38099207468378304	0.6326612658284728				0.2074663140811026	groups_balanced_moderate_drop	raw	42
42	20	15	0.2	3	0.9910174139086264	0.9806399412017843				0.29077245108783245	groups_balanced_moderate_drop	raw	42
42	20	15	0.5	5	0.7492642673359107	0.8205257607580837				0.29067198606207967	groups_balanced_moderate_drop	raw	42
42	20	15	1.0	9	0.4173065242911274	0.6613687270765585				0.28034598799422383	groups_balanced_moderate_drop	raw	42
42	20	30	0.2	3	0.9916141892571863	0.9815110261117223				0.43981503578834236	groups_balanced_moderate_drop	raw	42
42	20	30	0.5	3	0.9916141892571863	0.9815110261117223				0.4784068230073899	groups_balanced_moderate_drop	raw	42
42	20	30	1.0	9	0.4394687943586698	0.6683934571257302				0.5408778269775212	groups_balanced_moderate_drop	raw	42
42	50	10	0.2	3	0.9886377388891507	0.9763382173525809				0.2198164421133697	groups_balanced_moderate_drop	raw	42
42	50	10	0.5	6	0.6890883902749985	0.779922824520705				0.2343160507734865	groups_balanced_moderate_drop	raw	42
42	50	10	1.0	9	0.42688780288460076	0.6604904008436746				0.22143744700588286	groups_balanced_moderate_drop	raw	42
42	50	15	0.2	3	0.9904233442958509	0.9797706625688154				0.325558542041108	groups_balanced_moderate_drop	raw	42
42	50	15	0.5	5	0.7616407684167775	0.8233924163915983				0.3160799080505967	groups_balanced_moderate_drop	raw	42
42	50	15	1.0	8	0.45994549770478466	0.6827677977322668				0.2845372320152819	groups_balanced_moderate_drop	raw	42
42	50	30	0.2	3	0.9928120803072583	0.9845758225278488				0.47750691301189363	groups_balanced_moderate_drop	raw	42
42	50	30	0.5	3	0.9928120803072583	0.9845758225278488				0.5017980949487537	groups_balanced_moderate_drop	raw	42
42	50	30	1.0	8	0.5013952570165354	0.6995983105280519				0.536501312861219	groups_balanced_moderate_drop	raw	42
