gene_id	gene_symbol	source_index	hvg_score
ENSG00000163736	PPBP	7697	76.100735906116
ENSG00000143546	S100A8	1958	58.9306002186771
ENSG00000163737	PF4	7696	53.4469140178981
ENSG00000107317	PTGDS	16813	51.7885491798459
ENSG00000168497	SDPR	4865	46.2383744682756
ENSG00000120885	CLU	14587	44.0129538515216
ENSG00000127920	GNG11	12535	43.2886985345865
ENSG00000254709	IGLL5	31683	42.9108367910341
ENSG00000100721	TCL1A	23289	42.6094862780147
ENSG00000090382	LYZ	21054	39.9458380095961
ENSG00000113140	SPARC	9825	37.3847986850679
ENSG00000085265	FCN1	16745	37.1050334767153
ENSG00000154146	NRGN	19923	35.0289927935489
ENSG00000197766	CFD	29429	34.756215757091
ENSG00000111644	ACRBP	20164	34.496152008464
ENSG00000101162	TUBB1	29270	34.3831122633208
ENSG00000163220	S100A9	1956	32.6577925188895
ENSG00000101439	CST3	28818	32.4073423002459
ENSG00000171611	PTCRA	10867	30.9646689372972
ENSG00000161911	TREML1	10828	30.9343509747751
ENSG00000101335	MYL9	28980	29.9941065733865
ENSG00000170458	CD14	9634	28.6779605741804
ENSG00000169704	GP9	6459	28.4794950110595
ENSG00000166091	CMTM5	22527	27.7354819060792
ENSG00000005961	ITGA2B	27143	26.7192929655952
ENSG00000173372	C1QA	470	25.7617178267176
ENSG00000179639	FCER1A	2154	25.6355822586924
ENSG00000197249	SERPINA1	23264	25.2832083279822
ENSG00000156265	MAP3K7CL	32351	25.2399229316076
ENSG00000105369	CD79A	30657	25.0050208673332
ENSG00000106565	TMEM176B	13132	24.7527780088933
ENSG00000006075	CCL3	26839	23.9340421475372
ENSG00000180573	HIST1H2AC	10421	23.1268942166972
ENSG00000184113	CLDN5	31595	22.9185244832471
ENSG00000253701	AL928768.3	23474	22.580200173895
ENSG00000132465	IGJ	7669	22.1656596839935
ENSG00000216490	IFI30	30115	21.8001222662395
ENSG00000236304	AP001189.4	19444	21.6951684836362
ENSG00000145335	SNCA	7841	21.134613291084
ENSG00000176083	ZNF683	561	21.1326221241009
