dataset	path	method	label_column	n_cells	n_genes	n_labels	n_clusters	ari	nmi	runtime_sec	error
Baron	datasets/baron-human_top1000markers.rds	baseline	cell_type1	8569	1000	14	21	0.44785014087969033	0.7479070393275881	1.1585015789605677	
Baron	datasets/baron-human_top1000markers.rds	scvi	cell_type1	8569	1000	14	24	0.42762574586584123	0.7394980689221515	87.1438675369136	
Baron	datasets/baron-human_top1000markers.rds	alra	cell_type1	8569	1000	14	21	0.4340888543867862	0.7397872283946956	0.982390008168295	
Baron	datasets/baron-human_top1000markers.rds	magic	cell_type1	8569	1000	14	42	0.28667279655839056	0.6714907402346856	1.5480839810334146	
Baron	datasets/baron-human_top1000markers.rds	maskimpute	cell_type1	8569	1000	14	20	0.42817848271239994	0.7325227727023985	233.08892080606893	
Zeisel	datasets/zeisel_top1000markers.rds	baseline	cell_type1	3005	1000	9	19	0.3760373045248156	0.6571257867403366	0.2619664219673723	
Zeisel	datasets/zeisel_top1000markers.rds	scvi	cell_type1	3005	1000	9	20	0.31654324541974804	0.6274437175365225	29.024217429105192	
Zeisel	datasets/zeisel_top1000markers.rds	alra	cell_type1	3005	1000	9	20	0.35444825303284266	0.6498340221648857	0.3177111172117293	
Zeisel	datasets/zeisel_top1000markers.rds	magic	cell_type1	3005	1000	9	35	0.2479727319699829	0.6159041265844094	0.3779198480769992	
Zeisel	datasets/zeisel_top1000markers.rds	maskimpute	cell_type1	3005	1000	9	20	0.36108975413634303	0.6606225837086546	79.85384144005366	
