seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	path	method	display_method	impute_seed	cluster_seed	label_column	batch_column	n_cells	n_genes	n_labels	n_batches	feature_mode
42	20	10	0.2	15	0.6671989990864938	0.8332243883179957	0.15294531091094826	0.22124899900339548	0.02612690068781376	0.315934362122789	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	10	0.5	21	0.570504340362542	0.8030072602598427	0.16201560505264412	0.25294643904181546	0.02612690068781376	0.3031744658946991	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	10	1.0	32	0.320122365077997	0.7011503100749372	0.10689250892059003	0.27166458774371693	0.02612690068781376	0.2993297160137445	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	10	1.5	34	0.30385193840470276	0.695335211954325	0.09837816654445415	0.26941102740139417	0.02612690068781376	0.29713458800688386	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	10	2.0	41	0.25617881618540267	0.6681869509122103	0.08004841963489533	0.26707943279564844	0.02612690068781376	0.2987967999652028	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	15	0.2	12	0.6473025275448762	0.8124048044072226	0.14565741314563196	0.20252913837677242	0.02612690068781376	0.37256403896026313	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	15	0.5	19	0.6422874317009759	0.8246552947048414	0.15720295144120713	0.2390808065493632	0.02612690068781376	0.3795064720325172	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	15	1.0	29	0.3931064472408117	0.7323419718219437	0.11146962261228972	0.2656706195020485	0.02612690068781376	0.37128655705600977	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	15	1.5	34	0.30638965112006705	0.6969289160075893	0.10097462443210144	0.271605403462346	0.02612690068781376	0.37521190010011196	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	15	2.0	36	0.2891731175256765	0.6885221252614149	0.09485059664391694	0.2709100073467328	0.02612690068781376	0.3827563738450408	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	30	0.2	10	0.7962476773227134	0.844631812400187	0.09185472390677582	0.13941662703608168	0.02612690068781376	0.6375724899116904	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	30	0.5	16	0.6452727463700213	0.8189608226688686	0.16360958513951862	0.24641761415085392	0.02612690068781376	0.6254006901290268	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	30	1.0	22	0.4681769689349636	0.7604468781778801	0.1323610452390086	0.2585221105741031	0.02612690068781376	0.6019189730286598	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	30	1.5	26	0.35850813957811284	0.7157666609685438	0.11047819733918345	0.27077093137085895	0.02612690068781376	0.5915069370530546	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	20	30	2.0	30	0.31207975743606214	0.694070786278907	0.09748200388073536	0.26838787388857926	0.02612690068781376	0.591222973074764	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	50	10	0.2	15	0.6821824851615363	0.8437771402803294	0.1559620948748894	0.22651178273915368	0.02983015775680542	0.3287704479880631	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	50	10	0.5	21	0.5658023427729783	0.8007885749582608	0.18171644916351867	0.2828899457033795	0.02983015775680542	0.32665626984089613	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	50	10	1.0	29	0.42300280807154356	0.7483953984101188	0.1688154916810591	0.31626430868977734	0.02983015775680542	0.3221963890828192	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	50	10	1.5	35	0.3629302220592092	0.7237895842025306	0.1480671784909678	0.32699182131366183	0.02983015775680542	0.3215789480600506	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	50	10	2.0	39	0.3162158753198075	0.7019859595886164	0.13436033386731613	0.3267399993298149	0.02983015775680542	0.3256397061049938	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	50	15	0.2	12	0.822987552875377	0.8741243694642461	0.1014264536251791	0.16801684554664667	0.02983015775680542	0.40061018895357847	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	50	15	0.5	20	0.5650888366095437	0.8019113800453957	0.18460481420544844	0.2826674263066014	0.02983015775680542	0.3948232571128756	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
