config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	calib_shrink	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	avg_rmse	avg_bz_rmse	score
143	0.0	0.7	0.8	0.0	0.6	0.3	True	1.5	1.0	0.95	0.6569471657276154	1.0259777307510376	1.3544513136148453
119	0.0	0.7	0.8	0.0	0.6	0.0	True	1.5	1.0	0.95	0.6569472700357437	1.0259777307510376	1.3544513657689095
117	0.0	0.7	0.8	0.0	0.6	0.0	True	1.5	0.5	0.95	0.6566480994224548	1.0262218564748764	1.3545459061861038
141	0.0	0.7	0.8	0.0	0.6	0.3	True	1.5	0.5	0.95	0.6566480249166489	1.02622190117836	1.3545459136366844
95	0.0	0.7	0.8	0.0	0.3	0.3	True	1.5	1.0	0.95	0.6570040136575699	1.0260946601629257	1.3545966669917107
71	0.0	0.7	0.8	0.0	0.3	0.0	True	1.5	1.0	0.95	0.6570044159889221	1.0260961800813675	1.3545983880758286
47	0.0	0.7	0.8	0.0	0.0	0.3	True	1.5	1.0	0.95	0.6570336520671844	1.0261558145284653	1.3546726405620575
23	0.0	0.7	0.8	0.0	0.0	0.0	True	1.5	1.0	0.95	0.6570344567298889	1.0261590480804443	1.3546762764453888
93	0.0	0.7	0.8	0.0	0.3	0.3	True	1.5	0.5	0.95	0.6567421704530716	1.0264536142349243	1.3548246994614601
69	0.0	0.7	0.8	0.0	0.3	0.0	True	1.5	0.5	0.95	0.6567423641681671	1.0264537334442139	1.3548249155282974
45	0.0	0.7	0.8	0.0	0.0	0.3	True	1.5	0.5	0.95	0.6567932814359665	1.0265794396400452	1.3549760803580284
21	0.0	0.7	0.8	0.0	0.0	0.0	True	1.5	0.5	0.95	0.6567936688661575	1.0265801548957825	1.3549769893288612
118	0.0	0.7	0.8	0.0	0.6	0.0	True	1.5	0.5	0.99	0.6586266160011292	1.0280409157276154	1.35735422372818
142	0.0	0.7	0.8	0.0	0.6	0.3	True	1.5	0.5	0.99	0.6586266160011292	1.0280409157276154	1.35735422372818
70	0.0	0.7	0.8	0.0	0.3	0.0	True	1.5	0.5	0.99	0.6586426049470901	1.0280693173408508	1.357390619814396
94	0.0	0.7	0.8	0.0	0.3	0.3	True	1.5	0.5	0.99	0.6586426049470901	1.0280693173408508	1.357390619814396
22	0.0	0.7	0.8	0.0	0.0	0.0	True	1.5	0.5	0.99	0.6586506366729736	1.0280826389789581	1.357407957315445
46	0.0	0.7	0.8	0.0	0.0	0.3	True	1.5	0.5	0.99	0.6586506366729736	1.0280826389789581	1.357407957315445
113	0.0	0.7	0.8	0.0	0.6	0.0	True	1.0	0.5	0.95	0.658841922879219	1.028038814663887	1.3574597761034966
137	0.0	0.7	0.8	0.0	0.6	0.3	True	1.0	0.5	0.95	0.658841922879219	1.028038814663887	1.3574597761034966
65	0.0	0.7	0.8	0.0	0.3	0.0	True	1.0	0.5	0.95	0.6588568538427353	1.028063490986824	1.3574919179081917
89	0.0	0.7	0.8	0.0	0.3	0.3	True	1.0	0.5	0.95	0.6588568538427353	1.028063490986824	1.3574919179081917
17	0.0	0.7	0.8	0.0	0.0	0.0	True	1.0	0.5	0.95	0.6588643193244934	1.0280758142471313	1.357507973909378
41	0.0	0.7	0.8	0.0	0.0	0.3	True	1.0	0.5	0.95	0.6588643193244934	1.0280758142471313	1.357507973909378
144	0.0	0.7	0.8	0.0	0.6	0.3	True	1.5	1.0	0.99	0.659399539232254	1.0282290577888489	1.357928827404976
120	0.0	0.7	0.8	0.0	0.6	0.0	True	1.5	1.0	0.99	0.6593995690345764	1.0282291024923325	1.3579288870096207
96	0.0	0.7	0.8	0.0	0.3	0.3	True	1.5	1.0	0.99	0.6594091951847076	1.028239831328392	1.3579444289207458
72	0.0	0.7	0.8	0.0	0.3	0.0	True	1.5	1.0	0.99	0.6594092100858688	1.0282398760318756	1.35794448107481
48	0.0	0.7	0.8	0.0	0.0	0.3	True	1.5	1.0	0.99	0.6594140082597733	1.0282450169324875	1.3579520210623741
24	0.0	0.7	0.8	0.0	0.0	0.0	True	1.5	1.0	0.99	0.6594140380620956	1.0282450467348099	1.3579520657658577
