config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	calib_shrink	calib_zero_weight	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	avg_rmse	avg_bz_rmse	score
67	0.0	0.7	0.8	0.3	5.0	0.0	0.0	False	1.0	1.0	0.95	0.9594975560903549	0.43680594861507416	0.9165547266602516
66	0.0	0.7	0.8	0.3	5.0	0.0	0.0	False	1.0	0.5	0.99	0.9854335337877274	0.4247977137565613	0.917514480650425
72	0.0	0.7	0.8	0.3	5.0	0.0	0.0	False	1.5	1.0	0.99	0.9539559036493301	0.44157619774341583	0.9185541495680809
68	0.0	0.7	0.8	0.3	5.0	0.0	0.0	False	1.0	1.0	0.99	0.9956867843866348	0.42094628512859344	0.9187896773219109
65	0.0	0.7	0.8	0.3	5.0	0.0	0.0	False	1.0	0.5	0.95	0.9468806236982346	0.4521655887365341	0.9256059005856514
70	0.0	0.7	0.8	0.3	5.0	0.0	0.0	False	1.5	0.5	0.99	0.9457994401454926	0.4552524611353874	0.9281521812081337
61	0.0	0.7	0.8	0.3	5.0	0.0	0.0	False	0.5	0.5	0.95	1.021729737520218	0.4198884665966034	0.9307533353567123
63	0.0	0.7	0.8	0.3	5.0	0.0	0.0	False	0.5	1.0	0.95	1.0381723940372467	0.41956033557653427	0.9386465325951576
71	0.0	0.7	0.8	0.3	5.0	0.0	0.0	False	1.5	1.0	0.95	0.9280735552310944	0.488783597946167	0.9528203755617142
62	0.0	0.7	0.8	0.3	5.0	0.0	0.0	False	0.5	0.5	0.99	1.0680572092533112	0.41917217522859573	0.9532007798552513
64	0.0	0.7	0.8	0.3	5.0	0.0	0.0	False	0.5	1.0	0.99	1.0783388912677765	0.41916675865650177	0.95833620429039
69	0.0	0.7	0.8	0.3	5.0	0.0	0.0	False	1.5	0.5	0.95	0.9231969863176346	0.5090174302458763	0.9706159234046936
28	0.0	0.7	0.8	0.0	5.0	0.0	0.0	False	0.5	1.0	0.99	0.7467186003923416	0.5988096743822098	0.9721689745783806
26	0.0	0.7	0.8	0.0	5.0	0.0	0.0	False	0.5	0.5	0.99	0.7473309338092804	0.5988174080848694	0.9724828749895096
27	0.0	0.7	0.8	0.0	5.0	0.0	0.0	False	0.5	1.0	0.95	0.749807745218277	0.5988413244485855	0.973745197057724
25	0.0	0.7	0.8	0.0	5.0	0.0	0.0	False	0.5	0.5	0.95	0.7510095983743668	0.5988919585943222	0.9743967577815056
32	0.0	0.7	0.8	0.0	5.0	0.0	0.0	False	1.0	1.0	0.99	0.7535036951303482	0.5987560302019119	0.975507877767086
30	0.0	0.7	0.8	0.0	5.0	0.0	0.0	False	1.0	0.5	0.99	0.7547163367271423	0.600015178322792	0.9773733466863632
31	0.0	0.7	0.8	0.0	5.0	0.0	0.0	False	1.0	1.0	0.95	0.7575152963399887	0.6015997976064682	0.9803574457764626
36	0.0	0.7	0.8	0.0	5.0	0.0	0.0	False	1.5	1.0	0.99	0.757871225476265	0.6026733368635178	0.9816089496016502
29	0.0	0.7	0.8	0.0	5.0	0.0	0.0	False	1.0	0.5	0.95	0.7585573941469193	0.6063145250082016	0.9855932220816612
34	0.0	0.7	0.8	0.0	5.0	0.0	0.0	False	1.5	0.5	0.99	0.7587042152881622	0.6079713851213455	0.9873234927654266
35	0.0	0.7	0.8	0.0	5.0	0.0	0.0	False	1.5	1.0	0.95	0.7590741664171219	0.6166214942932129	0.9961585775017738
55	0.0	0.7	0.8	0.3	2.0	0.0	0.0	False	1.0	1.0	0.95	0.9159439653158188	0.5479270368814468	1.0058990195393562
33	0.0	0.7	0.8	0.0	5.0	0.0	0.0	False	1.5	0.5	0.95	0.7592073827981949	0.6274418234825134	1.0070455148816109
60	0.0	0.7	0.8	0.3	2.0	0.0	0.0	False	1.5	1.0	0.99	0.910515233874321	0.551853135228157	1.0071107521653175
54	0.0	0.7	0.8	0.3	2.0	0.0	0.0	False	1.0	0.5	0.99	0.9422120153903961	0.537577785551548	1.008683793246746
56	0.0	0.7	0.8	0.3	2.0	0.0	0.0	False	1.0	1.0	0.99	0.9527562409639359	0.5343936681747437	1.0107717886567116
53	0.0	0.7	0.8	0.3	2.0	0.0	0.0	False	1.0	0.5	0.95	0.9037597924470901	0.5606611222028732	1.0125410184264183
58	0.0	0.7	0.8	0.3	2.0	0.0	0.0	False	1.5	0.5	0.99	0.9027282297611237	0.5632708594202995	1.0146349743008614
49	0.0	0.7	0.8	0.3	2.0	0.0	0.0	False	0.5	0.5	0.95	0.9798669964075089	0.5333380177617073	1.0232715159654617
51	0.0	0.7	0.8	0.3	2.0	0.0	0.0	False	0.5	1.0	0.95	0.9969810098409653	0.533060647547245	1.0315511524677277
59	0.0	0.7	0.8	0.3	2.0	0.0	0.0	False	1.5	1.0	0.95	0.8869340419769287	0.5924806147813797	1.035947635769844
50	0.0	0.7	0.8	0.3	2.0	0.0	0.0	False	0.5	0.5	0.99	1.0280337929725647	0.5327205285429955	1.0467374250292778
52	0.0	0.7	0.8	0.3	2.0	0.0	0.0	False	0.5	1.0	0.99	1.0387101471424103	0.5327133461833	1.0520684197545052
57	0.0	0.7	0.8	0.3	2.0	0.0	0.0	False	1.5	0.5	0.95	0.8827173262834549	0.6107153296470642	1.0520739927887917
16	0.0	0.7	0.8	0.0	2.0	0.0	0.0	False	0.5	1.0	0.99	0.7015993148088455	0.7610190361738205	1.1118186935782433
14	0.0	0.7	0.8	0.0	2.0	0.0	0.0	False	0.5	0.5	0.99	0.7022500485181808	0.7610293179750443	1.1121543422341347
15	0.0	0.7	0.8	0.0	2.0	0.0	0.0	False	0.5	1.0	0.95	0.7048797756433487	0.7610734552145004	1.1135133430361748
13	0.0	0.7	0.8	0.0	2.0	0.0	0.0	False	0.5	0.5	0.95	0.7061545699834824	0.7611251771450043	1.1142024621367455
