config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	p_bio_nz_scale	avg_rmse	avg_bz_rmse	score
61	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.95	0.0	1.9252441736094545	0.15140735238128544	1.1140294391860128
62	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.95	0.2	1.9252441736094545	0.15140735238128544	1.1140294391860128
63	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.95	0.5	1.9252441736094545	0.15140735238128544	1.1140294391860128
64	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.95	0.8	1.9252441736094545	0.15140735238128544	1.1140294391860128
65	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.95	1.0	1.9252441736094545	0.15140735238128544	1.1140294391860128
71	0.0	0.7	0.8	0.0	0.0	False	1.0	1.5	0.95	0.0	1.9908758444790895	0.11867608957809951	1.1141140118176442
72	0.0	0.7	0.8	0.0	0.0	False	1.0	1.5	0.95	0.2	1.9908758444790895	0.11867608957809951	1.1141140118176442
73	0.0	0.7	0.8	0.0	0.0	False	1.0	1.5	0.95	0.5	1.9908758444790895	0.11867608957809951	1.1141140118176442
74	0.0	0.7	0.8	0.0	0.0	False	1.0	1.5	0.95	0.8	1.9908758444790895	0.11867608957809951	1.1141140118176442
75	0.0	0.7	0.8	0.0	0.0	False	1.0	1.5	0.95	1.0	1.9908758444790895	0.11867608957809951	1.1141140118176442
116	0.0	0.7	0.8	0.0	0.0	False	1.5	1.5	0.99	0.0	1.9411416456677777	0.14354858349341693	1.1141194063273057
117	0.0	0.7	0.8	0.0	0.0	False	1.5	1.5	0.99	0.2	1.9411416456677777	0.14354858349341693	1.1141194063273057
118	0.0	0.7	0.8	0.0	0.0	False	1.5	1.5	0.99	0.5	1.9411416456677777	0.14354858349341693	1.1141194063273057
119	0.0	0.7	0.8	0.0	0.0	False	1.5	1.5	0.99	0.8	1.9411416456677777	0.14354858349341693	1.1141194063273057
120	0.0	0.7	0.8	0.0	0.0	False	1.5	1.5	0.99	1.0	1.9411416456677777	0.14354858349341693	1.1141194063273057
46	0.0	0.7	0.8	0.0	0.0	False	1.0	0.0	0.99	0.0	2.0096662740651374	0.11012542885671221	1.1149585658892809
47	0.0	0.7	0.8	0.0	0.0	False	1.0	0.0	0.99	0.2	2.0096662740651374	0.11012542885671221	1.1149585658892809
48	0.0	0.7	0.8	0.0	0.0	False	1.0	0.0	0.99	0.5	2.0096662740651374	0.11012542885671221	1.1149585658892809
49	0.0	0.7	0.8	0.0	0.0	False	1.0	0.0	0.99	0.8	2.0096662740651374	0.11012542885671221	1.1149585658892809
50	0.0	0.7	0.8	0.0	0.0	False	1.0	0.0	0.99	1.0	2.0096662740651374	0.11012542885671221	1.1149585658892809
106	0.0	0.7	0.8	0.0	0.0	False	1.5	1.0	0.99	0.0	1.8962329352582008	0.16749637917736285	1.1156128468064632
107	0.0	0.7	0.8	0.0	0.0	False	1.5	1.0	0.99	0.2	1.8962329352582008	0.16749637917736285	1.1156128468064632
108	0.0	0.7	0.8	0.0	0.0	False	1.5	1.0	0.99	0.5	1.8962329352582008	0.16749637917736285	1.1156128468064632
109	0.0	0.7	0.8	0.0	0.0	False	1.5	1.0	0.99	0.8	1.8962329352582008	0.16749637917736285	1.1156128468064632
110	0.0	0.7	0.8	0.0	0.0	False	1.5	1.0	0.99	1.0	1.8962329352582008	0.16749637917736285	1.1156128468064632
66	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.0	2.1248047028738917	0.05427480676071227	1.116677158197658
67	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.2	2.1248047028738917	0.05427480676071227	1.116677158197658
68	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.5	2.1248047028738917	0.05427480676071227	1.116677158197658
69	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.8	2.1248047028738917	0.05427480676071227	1.116677158197658
70	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	1.0	2.1248047028738917	0.05427480676071227	1.116677158197658
56	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.99	0.0	2.0680511223832547	0.08658528347344426	1.1206108446650715
57	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.99	0.2	2.0680511223832547	0.08658528347344426	1.1206108446650715
58	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.99	0.5	2.0680511223832547	0.08658528347344426	1.1206108446650715
59	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.99	0.8	2.0680511223832547	0.08658528347344426	1.1206108446650715
60	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.99	1.0	2.0680511223832547	0.08658528347344426	1.1206108446650715
1	0.0	0.7	0.8	0.0	0.0	False	0.5	0.0	0.95	0.0	2.1591096239058705	0.04488918729179775	1.124443999244733
2	0.0	0.7	0.8	0.0	0.0	False	0.5	0.0	0.95	0.2	2.1591096239058705	0.04488918729179775	1.124443999244733
