config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	p_bio_nz_scale	post_log_quantile	avg_rmse	avg_bz_rmse	score
16	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.0	0.0	2.1248047028738917	0.05427480676071227	1.116677158197658
21	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.5	0.0	2.1248047028738917	0.05427480676071227	1.116677158197658
26	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	1.0	0.0	2.1248047028738917	0.05427480676071227	1.116677158197658
1	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	0.0	0.0	2.5525474965575623	0.0	1.2762737482787812
6	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	0.5	0.0	2.5525474965575623	0.0	1.2762737482787812
11	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	1.0	0.0	2.5525474965575623	0.0	1.2762737482787812
17	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.0	1.0	3.9473255058148338	0.05427480676071227	2.0279375596681293
22	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.5	1.0	3.9473255058148338	0.05427480676071227	2.0279375596681293
27	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	1.0	1.0	3.9473255058148338	0.05427480676071227	2.0279375596681293
18	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.0	5.0	4.037149704924419	0.05427480676071227	2.0728496592229217
23	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.5	5.0	4.037149704924419	0.05427480676071227	2.0728496592229217
28	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	1.0	5.0	4.037149704924419	0.05427480676071227	2.0728496592229217
19	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.0	10.0	4.085996780105469	0.05427480676071227	2.097273196813447
24	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.5	10.0	4.085996780105469	0.05427480676071227	2.097273196813447
29	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	1.0	10.0	4.085996780105469	0.05427480676071227	2.097273196813447
2	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	0.0	1.0	4.19626918294666	0.0	2.09813459147333
7	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	0.5	1.0	4.19626918294666	0.0	2.09813459147333
12	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	1.0	1.0	4.19626918294666	0.0	2.09813459147333
20	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.0	20.0	4.170052898559078	0.03816649580098672	2.123192945080526
25	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.5	20.0	4.170052898559078	0.03816649580098672	2.123192945080526
30	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	1.0	20.0	4.170052898559078	0.03816649580098672	2.123192945080526
3	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	0.0	5.0	4.27375693694459	0.0	2.136878468472295
8	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	0.5	5.0	4.27375693694459	0.0	2.136878468472295
13	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	1.0	5.0	4.27375693694459	0.0	2.136878468472295
4	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	0.0	10.0	4.306325320555999	0.0	2.1531626602779994
9	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	0.5	10.0	4.306325320555999	0.0	2.1531626602779994
14	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	1.0	10.0	4.306325320555999	0.0	2.1531626602779994
5	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	0.0	20.0	4.345417411293909	0.0	2.1727087056469543
10	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	0.5	20.0	4.345417411293909	0.0	2.1727087056469543
15	0.0	0.7	0.8	0.0	0.0	False	0.5	1.0	0.99	1.0	20.0	4.345417411293909	0.0	2.1727087056469543
