config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	p_bio_nz_scale	post_log_quantile	proxy_calib_shrink	proxy_bio_weight	proxy_impute_alpha	proxy_mean_mode	proxy_calib_min_points	avg_rmse	avg_bz_rmse	score
9	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	0.5	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
11	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	1.0	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
21	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.97	0.0	0.0	0.3	0.5	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
23	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.97	0.0	0.0	0.3	1.0	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
33	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.99	0.0	0.0	0.3	0.5	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
35	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.99	0.0	0.0	0.3	1.0	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
45	0.5	1.0	1.0	0.0	0.0	False	1.0	0.5	0.9	0.0	0.0	0.3	0.5	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
47	0.5	1.0	1.0	0.0	0.0	False	1.0	0.5	0.9	0.0	0.0	0.3	1.0	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
57	0.5	1.0	1.0	0.0	0.0	False	1.0	0.5	0.97	0.0	0.0	0.3	0.5	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
59	0.5	1.0	1.0	0.0	0.0	False	1.0	0.5	0.97	0.0	0.0	0.3	1.0	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
69	0.5	1.0	1.0	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.3	0.5	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
71	0.5	1.0	1.0	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.3	1.0	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
81	0.5	1.0	1.0	0.0	0.0	False	1.5	0.0	0.9	0.0	0.0	0.3	0.5	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
83	0.5	1.0	1.0	0.0	0.0	False	1.5	0.0	0.9	0.0	0.0	0.3	1.0	1.0	all	20	0.6728965044021606	1.4699029326438904	1.8063511848449707
