config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	thr_drop	post_p_bio_temp	post_p_bio_bias	p_bio_mix	gene_scale_q	avg_rmse	avg_bz_rmse	score
24	1.0	0.7	0.8	0.0	0.97	1.0	0.5	0.5	99.0	0.38077558390592386	0.01995877260451373	0.21034656455747566
56	1.0	0.7	1.2	0.0	0.97	1.0	0.5	0.5	99.0	0.36422360738894477	0.028550209163888635	0.21066201285836103
120	1.0	1.0	1.2	0.0	0.97	1.0	0.5	0.5	99.0	0.3775768313992054	0.022875896413859564	0.21166431211346226
88	1.0	1.0	0.8	0.0	0.97	1.0	0.5	0.5	99.0	0.39389103390412894	0.015855312835748987	0.21280082978781345
20	1.0	0.7	0.8	0.0	0.97	1.0	0.0	0.5	99.0	0.37653318242173506	0.024705543791571156	0.2129721350024387
8	1.0	0.7	0.8	0.0	0.95	1.0	0.5	0.5	99.0	0.3758287810108095	0.025234796618739175	0.21314918712414394
52	1.0	0.7	1.2	0.0	0.97	1.0	0.0	0.5	99.0	0.35901313819654546	0.03532055641593405	0.21482712551420677
84	1.0	1.0	0.8	0.0	0.97	1.0	0.0	0.5	99.0	0.39016237299854495	0.019832107827035927	0.2149132943263084
116	1.0	1.0	1.2	0.0	0.97	1.0	0.0	0.5	99.0	0.372778357435001	0.028588545508302074	0.21497772422580258
72	1.0	1.0	0.8	0.0	0.95	1.0	0.5	0.5	99.0	0.38963082327494486	0.020277648664166516	0.21509306030163894
40	1.0	0.7	1.2	0.0	0.95	1.0	0.5	0.5	99.0	0.3582101268212031	0.0360657255890311	0.21517078899963266
104	1.0	1.0	1.2	0.0	0.95	1.0	0.5	0.5	99.0	0.3721219432044606	0.029226308006735813	0.21528727960896613
4	1.0	0.7	0.8	0.0	0.95	1.0	0.0	0.5	99.0	0.3708996982823437	0.03196021194782964	0.2174100610890015
68	1.0	1.0	0.8	0.0	0.95	1.0	0.0	0.5	99.0	0.385277883537568	0.02594113676651283	0.21858007853529682
100	1.0	1.0	1.2	0.0	0.95	1.0	0.0	0.5	99.0	0.36654785830248926	0.03737405001817699	0.2206479791694216
36	1.0	0.7	1.2	0.0	0.95	1.0	0.0	0.5	99.0	0.35219134320574436	0.04559326331926667	0.22168893492213884
22	1.0	0.7	0.8	0.0	0.97	1.0	0.5	0.0	99.0	0.36132162736843876	0.044792665408549204	0.22545347909276858
86	1.0	1.0	0.8	0.0	0.97	1.0	0.5	0.0	99.0	0.3769970043698755	0.03712802555822747	0.22562652774316522
118	1.0	1.0	1.2	0.0	0.97	1.0	0.5	0.0	99.0	0.3561296637400686	0.05258671224600025	0.23065154411603456
54	1.0	0.7	1.2	0.0	0.97	1.0	0.5	0.0	99.0	0.3407410219779953	0.0623721211094886	0.23274263209848622
96	1.0	1.0	0.8	0.0	0.97	2.0	0.5	0.5	99.0	0.37483726704255016	0.04572983796043052	0.2331484714817056
32	1.0	0.7	0.8	0.0	0.97	2.0	0.5	0.5	99.0	0.3587260169713249	0.05471379388618881	0.23407680237185124
82	1.0	1.0	0.8	0.0	0.97	1.0	0.0	0.0	99.0	0.37055683528717037	0.05138198372163583	0.236660401365221
18	1.0	0.7	0.8	0.0	0.97	1.0	0.0	0.0	99.0	0.35418649047948186	0.06023697127452428	0.23733021651426522
70	1.0	1.0	0.8	0.0	0.95	1.0	0.5	0.0	99.0	0.3699489748842399	0.05255459722695955	0.2375290846690795
92	1.0	1.0	0.8	0.0	0.97	2.0	0.0	0.5	99.0	0.372164558344716	0.051990659186890865	0.23807293835924886
