config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	thr_drop	post_p_bio_temp	post_p_bio_bias	p_bio_mix	gene_scale_q	gene_scale_mult	norm_mode	avg_rmse	avg_bz_rmse	score
20	1.0	1.0	0.8	0.0	0.99	2.5	0.5	0.8	99.9	3.0	imputed	0.5470223813926547	0.04450168728308551	0.31801287797941286
75	1.0	1.0	0.8	0.0	0.99	2.5	1.0	0.5	99.99	3.0	imputed	0.5425881218504601	0.051179613988156396	0.32247367491338647
3	1.0	1.0	1.2	0.0	0.99	2.5	1.0	0.8	99.99	3.0	imputed	0.5411365117380827	0.052323704801957624	0.322891960670999
48	1.0	1.0	0.8	0.0	0.97	2.5	1.0	0.8	99.99	3.0	imputed	0.5421109244832969	0.05354000726306958	0.324595469504718
63	1.0	0.7	0.8	0.0	0.99	2.5	0.5	0.8	99.9	3.0	imputed	0.5429866344012814	0.053424894023773574	0.3249182112244143
125	1.0	1.0	0.8	0.0	0.99	2.5	0.5	0.5	99.9	3.0	imputed	0.5420692691396606	0.05966679946264998	0.33070143403248026
22	1.0	1.0	1.2	0.0	0.99	2.5	0.5	0.8	99.99	3.0	imputed	0.5391599255307028	0.061277702052539185	0.3308576648178906
40	1.0	1.0	0.8	0.0	0.99	3.5	1.0	0.8	99.99	3.0	imputed	0.5395811222086432	0.06180178002572061	0.3315923411300422
55	1.0	1.0	0.8	0.0	0.97	2.5	0.5	0.8	99.99	3.0	imputed	0.5394743209133182	0.06233934446800358	0.3320765049246627
49	1.0	1.0	1.2	0.0	0.99	2.5	0.5	0.8	99.9	3.0	imputed	0.541378788709069	0.06152375565003947	0.33221315000457396
96	1.0	1.0	0.8	0.0	0.97	2.5	0.5	0.8	99.9	3.0	imputed	0.5416929603926216	0.0626074135653924	0.3334538937617032
15	1.0	1.0	0.8	0.0	0.99	3.5	0.5	0.8	99.99	3.0	imputed	0.5374898829667218	0.06887199598000071	0.33761693746336163
