config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	thr_drop	post_p_bio_temp	post_p_bio_bias	p_bio_mix	avg_rmse	avg_bz_rmse	score
12	1.0	0.7	0.8	0.0	0.99	2.0	0.5	0.5	1.1290727748241294	0.3319587316357695	0.8964951190478342
28	1.0	0.7	1.2	0.0	0.99	2.0	0.5	0.5	1.0393435500792851	0.39872218299234563	0.9183939580319882
44	1.0	1.0	0.8	0.0	0.99	2.0	0.5	0.5	1.244640776455291	0.29615674030577666	0.9184771285334221
10	1.0	0.7	0.8	0.0	0.99	2.0	0.0	0.5	1.098932700467259	0.3704587473229663	0.9199250975565958
60	1.0	1.0	1.2	0.0	0.99	2.0	0.5	0.5	1.1195664699346897	0.3609226665767872	0.920705901544132
42	1.0	1.0	0.8	0.0	0.99	2.0	0.0	0.5	1.2181324460096434	0.3315771627838903	0.940643385788712
26	1.0	0.7	1.2	0.0	0.99	2.0	0.0	0.5	1.0056351026989934	0.4447962754087762	0.9476138267582729
58	1.0	1.0	1.2	0.0	0.99	2.0	0.0	0.5	1.0883483466036337	0.4042271968908346	0.9484013701926515
4	1.0	0.7	0.8	0.0	0.95	2.0	0.5	0.5	1.0320433575875085	0.4588252818867408	0.974846960680495
16	1.0	0.7	0.8	0.0	0.99	3.0	0.5	0.5	1.0300942370148316	0.46194902275369876	0.9769961412611146
36	1.0	1.0	0.8	0.0	0.95	2.0	0.5	0.5	1.1597328015283688	0.4136744615209196	0.993540862285104
14	1.0	0.7	0.8	0.0	0.99	3.0	0.0	0.5	1.0123580441099085	0.48869229573168693	0.9948713177866412
48	1.0	1.0	0.8	0.0	0.99	3.0	0.5	0.5	1.1578776379435833	0.4164957858820787	0.9954346048538704
2	1.0	0.7	0.8	0.0	0.95	2.0	0.0	0.5	1.0050762519446867	0.4978840971762709	1.0004222231486142
52	1.0	1.0	1.2	0.0	0.95	2.0	0.5	0.5	1.0185200537484733	0.5032359607385134	1.0124959876127502
20	1.0	0.7	1.2	0.0	0.95	2.0	0.5	0.5	0.9295879612887213	0.5481229033006902	1.0129168839450509
46	1.0	1.0	0.8	0.0	0.99	3.0	0.0	0.5	1.1424435110168845	0.44191077280817787	1.0131325283166202
64	1.0	1.0	1.2	0.0	0.99	3.0	0.5	0.5	1.0166106558504253	0.5065539796129823	1.0148593075381949
32	1.0	0.7	1.2	0.0	0.99	3.0	0.5	0.5	0.9278216844172128	0.5516918520632296	1.015602694271836
34	1.0	1.0	0.8	0.0	0.95	2.0	0.0	0.5	1.136298560863655	0.45084067809047257	1.0189899585223001
62	1.0	1.0	1.2	0.0	0.99	3.0	0.0	0.5	0.9979740532064211	0.5361222012069313	1.035109227810142
30	1.0	0.7	1.2	0.0	0.99	3.0	0.0	0.5	0.9074321075156834	0.5815955869986028	1.0353116407564444
8	1.0	0.7	0.8	0.0	0.95	3.0	0.5	0.5	0.975199558007682	0.5479235087356898	1.0355232877395308
18	1.0	0.7	1.2	0.0	0.95	2.0	0.0	0.5	0.8985227979688516	0.5918786361494743	1.0411400351339002
50	1.0	1.0	1.2	0.0	0.95	2.0	0.0	0.5	0.9901924817665373	0.5464785917227186	1.0415748326059873
6	1.0	0.7	0.8	0.0	0.95	3.0	0.0	0.5	0.9611557498613796	0.5724142755377348	1.0529921504684245
40	1.0	1.0	0.8	0.0	0.95	3.0	0.5	0.5	1.1103195351506128	0.49948393898085147	1.0546437065561578
11	1.0	0.7	0.8	0.0	0.99	2.0	0.5	0.0	0.9456858598048887	0.5933747706248643	1.0662177005273086
38	1.0	1.0	0.8	0.0	0.95	3.0	0.0	0.5	1.0981607216328455	0.5237002609811	1.0727806217975226
24	1.0	0.7	1.2	0.0	0.95	3.0	0.5	0.5	0.8643882071406995	0.6457140899807114	1.0779081935510613
56	1.0	1.0	1.2	0.0	0.95	3.0	0.5	0.5	0.9590031947076869	0.6003718055465159	1.0798734029003594
43	1.0	1.0	0.8	0.0	0.99	2.0	0.5	0.0	1.0818565803988327	0.5488255969143817	1.089753887113798
9	1.0	0.7	0.8	0.0	0.99	2.0	0.0	0.0	0.9307523709794046	0.6260115992708899	1.0913877847605922
22	1.0	0.7	1.2	0.0	0.95	3.0	0.0	0.5	0.8481416165855784	0.6713258199285617	1.095396628221351
27	1.0	0.7	1.2	0.0	0.99	2.0	0.5	0.0	0.8384406398527836	0.6775590726548454	1.0967793925812372
54	1.0	1.0	1.2	0.0	0.95	3.0	0.0	0.5	0.9443242443321584	0.626314997851726	1.0984771200178052
59	1.0	1.0	1.2	0.0	0.99	2.0	0.5	0.0	0.9324064677433817	0.6364264733400471	1.102629707211738
41	1.0	1.0	0.8	0.0	0.99	2.0	0.0	0.0	1.0688311190909792	0.5818844363659276	1.116299995911417
