config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	avg_rmse	avg_bz_rmse	score
1	0.0	0.5	0.6	0.7693080008029938	0.03729968285188079	0.4219536832533777
21	0.0	1.6	0.6	0.7855387032032013	0.029321049340069294	0.42209040094166994
6	0.0	0.7	0.6	0.7733660340309143	0.03559034178033471	0.42227335879579186
16	0.0	1.3	0.6	0.7823579609394073	0.03119206242263317	0.42237104289233685
11	0.0	1.0	0.6	0.7783809006214142	0.0332691534422338	0.4224596037529409
22	0.0	1.6	0.8	0.779613271355629	0.03888983838260174	0.4286964740604162
2	0.0	0.5	0.8	0.7590386271476746	0.04940384905785322	0.4289231626316905
17	0.0	1.3	0.8	0.7755064517259598	0.041347770020365715	0.4291009958833456
7	0.0	0.7	0.8	0.7640737593173981	0.047149778343737125	0.42918665800243616
12	0.0	1.0	0.8	0.7704121619462967	0.044084533117711544	0.4292906140908599
23	0.0	1.6	1.0	0.7739108353853226	0.04822937538847327	0.43518479308113456
18	0.0	1.3	1.0	0.7689476609230042	0.0512661337852478	0.4357399642467499
3	0.0	0.5	1.0	0.7495684176683426	0.061213789507746696	0.435997998341918
13	0.0	1.0	1.0	0.7628477513790131	0.05464501492679119	0.4360688906162977
8	0.0	0.7	1.0	0.7553751617670059	0.05842667352408171	0.43611425440758467
5	0.0	0.5	1.4	0.7377589195966721	0.06917196046561003	0.43805142026394606
4	0.0	0.5	1.2	0.741914302110672	0.06821870151907206	0.43917585257440805
10	0.0	0.7	1.4	0.7427418082952499	0.06860949005931616	0.43998039420694113
9	0.0	0.7	1.2	0.7478177100419998	0.06655877735465765	0.44046763237565756
24	0.0	1.6	1.2	0.7685004025697708	0.05687790270894766	0.44112810399383307
14	0.0	1.0	1.2	0.7559406012296677	0.06341599021106958	0.4413862908259034
19	0.0	1.3	1.2	0.7628115713596344	0.06010777689516544	0.44151356257498264
15	0.0	1.0	1.4	0.7505735158920288	0.06698643323034048	0.4422731911763549
20	0.0	1.3	1.4	0.7576987147331238	0.0647690026089549	0.4436183599755168
25	0.0	1.6	1.4	0.7638018578290939	0.062221688218414783	0.44412261713296175
46	0.25	1.6	0.6	0.7748182266950607	0.06662254873663187	0.45403166208416224
41	0.25	1.3	0.6	0.7707852572202682	0.06920026894658804	0.45459289755672216
36	0.25	1.0	0.6	0.7658511102199554	0.07204892579466105	0.45497448090463877
26	0.25	0.5	0.6	0.754951074719429	0.07751800771802664	0.45499354507774115
31	0.25	0.7	0.6	0.759771078824997	0.07521615736186504	0.4551016967743635
47	0.25	1.6	0.8	0.7668917030096054	0.08035184536129236	0.46379769686609507
42	0.25	1.3	0.8	0.7618208527565002	0.08367874752730131	0.46458917390555143
37	0.25	1.0	0.8	0.7556727826595306	0.08735841885209084	0.46519481018185616
32	0.25	0.7	0.8	0.7482123225927353	0.09142084140330553	0.4655270026996732
27	0.25	0.5	0.8	0.7424274235963821	0.09433553274720907	0.46554924454540014
71	0.5	1.6	0.6	0.7670574635267258	0.08697806764394045	0.47050679940730333
66	0.5	1.3	0.6	0.7623678743839264	0.09031424578279257	0.47149818297475576
48	0.25	1.6	1.0	0.7597375363111496	0.09229529555886984	0.47216406371444464
61	0.5	1.0	0.6	0.7567134648561478	0.09388450067490339	0.4722412331029773
56	0.5	0.7	0.6	0.7498666048049927	0.09779856540262699	0.47273186780512333
51	0.5	0.5	0.6	0.7445279508829117	0.10059135779738426	0.4728553332388401
43	0.25	1.3	1.0	0.7537746131420135	0.09621801320463419	0.47310531977564096
38	0.25	1.0	1.0	0.7466323673725128	0.100461988709867	0.4737781723961234
33	0.25	0.7	1.0	0.7381387501955032	0.1051164548844099	0.4741858299821615
28	0.25	0.5	1.0	0.7317373305559158	0.10849891044199467	0.4743675757199526
30	0.25	0.5	1.4	0.7193337082862854	0.11804171651601791	0.4777085706591606
29	0.25	0.5	1.2	0.7235040068626404	0.11699017137289047	0.47874217480421066
49	0.25	1.6	1.2	0.7532676756381989	0.10231730341911316	0.4789511412382126
35	0.25	0.7	1.4	0.7243587672710419	0.11747337877750397	0.4796527624130249
34	0.25	0.7	1.2	0.7297504097223282	0.1149207316339016	0.4797959364950657
44	0.25	1.3	1.2	0.7465827614068985	0.10652356036007404	0.4798149410635233
39	0.25	1.0	1.2	0.7387208789587021	0.11087462119758129	0.48023506067693233
72	0.5	1.6	0.8	0.7581543326377869	0.10145944356918335	0.4805366098880768
96	0.75	1.6	0.6	0.7607029527425766	0.10097180679440498	0.4813232831656933
67	0.5	1.3	0.8	0.7524310797452927	0.10530280880630016	0.4815183486789465
40	0.25	1.0	1.4	0.7326713055372238	0.11557689122855663	0.48191254399716854
62	0.5	1.0	0.8	0.7456110119819641	0.10951469466090202	0.4823202006518841
91	0.75	1.3	0.6	0.7555191963911057	0.10460209473967552	0.48236169293522835
57	0.5	0.7	0.8	0.7375093847513199	0.11419395916163921	0.48294865153729916
45	0.25	1.3	1.4	0.7405956983566284	0.11273887380957603	0.48303672298789024
50	0.25	1.6	1.4	0.7476198673248291	0.10938692279160023	0.4831968564540148
86	0.75	1.0	0.6	0.7493393421173096	0.10857586190104485	0.48324553295969963
52	0.5	0.5	0.8	0.731365442276001	0.11760043725371361	0.4832831583917141
81	0.75	0.7	0.6	0.7419594675302505	0.11299795471131802	0.4839776884764433
76	0.75	0.5	0.6	0.736288920044899	0.11620588414371014	0.48435034416615963
73	0.5	1.6	1.0	0.7504564225673676	0.11313968151807785	0.4883678928017616
121	1.0	1.6	0.6	0.7553547024726868	0.11164671927690506	0.48932407051324844
68	0.5	1.3	1.0	0.743922233581543	0.11755988001823425	0.48952099680900574
63	0.5	1.0	1.0	0.7362555116415024	0.12236918322741985	0.49049693904817104
116	1.0	1.3	0.6	0.7497781366109848	0.11569987796247005	0.49058894626796246
97	0.75	1.6	0.8	0.7512887716293335	0.1155273150652647	0.49117170087993145
58	0.5	0.7	1.0	0.7273839712142944	0.12771151959896088	0.4914035052061081
111	1.0	1.0	0.6	0.7432018369436264	0.12009668163955212	0.4916976001113653
53	0.5	0.5	1.0	0.7209104895591736	0.131659634411335	0.4921148791909218
92	0.75	1.3	0.8	0.7451169490814209	0.11987801268696785	0.4924364872276783
106	1.0	0.7	0.6	0.7354615777730942	0.12492031045258045	0.49265109933912754
101	1.0	0.5	0.6	0.7296030521392822	0.12847181223332882	0.49327333830296993
87	0.75	1.0	0.8	0.7378773838281631	0.12462583929300308	0.49356453120708466
82	0.75	0.7	0.8	0.7294517308473587	0.1299775093793869	0.49470337480306625
74	0.5	1.6	1.2	0.7437467575073242	0.12307631969451904	0.49494969844818115
77	0.75	0.5	0.8	0.7232160419225693	0.1338869296014309	0.49549495056271553
69	0.5	1.3	1.2	0.7366066724061966	0.12812551483511925	0.49642885103821754
55	0.5	0.5	1.4	0.7095524668693542	0.14293486438691616	0.4977110978215933
64	0.5	1.0	1.2	0.7284022718667984	0.13358688540756702	0.4977880213409662
54	0.5	0.5	1.2	0.7133168280124664	0.1415341403335333	0.4981925543397665
59	0.5	0.7	1.2	0.719356581568718	0.1387719325721264	0.49845022335648537
60	0.5	0.7	1.4	0.7142807245254517	0.14221265725791454	0.4993530195206404
98	0.75	1.6	1.0	0.7433725148439407	0.12778249382972717	0.49946875125169754
122	1.0	1.6	0.8	0.7456355392932892	0.12690062448382378	0.49971839413046837
75	0.5	1.6	1.4	0.7379435300827026	0.13148855976760387	0.5004603248089552
65	0.5	1.0	1.4	0.7224604338407516	0.13961942307651043	0.5008496399968863
70	0.5	1.3	1.4	0.7305597513914108	0.13585722260177135	0.5011370982974768
93	0.75	1.3	1.0	0.7365216314792633	0.13288322277367115	0.5011440385133028
117	1.0	1.3	0.8	0.7391777634620667	0.13182081282138824	0.5014096945524216
88	0.75	1.0	1.0	0.7286626398563385	0.13855206221342087	0.5028833821415901
112	1.0	1.0	0.8	0.7317279577255249	0.13727403618395329	0.5031380150467157
83	0.75	0.7	1.0	0.7198751270771027	0.14486443251371384	0.5048019960522652
107	1.0	0.7	0.8	0.7232800275087357	0.14331883750855923	0.504958851262927
102	1.0	0.5	0.8	0.7172108292579651	0.14773979038000107	0.5063452050089836
78	0.75	0.5	1.0	0.7137310057878494	0.1494884006679058	0.5063539035618305
99	0.75	1.6	1.2	0.7367508709430695	0.13877782225608826	0.507153257727623
123	1.0	1.6	1.0	0.7378077954053879	0.1401680950075388	0.5090719927102327
94	0.75	1.3	1.2	0.7295314371585846	0.1446532141417265	0.5094189327210188
118	1.0	1.3	1.0	0.7308906316757202	0.1460191234946251	0.5114644393324852
89	0.75	1.0	1.2	0.7214981764554977	0.15114819817245007	0.5118972864001989
84	0.75	0.7	1.2	0.7130266577005386	0.1574776340276003	0.5139909628778696
113	1.0	1.0	1.0	0.7231644541025162	0.15253180265426636	0.5141140297055244
100	0.75	1.6	1.4	0.7313052415847778	0.1484619900584221	0.514114610850811
79	0.75	0.5	1.2	0.707688495516777	0.160854984074831	0.5146992318332195
80	0.75	0.5	1.4	0.7047368586063385	0.16263357736170292	0.5150020066648722
95	0.75	1.3	1.4	0.7240397930145264	0.15380412712693214	0.5158240236341953
85	0.75	0.7	1.4	0.7088457494974136	0.16173799894750118	0.516160873696208
90	0.75	1.0	1.4	0.7163146883249283	0.15842480398714542	0.5165821481496096
108	1.0	0.7	1.0	0.7148830145597458	0.15970760583877563	0.5171491131186485
124	1.0	1.6	1.2	0.7316340059041977	0.15237114392220974	0.5181881468743086
103	1.0	0.5	1.0	0.7094376385211945	0.16496427357196808	0.5196830928325653
119	1.0	1.3	1.2	0.7246523052453995	0.1590467430651188	0.5213728956878185
114	1.0	1.0	1.2	0.7172111421823502	0.16635361686348915	0.5249591879546642
125	1.0	1.6	1.4	0.726918175816536	0.1630726158618927	0.5265317037701607
109	1.0	0.7	1.2	0.7098934054374695	0.17358702793717384	0.5285337306559086
120	1.0	1.3	1.4	0.7201918810606003	0.16924822703003883	0.529344167560339
104	1.0	0.5	1.2	0.7057063579559326	0.17745515704154968	0.530308336019516
115	1.0	1.0	1.4	0.7133432626724243	0.17458497360348701	0.5312566049396992
105	1.0	0.5	1.4	0.7039568275213242	0.17957015708088875	0.5315485708415508
110	1.0	0.7	1.4	0.707132488489151	0.17848001420497894	0.5320462584495544
