config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	thr_drop	post_p_bio_temp	post_p_bio_bias	avg_rmse	avg_bz_rmse	score
6	0.0	0.7	0.8	0.0	0.95	1.0	0.5	0.7697848379611969	0.026013469323515892	0.41090588830411434
22	0.0	1.0	0.8	0.0	0.95	1.0	0.5	0.7757952809333801	0.02330072899349034	0.4111983694601804
14	0.0	0.7	1.2	0.0	0.95	1.0	0.5	0.7555494606494904	0.03862335253506899	0.41639808285981417
30	0.0	1.0	1.2	0.0	0.95	1.0	0.5	0.7634157836437225	0.03481635032221675	0.416524242144078
5	0.0	0.7	0.8	0.0	0.95	1.0	0.0	0.7675817161798477	0.033454007003456354	0.4172448650933802
21	0.0	1.0	0.8	0.0	0.95	1.0	0.0	0.7736667692661285	0.030514246318489313	0.4173476309515536
2	0.0	0.7	0.8	0.0	0.9	1.0	0.5	0.7661053985357285	0.03731929883360863	0.42037199810147285
18	0.0	1.0	0.8	0.0	0.9	1.0	0.5	0.7723404765129089	0.03430284978821874	0.4204730880446732
13	0.0	0.7	1.2	0.0	0.95	1.0	0.0	0.7524872869253159	0.048747796565294266	0.4249914400279522
29	0.0	1.0	1.2	0.0	0.95	1.0	0.0	0.7603876292705536	0.045045364648103714	0.4252391792833805
8	0.0	0.7	0.8	0.0	0.95	1.5	0.5	0.7638131827116013	0.04516450967639685	0.4270711010321975
24	0.0	1.0	0.8	0.0	0.95	1.5	0.5	0.7701798975467682	0.0420930702239275	0.4271830189973116
1	0.0	0.7	0.8	0.0	0.9	1.0	0.0	0.7635808885097504	0.04717559227719903	0.4289660365320742
17	0.0	1.0	0.8	0.0	0.9	1.0	0.0	0.7698529064655304	0.04410295933485031	0.4290294125676155
10	0.0	0.7	1.2	0.0	0.9	1.0	0.5	0.7504902631044388	0.05385627318173647	0.42910140473395586
26	0.0	1.0	1.2	0.0	0.9	1.0	0.5	0.7585484236478806	0.05022748513147235	0.4295016969554126
7	0.0	0.7	0.8	0.0	0.95	1.5	0.0	0.76185242831707	0.05141467181965709	0.4323408859781921
23	0.0	1.0	0.8	0.0	0.95	1.5	0.0	0.7683046758174896	0.04832147993147373	0.43247381784021854
4	0.0	0.7	0.8	0.0	0.9	1.5	0.5	0.7610620707273483	0.05422861035913229	0.43475964572280645
20	0.0	1.0	0.8	0.0	0.9	1.5	0.5	0.7675333470106125	0.05112823797389865	0.4348949114792049
54	1.0	1.0	0.8	0.0	0.95	1.0	0.5	0.7561209946870804	0.057764255441725254	0.43582475278526545
16	0.0	0.7	1.2	0.0	0.95	1.5	0.5	0.7474151998758316	0.06407594121992588	0.4377835411578417
32	0.0	1.0	1.2	0.0	0.95	1.5	0.5	0.7555800378322601	0.060766613110899925	0.43855663202703
3	0.0	0.7	0.8	0.0	0.9	1.5	0.0	0.7595702856779099	0.05943902302533388	0.4392241658642888
19	0.0	1.0	0.8	0.0	0.9	1.5	0.0	0.7661005556583405	0.056328900158405304	0.43937917798757553
9	0.0	0.7	1.2	0.0	0.9	1.0	0.0	0.7471133917570114	0.06662581488490105	0.44018251076340675
25	0.0	1.0	1.2	0.0	0.9	1.0	0.0	0.7551419287919998	0.06341554969549179	0.4409865140914917
38	1.0	0.7	0.8	0.0	0.95	1.0	0.5	0.7452978640794754	0.06836431194096804	0.44101324398070574
15	0.0	0.7	1.2	0.0	0.95	1.5	0.0	0.7448032349348068	0.07204086519777775	0.44444248266518116
31	0.0	1.0	1.2	0.0	0.95	1.5	0.0	0.753017857670784	0.06902729254215956	0.44553622137755156
12	0.0	0.7	1.2	0.0	0.9	1.5	0.5	0.7437587827444077	0.07561848219484091	0.44749787356704473
28	0.0	1.0	1.2	0.0	0.9	1.5	0.5	0.751973032951355	0.07273805420845747	0.44872457068413496
62	1.0	1.0	1.2	0.0	0.95	1.0	0.5	0.7402517646551132	0.08107281848788261	0.4511987008154392
11	0.0	0.7	1.2	0.0	0.9	1.5	0.0	0.7417851984500885	0.08222761377692223	0.4531202130019665
27	0.0	1.0	1.2	0.0	0.9	1.5	0.0	0.7500337809324265	0.07956074085086584	0.45457763131707907
53	1.0	1.0	0.8	0.0	0.95	1.0	0.0	0.7506576329469681	0.07931741140782833	0.45464622788131237
46	1.0	0.7	1.2	0.0	0.95	1.0	0.5	0.729181170463562	0.09510993026196957	0.45970051549375057
37	1.0	0.7	0.8	0.0	0.95	1.0	0.0	0.7395761609077454	0.09060551039874554	0.4603935908526182
50	1.0	1.0	0.8	0.0	0.9	1.0	0.5	0.7475519776344299	0.0913610402494669	0.46513702906668186
34	1.0	0.7	0.8	0.0	0.9	1.0	0.5	0.7362242341041565	0.10269121266901493	0.4708033297210932
61	1.0	1.0	1.2	0.0	0.95	1.0	0.0	0.7341531217098236	0.1047023143619299	0.4717788752168417
45	1.0	0.7	1.2	0.0	0.95	1.0	0.0	0.7230178117752075	0.11928131245076656	0.4807902183383703
58	1.0	1.0	1.2	0.0	0.9	1.0	0.5	0.7307593077421188	0.11715814471244812	0.48253779858350754
56	1.0	1.0	0.8	0.0	0.95	1.5	0.5	0.7423084527254105	0.11373026110231876	0.484884487465024
49	1.0	1.0	0.8	0.0	0.9	1.0	0.0	0.7413239628076553	0.1185927577316761	0.48925473913550377
40	1.0	0.7	0.8	0.0	0.95	1.5	0.5	0.7307761609554291	0.12439676374197006	0.4897848442196846
