config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	thr_drop	post_p_bio_temp	post_p_bio_bias	avg_rmse	avg_bz_rmse	score
48	1.0	1.0	0.8	0.0	0.97	1.0	1.0	0.7667358070611954	0.027481097262352705	0.4108490007929504
12	1.0	0.7	0.8	0.0	0.97	1.0	1.0	0.7572323232889175	0.0342968893237412	0.41291305096819997
66	1.0	1.0	1.2	0.0	0.97	1.0	1.0	0.7534642368555069	0.04103934206068516	0.4177714604884386
47	1.0	1.0	0.8	0.0	0.97	1.0	0.5	0.7618642002344131	0.0392941739410162	0.42022627405822277
39	1.0	1.0	0.8	0.0	0.95	1.0	1.0	0.7614975720643997	0.03995185345411301	0.42070063948631287
30	1.0	0.7	1.2	0.0	0.97	1.0	1.0	0.7432729303836823	0.05101864133030176	0.4226551065221429
11	1.0	0.7	0.8	0.0	0.97	1.0	0.5	0.7516700476408005	0.04820695100352168	0.4240419748239219
3	1.0	0.7	0.8	0.0	0.95	1.0	1.0	0.7512512058019638	0.04895274434238672	0.4245783472433686
65	1.0	1.0	1.2	0.0	0.97	1.0	0.5	0.7472328543663025	0.058072845451533794	0.43168927263468504
57	1.0	1.0	1.2	0.0	0.95	1.0	1.0	0.7467653453350067	0.05896230973303318	0.43234498240053654
46	1.0	1.0	0.8	0.0	0.97	1.0	0.0	0.7565900981426239	0.05627566110342741	0.43457071017473936
38	1.0	1.0	0.8	0.0	0.95	1.0	0.5	0.7561209946870804	0.057764255441725254	0.43582475278526545
29	1.0	0.7	1.2	0.0	0.97	1.0	0.5	0.7365421801805496	0.07041947636753321	0.438690566457808
21	1.0	0.7	1.2	0.0	0.95	1.0	1.0	0.7360348850488663	0.07140703964978456	0.4394244821742177
10	1.0	0.7	0.8	0.0	0.97	1.0	0.0	0.745901808142662	0.06681602634489536	0.4397669304162264
2	1.0	0.7	0.8	0.0	0.95	1.0	0.5	0.7452978640794754	0.06836431194096804	0.44101324398070574
64	1.0	1.0	1.2	0.0	0.97	1.0	0.0	0.7408270388841629	0.07940522022545338	0.44981873966753483
56	1.0	1.0	1.2	0.0	0.95	1.0	0.5	0.7402517646551132	0.08107281848788261	0.4511987008154392
51	1.0	1.0	0.8	0.0	0.97	1.5	1.0	0.7508142441511154	0.07786124292761087	0.4532683650031686
37	1.0	1.0	0.8	0.0	0.95	1.0	0.0	0.7506576329469681	0.07931741140782833	0.45464622788131237
28	1.0	0.7	1.2	0.0	0.97	1.0	0.0	0.7298901379108429	0.09335286449640989	0.45829793345183134
15	1.0	0.7	0.8	0.0	0.97	1.5	1.0	0.7396069467067719	0.089119509793818	0.4589229831472039
