config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	thr_drop	post_p_bio_temp	post_p_bio_bias	p_bio_mix	avg_rmse	avg_bz_rmse	score
44	1.0	1.0	0.8	0.0	0.97	1.0	0.5	0.5	0.7740196287631989	0.015626486390829086	0.4026363007724285
12	1.0	0.7	0.8	0.0	0.97	1.0	0.5	0.5	0.7656754404306412	0.020058145048096776	0.40289586526341736
60	1.0	1.0	1.2	0.0	0.97	1.0	0.5	0.5	0.7630387842655182	0.023414734518155456	0.40493412665091455
42	1.0	1.0	0.8	0.0	0.97	1.0	0.0	0.5	0.7715277969837189	0.019905925495550036	0.4056698239874095
36	1.0	1.0	0.8	0.0	0.95	1.0	0.5	0.5	0.7711479961872101	0.020370442187413573	0.4059444402810186
10	1.0	0.7	0.8	0.0	0.97	1.0	0.0	0.5	0.7628613859415054	0.025259668938815594	0.4066903619095683
28	1.0	0.7	1.2	0.0	0.97	1.0	0.5	0.5	0.7538792341947556	0.030040746089071035	0.4069803631864488
4	1.0	0.7	0.8	0.0	0.95	1.0	0.5	0.5	0.7623388767242432	0.025819985661655664	0.40698942402377725
58	1.0	1.0	1.2	0.0	0.97	1.0	0.0	0.5	0.7597787082195282	0.029821172822266817	0.4097105269320309
52	1.0	1.0	1.2	0.0	0.95	1.0	0.5	0.5	0.7592804580926895	0.03051822865381837	0.4101584577001631
34	1.0	1.0	0.8	0.0	0.95	1.0	0.0	0.5	0.7681557685136795	0.02647220529615879	0.41055008955299854
2	1.0	0.7	0.8	0.0	0.95	1.0	0.0	0.5	0.7589777857065201	0.033198528457432985	0.412687421310693
26	1.0	0.7	1.2	0.0	0.97	1.0	0.0	0.5	0.750375047326088	0.03782745683565736	0.41301498049870133
20	1.0	0.7	1.2	0.0	0.95	1.0	0.5	0.5	0.7497321665287018	0.038661685306578875	0.41352776857092977
50	1.0	1.0	1.2	0.0	0.95	1.0	0.0	0.5	0.7553898096084595	0.03969509853050113	0.41739000333473086
43	1.0	1.0	0.8	0.0	0.97	1.0	0.5	0.0	0.7618642002344131	0.0392941739410162	0.42022627405822277
18	1.0	0.7	1.2	0.0	0.95	1.0	0.0	0.5	0.7455779016017914	0.04964554402977228	0.422434494830668
11	1.0	0.7	0.8	0.0	0.97	1.0	0.5	0.0	0.7516700476408005	0.04820695100352168	0.4240419748239219
48	1.0	1.0	0.8	0.0	0.97	2.0	0.5	0.5	0.7605820000171661	0.04931512661278248	0.42960612662136555
59	1.0	1.0	1.2	0.0	0.97	1.0	0.5	0.0	0.7472328543663025	0.058072845451533794	0.43168927263468504
41	1.0	1.0	0.8	0.0	0.97	1.0	0.0	0.0	0.7565900981426239	0.05627566110342741	0.43457071017473936
16	1.0	0.7	0.8	0.0	0.97	2.0	0.5	0.5	0.7501636147499084	0.059901743195950985	0.4349835505709052
35	1.0	1.0	0.8	0.0	0.95	1.0	0.5	0.0	0.7561209946870804	0.057764255441725254	0.43582475278526545
46	1.0	1.0	0.8	0.0	0.97	2.0	0.0	0.5	0.7584405392408371	0.056773523800075054	0.4359937934204936
40	1.0	1.0	0.8	0.0	0.95	2.0	0.5	0.5	0.7583150714635849	0.05726388469338417	0.4364214204251766
