config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	thr_drop	post_p_bio_temp	post_p_bio_bias	p_bio_mix	gene_scale_q	avg_rmse	avg_bz_rmse	score
24	1.0	0.7	0.8	0.0	0.97	1.0	0.5	0.5	99.0	0.429151326417923	0.015372498193755746	0.22994816140271723
56	1.0	0.7	1.2	0.0	0.97	1.0	0.5	0.5	99.0	0.4155135303735733	0.023022835375741124	0.23077960056252778
120	1.0	1.0	1.2	0.0	0.97	1.0	0.5	0.5	99.0	0.4263901934027672	0.017926371889188886	0.23112146859057248
88	1.0	1.0	0.8	0.0	0.97	1.0	0.5	0.5	99.0	0.43877019733190536	0.011963783646933734	0.23134888231288642
20	1.0	0.7	0.8	0.0	0.97	1.0	0.0	0.5	99.0	0.4264932945370674	0.019064475316554308	0.23231112258508801
8	1.0	0.7	0.8	0.0	0.95	1.0	0.5	0.5	99.0	0.4259095788002014	0.019480926916003227	0.23243571631610394
84	1.0	1.0	0.8	0.0	0.97	1.0	0.0	0.5	99.0	0.4364253729581833	0.015000143088400364	0.233212829567492
72	1.0	1.0	0.8	0.0	0.95	1.0	0.5	0.5	99.0	0.4360155239701271	0.015344110783189535	0.2333518727682531
116	1.0	1.0	1.2	0.0	0.97	1.0	0.0	0.5	99.0	0.4232701510190964	0.02247593831270933	0.23411101382225752
104	1.0	1.0	1.2	0.0	0.95	1.0	0.5	0.5	99.0	0.42272330820560455	0.022992048412561417	0.2343537025153637
52	1.0	0.7	1.2	0.0	0.97	1.0	0.0	0.5	99.0	0.4121335446834564	0.02855468075722456	0.23462145309895277
40	1.0	0.7	1.2	0.0	0.95	1.0	0.5	0.5	99.0	0.4114023819565773	0.029173714574426413	0.23487490555271506
4	1.0	0.7	0.8	0.0	0.95	1.0	0.0	0.5	99.0	0.4228137955069542	0.024730061646550894	0.236136959400028
68	1.0	1.0	0.8	0.0	0.95	1.0	0.0	0.5	99.0	0.43327073752880096	0.01968263927847147	0.23631800804287195
100	1.0	1.0	1.2	0.0	0.95	1.0	0.0	0.5	99.0	0.41909195482730865	0.029515815898776054	0.23906179331243038
36	1.0	0.7	1.2	0.0	0.95	1.0	0.0	0.5	99.0	0.4074947014451027	0.036991901230067015	0.24073925195261836
86	1.0	1.0	0.8	0.0	0.97	1.0	0.5	0.0	99.0	0.4275059551000595	0.028546482790261507	0.24229946034029126
22	1.0	0.7	0.8	0.0	0.97	1.0	0.5	0.0	99.0	0.4159908592700958	0.03514336561784148	0.2431387952528894
118	1.0	1.0	1.2	0.0	0.97	1.0	0.5	0.0	99.0	0.4114679545164108	0.042262773495167494	0.2479967507533729
96	1.0	1.0	0.8	0.0	0.97	2.0	0.5	0.5	99.0	0.4263758808374405	0.03510052338242531	0.24828846380114555
32	1.0	0.7	0.8	0.0	0.97	2.0	0.5	0.5	99.0	0.41461031883955	0.042773790657520294	0.2500789500772953
54	1.0	0.7	1.2	0.0	0.97	1.0	0.5	0.0	99.0	0.39887669682502747	0.05149024538695812	0.25092859379947186
82	1.0	1.0	0.8	0.0	0.97	1.0	0.0	0.0	99.0	0.4233724996447563	0.03966250363737345	0.2513487534597516
70	1.0	1.0	0.8	0.0	0.95	1.0	0.5	0.0	99.0	0.42291801422834396	0.04060313431546092	0.2520621414296329
92	1.0	1.0	0.8	0.0	0.97	2.0	0.0	0.5	99.0	0.4246629402041435	0.039952803403139114	0.2522842735052109
80	1.0	1.0	0.8	0.0	0.95	2.0	0.5	0.5	99.0	0.42457254230976105	0.04026919696480036	0.2525554681196809
18	1.0	0.7	0.8	0.0	0.97	1.0	0.0	0.0	99.0	0.41143613308668137	0.04736314481124282	0.2530812113545835
6	1.0	0.7	0.8	0.0	0.95	1.0	0.5	0.0	99.0	0.41081370413303375	0.0483441804535687	0.2537510325200856
28	1.0	0.7	0.8	0.0	0.97	2.0	0.0	0.5	99.0	0.41265465319156647	0.04825437813997269	0.2545817047357559
16	1.0	0.7	0.8	0.0	0.95	2.0	0.5	0.5	99.0	0.4125608578324318	0.048603182658553123	0.254883611574769
76	1.0	1.0	0.8	0.0	0.95	2.0	0.0	0.5	99.0	0.4228702560067177	0.045371067710220814	0.25680619571357965
128	1.0	1.0	1.2	0.0	0.97	2.0	0.5	0.5	99.0	0.4100000113248825	0.05216509010642767	0.2571650957688689
12	1.0	0.7	0.8	0.0	0.95	2.0	0.0	0.5	99.0	0.41063206642866135	0.05417453218251467	0.25949056539684534
114	1.0	1.0	1.2	0.0	0.97	1.0	0.0	0.0	99.0	0.4063364937901497	0.05634236056357622	0.25951060745865107
102	1.0	1.0	1.2	0.0	0.95	1.0	0.5	0.0	99.0	0.4057561531662941	0.057405359111726284	0.26028343569487333
64	1.0	0.7	1.2	0.0	0.97	2.0	0.5	0.5	99.0	0.3971914052963257	0.06302619073539972	0.26162189338356256
66	1.0	1.0	0.8	0.0	0.95	1.0	0.0	0.0	99.0	0.4193318262696266	0.05257032811641693	0.26223624125123024
124	1.0	1.0	1.2	0.0	0.97	2.0	0.0	0.5	99.0	0.4077707305550575	0.058920785784721375	0.26280615106225014
112	1.0	1.0	1.2	0.0	0.95	2.0	0.5	0.5	99.0	0.407651387155056	0.05934802535921335	0.26317371893674135
50	1.0	0.7	1.2	0.0	0.97	1.0	0.0	0.0	99.0	0.3934924826025963	0.06669665034860373	0.26344289164990187
38	1.0	0.7	1.2	0.0	0.95	1.0	0.5	0.0	99.0	0.39273355156183243	0.0678158551454544	0.2641826309263706
2	1.0	0.7	0.8	0.0	0.95	1.0	0.0	0.0	99.0	0.4070359244942665	0.06088893488049507	0.2644068971276283
60	1.0	0.7	1.2	0.0	0.97	2.0	0.0	0.5	99.0	0.3947513550519943	0.07026646286249161	0.26764214038848877
48	1.0	0.7	1.2	0.0	0.95	2.0	0.5	0.5	99.0	0.39462924003601074	0.07073551323264837	0.26805013325065374
108	1.0	1.0	1.2	0.0	0.95	2.0	0.0	0.5	99.0	0.40544524788856506	0.0660592457279563	0.2687818696722388
98	1.0	1.0	1.2	0.0	0.95	1.0	0.0	0.0	99.0	0.4016420394182205	0.07107698451727629	0.27189800422638655
44	1.0	0.7	1.2	0.0	0.95	2.0	0.0	0.5	99.0	0.39221787452697754	0.0776963047683239	0.27380524203181267
34	1.0	0.7	1.2	0.0	0.95	1.0	0.0	0.0	99.0	0.3885575160384178	0.08207036834210157	0.2763491263613105
94	1.0	1.0	0.8	0.0	0.97	2.0	0.5	0.0	99.0	0.4132002964615822	0.07421458419412374	0.28081473242491484
30	1.0	0.7	0.8	0.0	0.97	2.0	0.5	0.0	99.0	0.4002109318971634	0.08236733451485634	0.28247280046343803
90	1.0	1.0	0.8	0.0	0.97	2.0	0.0	0.0	99.0	0.4121994227170944	0.07913443353027105	0.28523414488881826
78	1.0	1.0	0.8	0.0	0.95	2.0	0.5	0.0	99.0	0.4121779501438141	0.0793253006413579	0.28541427571326494
26	1.0	0.7	0.8	0.0	0.97	2.0	0.0	0.0	99.0	0.3991549089550972	0.08712712861597538	0.286704583093524
14	1.0	0.7	0.8	0.0	0.95	2.0	0.5	0.0	99.0	0.3991495296359062	0.08731031604111195	0.28688508085906506
74	1.0	1.0	0.8	0.0	0.95	2.0	0.0	0.0	99.0	0.4112706258893013	0.08369283750653267	0.2893281504511833
10	1.0	0.7	0.8	0.0	0.95	2.0	0.0	0.0	99.0	0.39819392561912537	0.09155692346394062	0.2906538862735033
126	1.0	1.0	1.2	0.0	0.97	2.0	0.5	0.0	99.0	0.39478591084480286	0.09349221549928188	0.2908851709216833
62	1.0	0.7	1.2	0.0	0.97	2.0	0.5	0.0	99.0	0.38109198957681656	0.1041707918047905	0.2947167865931988
122	1.0	1.0	1.2	0.0	0.97	2.0	0.0	0.0	99.0	0.39372630417346954	0.09842870570719242	0.2952918577939272
110	1.0	1.0	1.2	0.0	0.95	2.0	0.5	0.0	99.0	0.3937104865908623	0.09861009754240513	0.29546534083783627
58	1.0	0.7	1.2	0.0	0.97	2.0	0.0	0.0	99.0	0.3799869045615196	0.10898256301879883	0.29897601529955864
46	1.0	0.7	1.2	0.0	0.95	2.0	0.5	0.0	99.0	0.37998558580875397	0.10915744118392467	0.29915023408830166
106	1.0	1.0	1.2	0.0	0.95	2.0	0.0	0.0	99.0	0.392756387591362	0.1029717493802309	0.2993499431759119
42	1.0	0.7	1.2	0.0	0.95	2.0	0.0	0.0	99.0	0.3789868503808975	0.11340080201625824	0.302894227206707
87	1.0	1.0	0.8	0.0	0.97	1.0	0.5	0.5	95.0	0.7740196287631989	0.015626486390829086	0.4026363007724285
23	1.0	0.7	0.8	0.0	0.97	1.0	0.5	0.5	95.0	0.7656754404306412	0.020058145048096776	0.40289586526341736
119	1.0	1.0	1.2	0.0	0.97	1.0	0.5	0.5	95.0	0.7630387842655182	0.023414734518155456	0.40493412665091455
83	1.0	1.0	0.8	0.0	0.97	1.0	0.0	0.5	95.0	0.7715277969837189	0.019905925495550036	0.4056698239874095
71	1.0	1.0	0.8	0.0	0.95	1.0	0.5	0.5	95.0	0.7711479961872101	0.020370442187413573	0.4059444402810186
19	1.0	0.7	0.8	0.0	0.97	1.0	0.0	0.5	95.0	0.7628613859415054	0.025259668938815594	0.4066903619095683
55	1.0	0.7	1.2	0.0	0.97	1.0	0.5	0.5	95.0	0.7538792341947556	0.030040746089071035	0.4069803631864488
7	1.0	0.7	0.8	0.0	0.95	1.0	0.5	0.5	95.0	0.7623388767242432	0.025819985661655664	0.40698942402377725
115	1.0	1.0	1.2	0.0	0.97	1.0	0.0	0.5	95.0	0.7597787082195282	0.029821172822266817	0.4097105269320309
103	1.0	1.0	1.2	0.0	0.95	1.0	0.5	0.5	95.0	0.7592804580926895	0.03051822865381837	0.4101584577001631
67	1.0	1.0	0.8	0.0	0.95	1.0	0.0	0.5	95.0	0.7681557685136795	0.02647220529615879	0.41055008955299854
3	1.0	0.7	0.8	0.0	0.95	1.0	0.0	0.5	95.0	0.7589777857065201	0.033198528457432985	0.412687421310693
51	1.0	0.7	1.2	0.0	0.97	1.0	0.0	0.5	95.0	0.750375047326088	0.03782745683565736	0.41301498049870133
39	1.0	0.7	1.2	0.0	0.95	1.0	0.5	0.5	95.0	0.7497321665287018	0.038661685306578875	0.41352776857092977
99	1.0	1.0	1.2	0.0	0.95	1.0	0.0	0.5	95.0	0.7553898096084595	0.03969509853050113	0.41739000333473086
85	1.0	1.0	0.8	0.0	0.97	1.0	0.5	0.0	95.0	0.7618642002344131	0.0392941739410162	0.42022627405822277
35	1.0	0.7	1.2	0.0	0.95	1.0	0.0	0.5	95.0	0.7455779016017914	0.04964554402977228	0.422434494830668
21	1.0	0.7	0.8	0.0	0.97	1.0	0.5	0.0	95.0	0.7516700476408005	0.04820695100352168	0.4240419748239219
95	1.0	1.0	0.8	0.0	0.97	2.0	0.5	0.5	95.0	0.7605820000171661	0.04931512661278248	0.42960612662136555
117	1.0	1.0	1.2	0.0	0.97	1.0	0.5	0.0	95.0	0.7472328543663025	0.058072845451533794	0.43168927263468504
81	1.0	1.0	0.8	0.0	0.97	1.0	0.0	0.0	95.0	0.7565900981426239	0.05627566110342741	0.43457071017473936
31	1.0	0.7	0.8	0.0	0.97	2.0	0.5	0.5	95.0	0.7501636147499084	0.059901743195950985	0.4349835505709052
69	1.0	1.0	0.8	0.0	0.95	1.0	0.5	0.0	95.0	0.7561209946870804	0.057764255441725254	0.43582475278526545
91	1.0	1.0	0.8	0.0	0.97	2.0	0.0	0.5	95.0	0.7584405392408371	0.056773523800075054	0.4359937934204936
79	1.0	1.0	0.8	0.0	0.95	2.0	0.5	0.5	95.0	0.7583150714635849	0.05726388469338417	0.4364214204251766
53	1.0	0.7	1.2	0.0	0.97	1.0	0.5	0.0	95.0	0.7365421801805496	0.07041947636753321	0.438690566457808
17	1.0	0.7	0.8	0.0	0.97	1.0	0.0	0.0	95.0	0.745901808142662	0.06681602634489536	0.4397669304162264
5	1.0	0.7	0.8	0.0	0.95	1.0	0.5	0.0	95.0	0.7452978640794754	0.06836431194096804	0.44101324398070574
27	1.0	0.7	0.8	0.0	0.97	2.0	0.0	0.5	95.0	0.7477595210075378	0.06832736544311047	0.4422071259468794
15	1.0	0.7	0.8	0.0	0.95	2.0	0.5	0.5	95.0	0.7476268261671066	0.06886103004217148	0.4426744431257248
75	1.0	1.0	0.8	0.0	0.95	2.0	0.0	0.5	95.0	0.7560378462076187	0.06594225857406855	0.4439611816778779
127	1.0	1.0	1.2	0.0	0.97	2.0	0.5	0.5	95.0	0.7456232309341431	0.07308778073638678	0.4458993962034583
113	1.0	1.0	1.2	0.0	0.97	1.0	0.0	0.0	95.0	0.7408270388841629	0.07940522022545338	0.44981873966753483
11	1.0	0.7	0.8	0.0	0.95	2.0	0.0	0.5	95.0	0.7450934797525406	0.07835652120411396	0.45090326108038425
101	1.0	1.0	1.2	0.0	0.95	1.0	0.5	0.0	95.0	0.7402517646551132	0.08107281848788261	0.4511987008154392
65	1.0	1.0	0.8	0.0	0.95	1.0	0.0	0.0	95.0	0.7506576329469681	0.07931741140782833	0.45464622788131237
123	1.0	1.0	1.2	0.0	0.97	2.0	0.0	0.5	95.0	0.7429036647081375	0.08340859413146973	0.4548604264855385
63	1.0	0.7	1.2	0.0	0.97	2.0	0.5	0.5	95.0	0.7347815483808517	0.08794168755412102	0.4553324617445469
111	1.0	1.0	1.2	0.0	0.95	2.0	0.5	0.5	95.0	0.7427424043416977	0.0840498749166727	0.45542107708752155
49	1.0	0.7	1.2	0.0	0.97	1.0	0.0	0.0	95.0	0.7298901379108429	0.09335286449640989	0.45829793345183134
37	1.0	0.7	1.2	0.0	0.95	1.0	0.5	0.0	95.0	0.729181170463562	0.09510993026196957	0.45970051549375057
1	1.0	0.7	0.8	0.0	0.95	1.0	0.0	0.0	95.0	0.7395761609077454	0.09060551039874554	0.4603935908526182
