config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	ae_bio_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	cell_zero_weight	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	clip_negative
1	4.401572513580322	0.0	7.335954189300537	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	128,64	64	0.1	True	120	128	0.002	0.0001	1.0	2.0	0.2	0.5	99.0	0.25	2.0	2.0	0.3	1.5	True	True	False	0.3	4.0	1.2	0.0	0.9	0.05	0.3	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
2	4.401572513580322	0.0	7.335954189300537	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	128,64	64	0.1	True	120	128	0.002	0.0	1.0	2.0	0.2	1.0	99.0	0.25	2.0	1.0	0.2	1.0	True	True	False	0.3	4.0	1.0	0.5	0.6	0.1	0.7	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	2.0	True
3	4.553900348395109	0.03003312274813652	7.539778709411621	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	64	64	0.1	False	120	128	0.002	0.0	2.0	2.0	0.2	1.0	99.5	0.0	2.0	1.0	0.1	1.5	False	False	False	0.3	4.0	1.2	0.0	0.6	0.05	0.7	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	2.0	True
4	5.29006061553955	0.0	8.816767692565918	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	128,64	64	0.1	True	120	128	0.002	0.0001	2.0	2.0	0.2	0.5	99.0	0.25	2.0	1.0	0.3	1.5	False	True	False	0.3	4.0	1.0	0.5	0.9	0.05	0.7	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	2.0	True
5	5.374196434020996	0.0	8.95699405670166	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	128,64	64	0.2	True	120	128	0.002	0.0001	1.0	2.0	0.2	1.0	99.0	0.25	1.0	1.0	0.1	1.0	False	False	False	0.6	4.0	1.2	0.0	0.9	0.1	0.3	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
6	4.401572513580322	0.0	7.335954189300537	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	64	64	0.2	False	120	128	0.002	0.0	2.0	1.0	0.2	0.5	99.0	0.25	0.0	1.0	0.2	1.5	True	False	False	0.3	4.0	1.2	0.0	0.9	0.05	0.7	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	4.0	True
7	4.564231109619141	0.0	7.607051849365234	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	128,64	64	0.2	False	120	128	0.002	0.0001	1.0	1.0	0.2	0.5	99.5	0.0	0.0	1.0	0.1	1.0	False	True	False	0.6	4.0	1.2	0.0	0.9	0.05	0.7	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	2.0	True
8	5.285092163085937	0.0	8.808486938476562	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	64	64	0.1	True	120	128	0.002	0.0	1.0	1.0	0.2	1.0	99.5	0.25	1.0	2.0	0.1	1.0	False	False	False	0.6	4.0	1.0	0.5	0.6	0.1	0.5	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
9	4.622581672668457	0.0	7.704302787780762	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	64	64	0.2	False	120	128	0.002	0.0	2.0	1.0	0.2	0.5	99.0	0.0	2.0	1.0	0.2	1.5	False	True	False	0.3	4.0	1.2	0.5	0.9	0.05	0.5	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	4.0	True
10	5.342099189758301	0.0	8.903498649597168	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	128,64	64	0.1	True	120	128	0.002	0.0001	1.0	2.0	0.2	0.5	99.5	0.25	0.0	2.0	0.2	1.5	False	False	False	0.3	4.0	1.0	0.0	0.9	0.05	0.7	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	4.0	True
11	4.141272815316915	0.031016524881124496	6.850427150726318	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	64	64	0.2	False	120	128	0.002	0.0001	1.0	1.0	0.2	1.0	99.5	0.0	0.0	1.0	0.3	1.0	False	False	False	0.6	4.0	1.0	0.0	0.6	0.05	0.7	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	4.0	True
12	3.7309481240808964	0.025705967098474503	6.175403594970703	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	128,64	64	0.1	False	120	128	0.002	0.0	2.0	1.0	0.2	1.0	99.5	0.25	1.0	1.0	0.1	1.0	True	False	False	0.6	4.0	1.2	0.0	0.6	0.1	0.3	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
13	4.423794027790427	0.008687159046530724	7.358511447906494	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	64	64	0.2	False	120	128	0.002	0.0001	2.0	2.0	0.2	0.5	99.0	0.25	2.0	2.0	0.1	1.0	False	False	False	0.6	4.0	1.2	0.0	0.6	0.1	0.5	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	2.0	True
14	4.640209293365478	0.0	7.733682155609131	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	128,64	64	0.1	False	120	128	0.002	0.0001	2.0	1.0	0.2	1.0	99.5	0.0	0.0	2.0	0.1	1.0	False	True	False	0.6	4.0	1.0	0.5	0.6	0.1	0.7	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	4.0	True
15	5.390744590759277	0.0	8.984574317932129	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	64	64	0.1	True	120	128	0.002	0.0001	1.0	2.0	0.2	0.5	99.0	0.25	0.0	2.0	0.3	1.0	False	False	False	0.6	4.0	1.2	0.0	0.6	0.05	0.3	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	2.0	True
16	3.925015525519848	0.0330764576792717	6.486565113067627	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	64	64	0.2	False	120	128	0.002	0.0001	1.0	1.0	0.2	0.5	99.0	0.25	2.0	1.0	0.3	1.0	True	False	False	0.3	4.0	1.2	0.0	0.6	0.05	0.3	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	4.0	True
17	4.276531505584717	0.0	7.127552509307861	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	64	64	0.2	False	120	128	0.002	0.0001	2.0	2.0	0.2	0.5	99.0	0.25	2.0	1.0	0.3	1.0	True	True	False	0.3	4.0	1.0	0.0	0.9	0.1	0.3	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	2.0	True
18	4.401572513580322	0.0	7.335954189300537	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	128,64	64	0.2	True	120	128	0.002	0.0001	2.0	1.0	0.2	1.0	99.5	0.0	0.0	2.0	0.2	1.0	True	True	False	0.3	4.0	1.2	0.0	0.9	0.05	0.3	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	4.0	True
