config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	ae_bio_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	cell_zero_weight	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	clip_negative
1	3.646829605102539	0.0	7.293659210205078	0.7	fixed	0.1	True	20.0	80.0	20.0	0.1	0.1	0.0	0.5	256,128	64	0.2	False	140	64	0.0005	0.001	2.0	2.0	0.1	0.0	2.0	99.5	0.5	0.5	4.0	0.2	1.0	2.0	True	True	False	0.3	4.0	0.8	1.0	0.9	0.3	0.4	False	0.6	4.0	0.2	1.0	0.6	2.0	0.6	0.6	2.0	4	10	0.5	2.0	True
2	3.6679770946502686	0.0	7.335954189300537	0.7	fixed	0.05	False	40.0	80.0	80.0	0.05	0.4	0.0	0.25	256,128	32	0.0	True	140	32	0.001	0.0	4.0	1.0	0.1	0.0	1.0	99.5	0.75	0.5	1.0	0.3	1.0	4.0	True	True	False	0.6	4.0	1.0	1.0	0.9	0.3	0.5	False	0.0	4.0	0.2	1.0	0.6	1.0	0.6	0.0	2.0	4	20	0.5	2.0	False
3	0.891700267791748	0.1468326449394226	1.4897352457046509	0.8	fixed	0.1	True	20.0	50.0	20.0	0.0	0.1	0.0	0.5	256,128	32	0.05	False	100	32	0.002	0.0001	2.0	2.0	0.25	0.0	1.0	99.5	0.0	1.0	1.0	0.1	1.0	4.0	True	True	False	0.3	4.0	1.5	-0.5	0.0	1.0	0.1	True	0.0	4.0	0.0	2.0	0.3	1.0	0.3	0.3	2.0	4	20	0.5	2.0	True
4	3.6679770946502686	0.0	7.335954189300537	0.9	estimate	0.05	True	10.0	20.0	20.0	0.2	0.3	0.05	0.5	256,128	16	0.2	False	140	32	0.001	0.001	2.0	1.0	0.0	0.1	0.5	98.0	0.5	1.0	2.0	0.1	1.5	1.0	True	True	False	0.3	4.0	1.0	1.0	0.3	0.6	0.3	False	0.6	4.0	0.0	4.0	0.0	4.0	0.6	0.3	2.0	2	10	0.0	2.0	False
5	2.9452992043370614	0.00020318840688560158	5.890192031860352	0.7	estimate	0.2	True	40.0	20.0	80.0	0.1	0.3	0.0	0.5	256,128	16	0.2	True	140	64	0.001	0.0	2.0	1.0	0.25	0.0	1.0	99.0	-1.0	2.0	2.0	0.3	0.5	1.0	True	True	False	0.0	2.0	0.8	0.5	0.0	0.1	0.3	True	0.0	1.0	0.4	4.0	0.3	2.0	0.3	0.3	2.0	2	10	0.0	4.0	True
6	2.948076924891211	0.0001968952128663659	5.8957600593566895	0.8	estimate	0.2	True	10.0	20.0	50.0	0.1	0.2	0.0	0.75	64	32	0.1	True	140	32	0.002	0.0	2.0	2.0	1.0	0.1	0.5	98.0	0.0	2.0	1.0	0.3	1.0	1.0	True	False	False	0.0	1.0	1.25	0.5	0.0	0.3	0.2	True	0.6	4.0	0.4	4.0	0.0	1.0	0.3	0.6	2.0	2	10	0.0	1.0	False
7	inf	inf	inf	0.82	estimate	0.05	False	20.0	80.0	80.0	0.05	0.1	0.05	0.5	64	32	0.1	False	60	128	0.002	0.0	1.0	2.0	0.0	0.1	1.0	99.5	0.75	0.0	4.0	-1.0	1.5	4.0	False	True	False	0.6	1.0	1.25	0.0	0.3	0.1	0.4	False	0.3	2.0	0.2	4.0	0.0	4.0	0.6	0.3	1.0	2	20	1.0	1.0	True
8	inf	inf	inf	0.7	estimate	0.2	False	10.0	80.0	20.0	0.05	0.3	0.05	0.75	64	16	0.05	True	140	128	0.0005	0.001	2.0	2.0	0.25	0.0	2.0	98.0	-1.0	0.0	1.0	-1.0	0.5	4.0	False	True	False	0.0	2.0	1.5	0.5	0.9	0.6	0.3	False	0.6	4.0	0.0	4.0	0.0	4.0	0.6	0.0	1.0	2	20	1.0	1.0	True
9	inf	inf	inf	0.9	estimate	0.05	True	20.0	50.0	20.0	0.2	0.3	0.0	0.75	256,128	32	0.0	False	100	32	0.001	0.001	1.0	2.0	0.0	0.2	1.0	98.0	0.75	0.0	2.0	-1.0	1.5	4.0	False	True	False	0.3	2.0	1.5	1.0	0.0	0.6	0.1	False	0.6	1.0	0.4	2.0	0.0	2.0	0.3	0.6	2.0	4	20	1.0	2.0	True
10	3.608006715774536	0.0	7.216013431549072	0.8	estimate	0.1	False	20.0	20.0	50.0	0.2	0.4	0.0	0.5	128,64	16	0.05	True	140	128	0.002	0.001	4.0	1.0	1.0	0.0	1.0	99.0	0.0	0.0	1.0	0.3	0.5	1.0	False	True	False	0.6	4.0	1.25	-0.5	0.0	0.3	0.3	False	0.3	1.0	0.2	1.0	0.6	1.0	0.0	0.0	2.0	2	10	0.5	2.0	False
11	3.374744176864624	0.0	6.749488353729248	0.9	estimate	0.2	True	40.0	50.0	80.0	0.2	0.4	0.05	0.5	64	32	0.0	False	60	32	0.0005	0.0001	2.0	2.0	0.25	0.1	0.5	98.0	0.0	2.0	2.0	0.3	0.5	1.0	False	True	False	0.0	2.0	1.5	0.5	0.0	1.0	0.5	True	0.6	1.0	0.4	1.0	0.6	2.0	0.6	0.3	2.0	3	20	1.0	1.0	False
12	3.6679770946502686	0.0	7.335954189300537	0.82	estimate	0.1	False	40.0	80.0	50.0	0.2	0.2	0.05	0.5	64	16	0.0	True	100	64	0.0005	0.0001	2.0	1.0	0.1	0.1	1.0	99.0	0.5	0.5	2.0	0.1	0.5	4.0	True	True	False	0.6	4.0	1.25	1.0	0.9	0.3	0.4	False	0.3	2.0	0.4	4.0	0.3	2.0	0.0	0.6	2.0	3	20	0.5	1.0	True
13	2.954430039972067	0.02325623854994774	5.862347602844238	0.7	fixed	0.05	True	20.0	80.0	50.0	0.2	0.4	0.0	0.75	128,64	32	0.0	False	140	64	0.0005	0.0001	4.0	2.0	0.0	0.4	2.0	98.0	0.75	0.5	2.0	0.1	1.5	4.0	False	False	False	0.6	1.0	1.0	0.5	0.6	0.1	0.1	True	0.3	1.0	0.0	1.0	0.3	1.0	0.3	0.3	1.0	4	20	1.0	4.0	False
14	3.443465346819721	0.001096839434467256	6.884737014770508	0.9	fixed	0.1	True	20.0	20.0	80.0	0.2	0.1	0.05	0.25	256,128	16	0.05	False	140	64	0.002	0.001	1.0	2.0	0.5	0.1	2.0	99.5	0.75	2.0	2.0	0.1	1.5	2.0	False	True	False	0.0	1.0	1.5	-0.5	0.0	1.0	0.3	False	0.6	2.0	0.0	4.0	0.0	2.0	0.6	0.6	1.0	4	20	0.5	1.0	True
15	2.3054259609198198	0.00036843528505414724	4.610115051269531	0.82	fixed	0.05	False	40.0	80.0	50.0	0.0	0.2	0.05	0.75	128,64	16	0.0	True	100	32	0.002	0.0001	1.0	1.0	0.25	0.2	2.0	99.0	0.0	2.0	2.0	0.1	1.0	1.0	True	False	False	0.6	4.0	1.5	0.5	0.0	0.3	0.5	False	0.6	4.0	0.0	4.0	0.6	1.0	0.0	0.3	2.0	2	20	0.0	2.0	False
16	inf	inf	inf	0.7	fixed	0.2	False	10.0	20.0	20.0	0.05	0.1	0.05	0.75	256,128	16	0.0	False	60	64	0.002	0.0	1.0	1.0	0.0	0.0	2.0	99.0	0.75	2.0	4.0	-1.0	0.5	4.0	True	True	False	0.6	4.0	1.5	1.0	0.0	1.0	0.5	True	0.6	4.0	0.2	1.0	0.3	1.0	0.0	0.0	2.0	3	20	1.0	2.0	False
17	3.5329761505126953	0.0	7.065952301025391	0.7	fixed	0.1	True	40.0	80.0	20.0	0.0	0.1	0.0	0.25	256,128	32	0.2	False	100	64	0.0005	0.0	2.0	1.0	0.0	0.0	2.0	99.0	0.5	0.5	1.0	0.1	0.5	4.0	True	True	False	0.6	2.0	1.0	0.5	0.9	0.3	0.4	True	0.3	2.0	0.0	1.0	0.6	2.0	0.0	0.3	2.0	3	20	0.0	2.0	True
18	inf	inf	inf	0.9	estimate	0.05	True	20.0	80.0	50.0	0.2	0.2	0.0	0.25	256,128	16	0.2	True	60	32	0.001	0.0001	4.0	2.0	0.25	0.2	2.0	99.0	-1.0	0.5	4.0	-1.0	1.5	2.0	False	True	False	0.6	1.0	1.0	0.0	0.3	0.3	0.1	False	0.0	2.0	0.2	2.0	0.3	4.0	0.3	0.3	2.0	3	20	0.0	1.0	False
19	inf	inf	inf	0.8	fixed	0.05	True	20.0	50.0	50.0	0.05	0.4	0.05	0.75	256,128	32	0.2	True	140	128	0.001	0.001	2.0	1.0	0.5	0.0	0.5	99.0	0.75	0.5	2.0	-1.0	0.5	1.0	True	False	False	0.6	4.0	0.8	-0.5	0.3	0.6	0.2	False	0.0	4.0	0.0	1.0	0.6	4.0	0.0	0.3	2.0	4	20	0.5	2.0	False
20	4.24363899230957	0.0	8.48727798461914	0.7	estimate	0.1	False	10.0	50.0	50.0	0.1	0.4	0.0	0.75	128,64	64	0.05	True	140	128	0.0005	0.001	4.0	1.0	1.0	0.2	1.0	98.0	0.5	0.0	4.0	0.2	1.0	1.0	False	True	False	0.3	4.0	1.5	1.0	0.9	0.6	0.2	True	0.6	4.0	0.2	1.0	0.3	2.0	0.6	0.3	1.0	2	20	1.0	1.0	True
21	3.733754248227342	0.0001357503788312897	7.4672369956970215	0.8	estimate	0.2	True	10.0	20.0	20.0	0.2	0.4	0.0	0.5	64	16	0.05	True	100	128	0.001	0.001	2.0	1.0	0.0	0.1	0.5	99.5	0.75	2.0	2.0	0.2	1.0	2.0	False	False	False	0.6	2.0	0.8	0.5	0.3	0.6	0.3	True	0.3	4.0	0.4	1.0	0.3	2.0	0.6	0.6	2.0	3	20	0.5	4.0	True
22	1.6887751668691635	0.05029319226741791	3.276963949203491	0.82	estimate	0.2	True	20.0	50.0	50.0	0.2	0.3	0.05	0.25	64	32	0.2	False	100	64	0.001	0.0	1.0	1.0	0.1	0.0	0.5	98.0	0.5	2.0	4.0	0.1	1.0	1.0	True	False	False	0.3	1.0	1.0	0.0	0.0	0.6	0.3	True	0.6	4.0	0.4	2.0	0.6	2.0	0.6	0.6	2.0	4	20	1.0	1.0	False
23	3.367685889141285	0.00020370377751532942	6.734964370727539	0.82	fixed	0.1	False	10.0	20.0	50.0	0.1	0.4	0.0	0.5	128,64	64	0.1	True	140	32	0.002	0.0	1.0	2.0	0.5	0.4	2.0	99.0	0.0	0.0	1.0	0.1	0.5	2.0	False	False	False	0.3	4.0	1.5	1.0	0.3	0.3	0.5	False	0.3	1.0	0.4	2.0	0.0	1.0	0.3	0.3	2.0	2	20	0.5	4.0	True
24	inf	inf	inf	0.7	estimate	0.1	False	10.0	50.0	20.0	0.2	0.3	0.05	0.75	128,64	64	0.0	False	140	128	0.001	0.001	2.0	1.0	1.0	0.0	0.5	99.0	0.0	2.0	2.0	-1.0	1.5	2.0	True	False	False	0.3	1.0	1.5	0.0	0.6	1.0	0.4	True	0.0	1.0	0.2	4.0	0.3	2.0	0.6	0.6	2.0	2	20	0.5	2.0	True
25	1.9695656150579453	0.14935646951198578	3.640418291091919	0.7	estimate	0.1	False	40.0	20.0	80.0	0.0	0.3	0.0	0.5	256,128	32	0.2	False	140	64	0.0005	0.001	2.0	2.0	0.0	0.0	1.0	98.0	0.75	2.0	4.0	0.2	1.0	1.0	True	True	False	0.6	1.0	1.0	0.0	0.0	0.1	0.2	False	0.0	2.0	0.0	2.0	0.0	1.0	0.3	0.6	2.0	4	10	0.5	2.0	False
26	2.768511524423957	0.004737844690680504	5.527547359466553	0.9	fixed	0.2	False	20.0	80.0	20.0	0.05	0.4	0.0	0.25	128,64	16	0.2	False	60	64	0.002	0.001	1.0	2.0	0.5	0.2	0.5	98.0	0.75	0.0	1.0	0.1	0.5	1.0	True	False	False	0.0	1.0	0.8	0.5	0.3	1.0	0.3	True	0.3	2.0	0.4	2.0	0.6	4.0	0.3	0.6	1.0	4	20	1.0	1.0	False
27	3.6679770946502686	0.0	7.335954189300537	0.8	estimate	0.05	False	10.0	20.0	50.0	0.1	0.2	0.05	0.75	128,64	64	0.05	True	60	128	0.002	0.001	1.0	1.0	0.0	0.0	0.5	99.0	-1.0	2.0	2.0	0.1	1.0	4.0	True	True	False	0.0	4.0	0.8	0.5	0.3	1.0	0.1	True	0.6	2.0	0.0	4.0	0.0	2.0	0.3	0.0	1.0	2	10	0.0	1.0	True
28	0.5406585931777954	0.2100336253643036	0.6612499356269836	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.6	0.0	2.0	2	10	0.0	4.0	False
