config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	ae_bio_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	expr_bio_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative
1	0.5367037802934647	0.20285414159297943	0.6676992774009705	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.5	0.6	0.0	1.0	0.0	2.0	2	10	0.0	4.0	0.6	0.3	0.5	0.2	1.0	True	0.0	0.4	0.4	20	True	False
2	2.781087454408407	0.018955525010824203	5.524263858795166	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.7	0.6	0.3	1.0	0.0	2.0	2	10	0.0	4.0	0.6	0.3	0.5	0.2	1.0	True	0.0	0.4	0.4	20	True	False
3	0.5405560433864594	0.20958521962165833	0.661941647529602	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.5	0.6	0.0	1.0	0.0	2.0	2	10	0.0	4.0	0.0	0.3	0.5	0.4	1.0	True	0.0	0.4	0.4	10	True	False
4	3.667631149291992	0.0	7.335262298583984	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.0	0.7	0.6	0.3	1.0	0.0	2.0	2	10	0.0	4.0	0.0	0.6	0.0	0.4	1.0	True	0.4	0.4	0.4	10	True	False
5	3.574160509626381	0.0003048711223527789	7.147711277008057	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.05	0.5	0.6	0.0	1.0	0.0	2.0	2	10	0.3	4.0	0.0	0.6	0.5	0.4	1.0	True	0.4	0.2	0.4	10	True	False
6	2.341553581878543	0.03090609423816204	4.621294975280762	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.5	0.6	0.0	1.0	0.0	2.0	2	10	0.0	4.0	0.6	0.3	0.0	0.2	1.0	True	0.4	0.2	0.2	10	True	False
7	3.6555778980255127	0.0	7.311155796051025	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.7	0.6	0.0	1.0	0.0	2.0	2	10	0.0	4.0	0.6	0.6	0.5	0.2	1.0	True	0.2	0.4	0.4	10	True	False
8	3.6650230884552	0.0	7.3300461769104	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.5	0.6	0.3	1.0	0.0	2.0	2	10	0.0	4.0	0.0	0.6	0.5	0.2	1.0	True	0.6	0.2	0.4	10	True	False
9	3.6648542881011963	0.0	7.329708576202393	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.7	0.6	0.3	1.0	0.0	2.0	2	10	0.0	4.0	0.4	0.3	0.5	0.4	1.0	True	0.2	0.4	0.4	10	True	False
10	0.5298881530761719	0.182768315076828	0.6942396759986877	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.0	0.3	0.6	0.0	1.0	0.0	2.0	2	10	0.3	4.0	0.4	0.3	0.5	0.4	1.0	True	0.0	0.4	0.4	20	True	False
11	3.64432954788208	0.0	7.28865909576416	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.05	0.3	0.6	0.3	1.0	0.0	2.0	2	10	0.3	4.0	0.2	0.6	0.0	0.2	1.0	True	0.2	0.4	0.2	10	True	False
12	2.9751134626567364	0.017223667353391647	5.9157795906066895	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.7	0.6	0.0	1.0	0.0	2.0	2	10	0.0	4.0	0.6	0.3	0.5	0.2	1.0	True	0.6	0.2	0.2	20	True	False
13	3.5965540409088135	0.0	7.193108081817627	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.05	0.5	0.6	0.3	1.0	0.0	2.0	2	10	0.3	4.0	0.4	0.3	0.0	0.2	1.0	True	0.6	0.2	0.2	10	True	False
14	3.666611433029175	0.0	7.33322286605835	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.0	0.3	0.6	0.3	1.0	0.0	2.0	2	10	0.3	4.0	0.4	0.3	0.5	0.2	1.0	True	0.6	0.4	0.4	10	True	False
