config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	post_gene_ref	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	post_bio_temp	post_bio_bias	ae_bio_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	expr_bio_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	expr_bio_expected	expr_bio_mix	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative
1	1.8188739189790795	0.003445960013777949	3.630855917930603	0.85	estimate	0.05	True	20.0	20.0	50.0	0.05	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.25	0.0	2.0	0.2	1.0	4.0	obs	True	False	False	0.3	2.0	1.5	0.0	1.5	0.0	0.3	0.3	0.4	True	0.6	2.0	0.2	4.0	0.3	2.0	0.05	0.7	0.3	0.3	1.0	0.3	1.0	2	10	1.0	4.0	0.0	0.6	0.0	0.4	1.0	False	log	0.5	0.3	0.2	0.4	10	True	False
2	1.6510764268459752	0.013544371468015015	3.2750641107559204	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.2	2.0	99.5	0.0	0.5	4.0	0.3	1.0	2.0	obs	True	False	False	0.0	1.0	2.0	0.5	1.0	0.0	0.6	0.3	0.4	False	0.6	1.0	0.0	2.0	0.3	4.0	0.2	0.9	0.3	0.3	1.0	0.3	2.0	2	10	0.0	2.0	0.6	0.6	0.0	0.4	1.0	False	counts	0.5	0.0	0.2	0.4	10	False	False
3	3.015185594558716	0.0	6.030371189117432	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.2	2.0	99.5	0.1	0.0	4.0	0.1	1.0	4.0	obs	True	True	False	0.3	2.0	1.0	0.0	1.0	0.0	0.3	0.6	0.6	False	0.6	2.0	0.0	4.0	0.3	4.0	0.1	0.9	0.3	0.3	1.0	0.3	1.0	2	10	0.5	2.0	0.3	0.3	0.5	-1.0	0.5	False	counts	0.5	0.3	0.2	-1.0	10	False	False
4	2.9599668979644775	0.0	5.919933795928955	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.1	0.5	4.0	0.3	1.0	2.0	obs	True	True	False	0.0	2.0	1.0	0.0	1.2	0.0	0.0	0.3	0.6	True	0.6	1.0	0.4	2.0	0.3	4.0	0.2	0.7	0.3	0.3	1.0	0.0	1.0	2	10	0.0	2.0	0.0	0.3	0.5	0.2	1.0	False	counts	0.5	0.0	0.2	-1.0	5	True	False
5	2.936339944601059	0.0	5.872679889202118	0.9	estimate	0.05	True	20.0	20.0	50.0	0.05	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.2	2.0	99.5	0.25	0.0	4.0	0.1	1.0	4.0	obs	True	True	False	0.3	1.0	1.0	0.0	1.2	0.5	0.0	0.3	0.6	False	0.6	1.0	0.4	4.0	0.3	2.0	0.05	1.0	0.3	0.3	1.0	0.0	2.0	2	10	0.5	2.0	0.0	0.6	0.0	0.2	0.5	True	counts	0.5	0.0	0.4	0.2	10	False	False
6	0.778644903562963	0.05955453868955374	1.4381807297468185	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	1.0	0.2	2.0	99.5	0.0	0.0	4.0	0.3	0.5	2.0	obs	True	False	False	0.3	2.0	1.5	0.5	1.2	0.5	0.0	0.3	0.4	True	0.3	1.0	0.2	4.0	0.0	2.0	0.05	0.9	0.6	0.0	1.0	0.0	2.0	2	10	0.0	4.0	0.3	0.3	0.5	-1.0	1.0	False	counts	0.5	0.3	0.4	0.2	5	False	False
7	2.726513087749481	0.0	5.453026175498962	0.9	estimate	0.05	True	20.0	20.0	50.0	0.05	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	1.0	0.1	2.0	99.5	0.1	0.0	2.0	0.2	1.0	2.0	obs	True	True	False	0.0	2.0	2.0	1.0	1.5	0.5	0.0	0.3	0.6	True	0.6	1.0	0.0	2.0	0.0	4.0	0.1	0.9	0.3	0.3	1.0	0.0	2.0	2	10	1.0	2.0	0.0	0.6	0.5	-1.0	1.0	True	counts	0.5	0.0	0.4	0.4	5	False	False
8	1.4033141695254017	0.0031168274872470647	2.800394684076309	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.1	2.0	99.5	0.25	0.0	4.0	0.3	1.0	2.0	obs	True	False	False	0.0	2.0	1.5	0.0	1.0	0.5	0.3	0.6	0.4	False	0.6	1.0	0.4	4.0	0.0	2.0	-1.0	1.0	0.6	0.0	1.0	0.0	1.0	2	10	0.0	4.0	0.6	0.3	0.5	-1.0	0.5	True	counts	0.5	0.3	0.2	-1.0	5	False	False
9	3.015185594558716	0.0	6.030371189117432	0.95	estimate	0.05	True	20.0	20.0	50.0	0.05	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.0	0.5	2.0	0.1	0.5	2.0	obs	True	True	False	0.0	2.0	2.0	0.0	1.0	0.5	0.6	0.6	0.6	True	0.3	1.0	0.4	4.0	0.0	4.0	-1.0	1.0	0.6	0.0	1.0	0.0	1.0	2	10	0.5	4.0	0.0	0.3	0.5	-1.0	0.5	False	counts	0.5	0.3	0.2	0.4	10	False	False
10	3.015185594558716	0.0	6.030371189117432	0.95	estimate	0.05	True	20.0	20.0	50.0	0.05	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.1	2.0	99.5	0.1	0.5	2.0	0.3	0.5	4.0	obs	True	True	False	0.0	2.0	1.0	0.5	1.0	0.5	0.6	0.6	0.4	False	0.3	2.0	0.4	2.0	0.3	2.0	0.05	1.0	0.3	0.3	1.0	0.0	1.0	2	10	0.5	4.0	0.6	0.6	0.5	0.4	1.0	True	log	0.5	0.0	0.2	0.2	10	False	False
11	0.8937054583802819	0.062127203680574894	1.663156509399414	0.85	estimate	0.05	True	20.0	20.0	50.0	0.05	0.3	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.2	2.0	99.5	0.0	0.0	2.0	0.3	1.0	4.0	obs	True	False	False	0.3	1.0	2.0	0.0	1.2	0.5	0.3	0.3	0.4	True	0.0	1.0	0.4	2.0	0.3	4.0	0.1	0.7	0.3	0.0	1.0	0.3	1.0	2	10	0.5	2.0	0.3	0.3	0.5	-1.0	0.5	False	counts	0.5	0.0	0.2	0.2	10	True	False
12	3.0138347446918488	0.0	6.0276694893836975	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.2	2.0	99.5	0.25	0.5	4.0	0.2	0.5	2.0	obs	True	True	False	0.3	1.0	1.0	0.0	1.2	0.5	0.6	0.3	0.4	False	0.0	1.0	0.4	4.0	0.3	2.0	-1.0	1.0	0.3	0.0	1.0	0.0	2.0	2	10	1.0	2.0	0.6	0.6	0.5	0.4	0.5	True	log	0.5	0.3	0.4	0.4	10	True	False
13	3.0146504342556	0.0	6.0293008685112	0.9	estimate	0.05	True	20.0	20.0	50.0	0.05	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.1	2.0	99.5	0.1	0.5	4.0	0.3	0.5	4.0	obs	True	True	False	0.3	2.0	1.0	0.0	1.0	0.0	0.3	0.3	0.4	False	0.3	1.0	0.2	2.0	0.3	2.0	0.1	0.7	0.3	0.0	1.0	0.0	2.0	2	10	0.0	2.0	0.6	0.6	0.5	0.4	1.0	False	counts	0.5	0.0	0.2	0.2	10	True	False
14	3.0151657462120056	0.0	6.030331492424011	0.9	estimate	0.05	True	20.0	20.0	50.0	0.05	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.2	2.0	99.5	0.1	0.0	2.0	0.1	1.0	2.0	obs	True	True	False	0.3	2.0	1.5	1.0	1.5	0.0	0.6	0.6	0.6	False	0.3	2.0	0.2	2.0	0.3	4.0	0.1	0.7	0.6	0.3	1.0	0.0	2.0	2	10	0.5	4.0	0.3	0.6	0.5	0.4	1.0	True	log	0.5	0.0	0.4	0.2	5	False	False
15	2.395054669614183	0.0001614108041394502	4.789786517620087	0.9	estimate	0.05	True	20.0	20.0	50.0	0.05	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.1	0.0	2.0	0.3	1.0	4.0	obs	True	False	False	0.3	2.0	1.5	0.5	1.0	0.5	0.0	0.6	0.6	False	0.6	1.0	0.4	2.0	0.0	4.0	0.1	0.9	0.6	0.3	1.0	0.0	2.0	2	10	1.0	2.0	0.6	0.6	0.5	0.4	1.0	False	counts	0.5	0.0	0.4	-1.0	5	False	False
16	0.8693802328780293	0.04779509920626879	1.6431702673435211	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	1.0	0.2	2.0	99.5	0.1	0.0	4.0	0.1	1.0	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	1.0	0.0	0.3	0.6	0.4	True	0.6	2.0	0.2	2.0	0.0	4.0	0.2	0.9	0.3	0.0	1.0	0.0	2.0	2	10	0.0	4.0	0.3	0.3	0.0	0.2	1.0	True	log	0.5	0.0	0.4	0.2	5	False	False
17	2.2244702189636882	0.001250705070560798	4.446439027786255	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.2	2.0	99.5	0.0	0.0	4.0	0.1	1.0	4.0	obs	True	True	False	0.3	2.0	1.0	0.0	1.2	0.5	0.0	0.6	0.4	True	0.3	1.0	0.4	4.0	0.3	2.0	-1.0	0.7	0.3	0.0	1.0	0.3	2.0	2	10	1.0	2.0	0.0	0.6	0.0	0.2	1.0	False	log	0.5	0.0	0.2	-1.0	10	True	False
18	1.3364036937709898	0.016183640575036407	2.6404401063919067	0.95	estimate	0.05	True	20.0	20.0	50.0	0.05	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.0	0.5	4.0	0.3	1.0	2.0	obs	True	False	False	0.3	2.0	2.0	1.0	1.2	0.0	0.3	0.3	0.4	False	0.6	2.0	0.2	4.0	0.3	4.0	-1.0	1.0	0.3	0.0	1.0	0.3	2.0	2	10	0.0	2.0	0.0	0.3	0.0	0.4	1.0	True	counts	0.5	0.3	0.4	-1.0	5	True	False
19	1.1424338119104505	0.046090622432529926	2.192686378955841	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.0	0.0	2.0	0.3	0.5	2.0	obs	True	False	False	0.3	1.0	1.5	1.0	1.0	0.5	0.6	0.6	0.4	False	0.0	2.0	0.2	2.0	0.0	4.0	0.1	1.0	0.3	0.3	1.0	0.0	2.0	2	10	0.0	2.0	0.3	0.6	0.5	0.2	1.0	False	log	0.5	0.0	0.4	-1.0	10	False	False
20	2.5340039547882043	0.004717182775493711	5.058573544025421	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.1	2.0	99.5	0.1	0.5	2.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.0	1.5	0.0	0.0	0.3	0.4	False	0.0	1.0	0.0	4.0	0.0	4.0	0.1	1.0	0.6	0.3	1.0	0.3	2.0	2	10	0.5	2.0	0.0	0.6	0.0	0.2	0.5	False	counts	0.5	0.3	0.4	0.2	10	True	False
21	2.476820856332779	0.0	4.953641712665558	0.95	estimate	0.05	True	20.0	20.0	50.0	0.05	0.3	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.2	2.0	99.5	0.1	0.5	4.0	0.1	1.0	2.0	obs	True	True	False	0.3	2.0	1.5	0.5	1.0	0.0	0.0	0.3	0.6	True	0.6	1.0	0.0	2.0	0.3	2.0	0.05	0.7	0.6	0.0	1.0	0.0	2.0	2	10	1.0	2.0	0.3	0.6	0.5	0.4	0.5	False	counts	0.5	0.0	0.2	0.2	10	False	False
22	1.752254009261378	0.00437119604612235	3.4957656264305115	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.25	0.0	2.0	0.3	1.0	2.0	obs	True	False	False	0.3	1.0	2.0	0.5	1.2	0.0	0.6	0.3	0.6	True	0.3	1.0	0.4	2.0	0.0	4.0	0.2	1.0	0.6	0.3	1.0	0.0	2.0	2	10	1.0	4.0	0.3	0.3	0.5	0.2	1.0	False	log	0.5	0.0	0.4	0.4	5	False	False
