config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	post_gene_ref	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	post_bio_temp	post_bio_bias	ae_bio_weight	ae_bio_cap_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	expr_bio_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	expr_bio_expected	expr_bio_mix	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative
1	1.6970719759119675	0.008496857131831348	3.377150237560272	0.85	estimate	0.05	True	20.0	20.0	50.0	0.05	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.1	0.0	2.0	0.2	0.5	4.0	obs	True	False	False	0.3	2.0	1.5	0.5	1.0	0.5	0.3	0.5	0.3	0.4	True	0.3	2.0	0.0	4.0	0.3	2.0	0.05	0.7	0.3	0.3	1.0	0.3	1.0	2	10	0.5	4.0	0.0	0.6	0.0	0.2	1.0	False	log	0.5	0.3	0.2	0.2	10	True	False
2	2.993441343307495	0.0	5.98688268661499	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.2	2.0	99.5	0.0	0.5	4.0	0.2	0.5	4.0	obs	True	True	False	0.3	1.0	1.0	0.5	1.0	0.0	0.3	1.0	0.3	0.4	False	0.3	1.0	0.0	2.0	0.3	4.0	0.1	0.7	0.3	0.3	1.0	0.3	2.0	2	10	0.0	2.0	0.6	0.6	0.0	0.2	1.0	False	counts	0.5	0.0	0.2	0.2	10	False	False
3	1.290656662080437	0.02682148525491357	2.5276703536510468	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.2	2.0	99.5	0.1	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.0	1.0	0.0	0.0	0.5	0.6	0.6	False	0.3	2.0	0.0	4.0	0.3	4.0	0.05	0.9	0.3	0.3	1.0	0.3	1.0	2	10	0.5	2.0	0.3	0.3	0.5	-1.0	0.5	False	counts	0.5	0.3	0.2	-1.0	10	False	False
4	2.273750820218993	0.0037844563121325336	4.539932727813721	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.1	0.5	4.0	0.2	0.5	4.0	obs	True	True	False	0.0	1.0	1.5	0.0	1.0	0.0	0.0	0.0	0.3	0.6	True	0.3	1.0	0.2	2.0	0.3	4.0	0.1	0.7	0.3	0.3	1.0	0.0	1.0	2	10	0.0	2.0	0.0	0.3	0.5	0.2	1.0	False	counts	0.5	0.0	0.2	-1.0	5	True	False
5	1.4913907351437956	0.01926076435483992	2.9442599415779114	0.85	estimate	0.05	True	20.0	20.0	50.0	0.05	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.2	2.0	99.5	0.1	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.0	0.0	1.0	0.0	0.6	0.0	0.3	0.6	False	0.3	1.0	0.2	4.0	0.3	2.0	0.05	0.9	0.3	0.3	1.0	0.0	2.0	2	10	0.5	2.0	0.0	0.6	0.0	0.2	0.5	True	counts	0.5	0.0	0.4	-1.0	10	False	False
6	3.015185594558716	0.0	6.030371189117432	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	1.0	0.2	2.0	99.5	0.0	0.0	4.0	0.2	0.5	2.0	obs	True	True	False	0.3	2.0	1.5	0.0	1.0	0.5	0.3	0.0	0.3	0.4	True	0.0	1.0	0.0	4.0	0.0	2.0	-1.0	0.7	0.6	0.0	1.0	0.0	2.0	2	10	0.0	4.0	0.3	0.3	0.5	-1.0	1.0	False	counts	0.5	0.3	0.4	-1.0	5	False	False
7	3.0141621828079224	0.0	6.028324365615845	0.85	estimate	0.05	True	20.0	20.0	50.0	0.05	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	1.0	0.1	2.0	99.5	0.1	0.0	2.0	0.2	0.5	4.0	obs	True	True	False	0.0	1.0	1.5	0.5	1.2	0.5	0.6	0.0	0.3	0.6	True	0.3	1.0	0.0	2.0	0.0	4.0	0.05	0.7	0.3	0.3	1.0	0.0	2.0	2	10	0.5	2.0	0.0	0.6	0.5	-1.0	1.0	True	counts	0.5	0.0	0.4	0.2	5	False	False
8	3.010614812374115	0.0	6.02122962474823	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.1	2.0	99.5	0.1	0.0	4.0	0.2	0.5	4.0	obs	True	True	False	0.3	1.0	1.5	0.0	1.0	0.0	0.6	0.5	0.6	0.4	False	0.3	1.0	0.2	4.0	0.0	2.0	-1.0	0.9	0.6	0.0	1.0	0.0	1.0	2	10	0.0	4.0	0.6	0.3	0.5	-1.0	0.5	True	counts	0.5	0.3	0.2	-1.0	5	False	False
9	2.4931709320590016	0.0020564050719258375	4.982229053974152	0.9	estimate	0.05	True	20.0	20.0	50.0	0.05	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.0	0.5	2.0	0.1	0.5	2.0	obs	True	True	False	0.0	1.0	1.5	0.5	1.0	0.0	0.3	1.0	0.6	0.6	True	0.0	1.0	0.2	4.0	0.0	4.0	-1.0	0.9	0.6	0.0	1.0	0.0	1.0	2	10	0.5	4.0	0.0	0.3	0.5	-1.0	0.5	False	counts	0.5	0.3	0.2	0.2	10	False	False
10	1.424897365970537	0.012472458882257342	2.8248498141765594	0.9	estimate	0.05	True	20.0	20.0	50.0	0.05	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.1	2.0	99.5	0.1	0.5	2.0	0.2	0.5	2.0	obs	True	False	False	0.0	1.0	1.5	0.0	1.2	0.0	0.6	1.0	0.6	0.4	False	0.3	2.0	0.2	2.0	0.3	2.0	-1.0	0.9	0.3	0.3	1.0	0.0	1.0	2	10	0.0	4.0	0.6	0.6	0.5	0.2	1.0	True	log	0.5	0.0	0.2	-1.0	10	False	False
