config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	post_gene_ref	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	post_bio_temp	post_bio_bias	ae_bio_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	expr_bio_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	expr_bio_expected	expr_bio_mix	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative
1	0.8961796746589243	0.0742411375977099	1.643877074122429	0.6	fixed	0.1	True	20.0	80.0	20.0	0.1	0.1	0.0	0.5	256,128	64	0.2	False	160	64	0.0005	0.001	2.0	2.0	0.5	0.0	2.0	99.5	0.25	0.5	4.0	0.1	0.5	1.0	obs	True	False	False	0.6	1.0	2.0	1.5	1.0	0.0	0.0	1.0	0.6	False	0.0	4.0	0.2	4.0	0.6	4.0	0.2	0.5	0.3	0.3	1.0	0.0	2.0	2	20	2.0	4.0	0.6	0.6	0.5	0.2	0.5	True	counts	0.3	0.3	0.8	-1.0	10	False	False
2	3.013241171836853	0.0	6.026482343673706	0.8	fixed	0.1	False	10.0	50.0	80.0	0.0	0.4	0.0	0.5	128,64	32	0.05	False	80	64	0.0005	0.0001	4.0	1.0	2.0	0.1	2.0	98.0	0.0	0.5	0.25	0.05	1.0	0.5	recon	True	True	False	0.3	4.0	0.6	0.0	1.5	0.5	0.6	0.3	0.4	True	0.6	1.0	0.0	1.0	0.9	2.0	0.1	0.7	0.9	0.0	1.0	0.3	1.0	4	10	1.5	4.0	0.0	0.6	0.0	0.2	1.5	False	mix	0.3	0.6	0.4	0.4	10	False	True
3	3.015185594558716	0.0	6.030371189117432	0.6	fixed	0.2	True	10.0	20.0	80.0	0.2	0.1	0.0	0.25	64	64	0.2	True	160	32	0.001	0.0001	4.0	2.0	0.0	0.0	0.5	98.0	0.75	2.0	0.5	0.3	0.5	2.0	obs	True	False	False	0.0	1.0	0.6	-0.5	0.8	-0.5	0.9	1.0	0.2	False	0.6	4.0	0.4	4.0	0.6	2.0	-1.0	1.0	0.9	0.0	2.0	0.0	2.0	4	10	1.5	0.5	0.6	1.0	-0.5	0.2	1.5	False	log	0.5	0.6	0.4	-1.0	20	True	True
4	3.0139248371124268	0.0	6.0278496742248535	0.98	fixed	0.1	True	20.0	50.0	20.0	0.1	0.4	0.0	0.5	64	64	0.05	True	160	32	0.001	0.0	8.0	2.0	4.0	0.1	1.0	99.0	0.5	2.0	0.25	0.2	0.3	1.0	recon	True	False	False	0.3	1.0	0.8	0.5	1.5	0.0	1.0	1.0	0.8	True	0.3	2.0	0.0	2.0	0.9	2.0	-1.0	0.9	0.9	0.9	1.0	0.3	2.0	2	10	0.5	4.0	0.6	1.0	0.5	0.4	0.5	True	log	0.5	0.6	0.4	-1.0	5	True	True
5	3.6362264752388	0.0	7.2724529504776	0.8	fixed	0.05	False	40.0	50.0	20.0	0.0	0.2	0.05	0.25	128,64	16	0.1	True	160	32	0.0005	0.0	8.0	1.0	1.0	0.2	1.0	99.5	0.5	0.5	4.0	0.05	1.5	2.0	recon	False	False	False	0.6	2.0	0.4	0.5	0.8	0.5	0.3	0.1	0.2	True	0.6	4.0	0.2	1.0	0.0	1.0	0.05	1.0	0.6	0.9	1.0	0.0	2.0	2	10	1.0	4.0	0.6	0.3	0.5	0.4	1.5	True	log	0.7	0.3	0.8	0.2	20	True	False
6	3.015185594558716	0.0	6.030371189117432	0.9	fixed	0.2	True	40.0	50.0	20.0	0.1	0.4	0.05	0.5	128,64	64	0.05	False	120	32	0.0005	0.0	1.0	1.0	1.0	0.0	1.0	99.0	0.0	0.5	0.5	0.1	0.5	2.0	obs	True	True	False	0.0	4.0	0.6	0.0	1.5	0.5	0.9	1.0	0.8	False	0.9	1.0	0.2	2.0	0.9	4.0	0.1	0.9	0.0	0.9	2.0	0.6	2.0	3	10	1.0	0.5	0.6	0.3	-0.5	0.2	1.5	True	mix	0.7	0.0	0.8	0.2	10	False	False
7	4.222929894924164	0.0	8.445859789848328	0.95	fixed	0.05	False	40.0	80.0	20.0	0.2	0.4	0.0	0.5	128,64	32	0.05	False	160	128	0.002	0.001	1.0	1.0	2.0	0.2	0.5	98.0	0.25	1.0	0.25	-1.0	0.3	2.0	obs	False	True	False	0.3	4.0	1.0	1.5	1.5	0.5	0.9	0.6	0.4	False	0.6	1.0	0.6	4.0	0.0	4.0	-1.0	0.9	0.0	0.3	2.0	0.6	1.0	4	20	0.5	2.0	0.6	0.6	0.5	0.4	1.5	True	counts	0.3	0.9	0.4	0.2	5	False	True
8	3.0124548077583313	0.0	6.024909615516663	0.6	estimate	0.05	False	20.0	80.0	50.0	0.0	0.2	0.0	0.5	64	32	0.2	False	120	64	0.002	0.0	4.0	2.0	1.0	0.1	0.5	98.0	0.75	1.0	0.5	0.1	1.0	2.0	recon	True	False	False	0.3	4.0	0.6	-0.5	1.0	0.0	0.9	0.3	0.8	False	0.0	1.0	0.6	1.0	0.9	1.0	-1.0	0.7	0.6	0.3	2.0	0.6	1.0	3	20	1.0	0.5	0.3	1.0	-0.5	0.4	1.0	True	log	0.7	0.0	0.2	0.2	10	False	True
9	1.7516267229802907	0.039340310264378786	3.4245728254318237	0.7	estimate	0.1	True	20.0	50.0	80.0	0.1	0.3	0.05	0.5	128,64	16	0.0	False	120	64	0.0005	0.0001	4.0	2.0	1.0	0.1	2.0	99.0	0.5	1.0	1.0	0.3	0.3	4.0	recon	False	False	False	0.3	1.0	1.6	-0.5	1.0	0.0	1.0	0.3	0.4	False	0.0	1.0	0.0	4.0	0.9	4.0	-1.0	0.5	0.3	0.6	1.0	0.3	1.0	4	10	0.0	2.0	0.9	0.3	0.0	0.4	1.5	True	counts	0.5	0.6	0.2	-1.0	10	True	True
10	1.3170750625431538	0.053870607167482376	2.5264089107513428	0.85	estimate	0.1	False	10.0	80.0	50.0	0.2	0.2	0.0	0.5	256,128	16	0.1	False	120	128	0.001	0.0001	1.0	2.0	0.5	0.4	1.0	99.0	-1.0	1.0	0.25	0.1	1.5	4.0	recon	False	False	False	0.0	4.0	1.6	2.0	1.2	-0.5	0.6	0.3	0.8	False	0.3	1.0	0.6	4.0	0.0	2.0	0.1	0.7	0.9	0.0	1.0	0.0	1.0	4	20	0.0	2.0	0.0	0.3	-0.5	-1.0	1.0	True	counts	0.7	0.3	0.2	-1.0	5	False	False
